aliases,code,deprecated,diagnostic_role,duplicate_replaced_by,entity_type,is_diagnosable,is_emr_writable,name,schema_version,status
['ALVC'],DIS-CARD-CM-ALVC,,,,Disease,,,致心律失常性左心室心肌病,V1.1,
"['ACM', '心律失常相关心肌病']",DIS-CARD-CM-ACM,,,,Disease,,,致心律失常性心肌病,V1.1,
"['脂质异常', 'dyslipidaemia', 'dyslipidemia']",DIS-CARD-DYSLIPIDEMIA,,,,Disease,,,血脂异常,V1.15,
"['透析患者心力衰竭', '透析患者心衰', '血液透析患者心衰', '腹膜透析患者心衰']",DIS-CARD-HF-DIALYSIS-CHF,,,,Disease,,,透析患者慢性心力衰竭,V1.7,
"['HPAH', '遗传性PAH', '家族性肺动脉高压']",DIS-CARD-PH-HPAH,,,,Disease,,,遗传性肺动脉高压,V1.15,
"['LQTS', '长QT综合征', 'QT间期延长', 'long-QT syndrome']",DIS-CARD-ARR-LQTS,,,,Disease,,,长QT间期综合征,V1.7,
['PSVT'],DIS-CARD-ARR-PSVT,,,,Disease,,,阵发性室上性心动过速,V1.4,
"['既往心肌梗死', '陈旧性心梗']",DIS-CARD-CAD-OLD-MI,,,,Disease,,,陈旧性心肌梗死,V1.1,
['RCM'],DIS-CARD-CM-RCM,,,,Disease,,,限制型心肌病,V1.1,
"['无症状心肌缺血', '无症状性心肌缺血']",DIS-CARD-CAD-SILENT-ISCHEMIA,,,,Disease,,,隐匿性冠心病,V1.1,
['masked hypertension'],DIS-CARD-HT-MASKED,,,,Disease,,,隐匿性高血压,V1.11,
"['顽固性高血压', 'resistant hypertension']",DIS-CARD-HT-RESISTANT,,,,Disease,,,难治性高血压,V1.11,
,DIS-CARD-VTE,,,,Disease,,,静脉血栓症,V1.4,
"['NSTEMI', '非ST抬高心梗', '非ST段抬高性心肌梗死', '非ST段抬高心肌梗死', 'NSTE-ACS']",DIS-CARD-CAD-NSTEMI,,,,Disease,,,非ST段抬高型心肌梗死,V1.1,
"['NDLVCM', '非扩张型左室心肌病', 'NDLVC']",DIS-CARD-CM-NDLVCM,,,,Disease,,,非扩张型左心室心肌病,V1.1,
"['NSVT', '非持续性室速', '短阵室速', 'non-sustained VT']",DIS-CARD-ARR-NSVT,,,,Disease,,,非持续性室性心动过速,V1.7,
"['WPW', '预激', '旁路', 'Wolff-Parkinson-White']",DIS-CARD-ARR-WPW,,,,Disease,,,预激综合征,V1.7,
"['风湿性心脏病', '风湿性瓣膜病']",DIS-CARD-VHD-RHD,,,,Disease,,,风湿性心脏瓣膜病,V1.15,
"['高胆固醇', 'hypercholesterolemia']",DIS-CARD-HYPERCHOLESTEROLEMIA,,,,Disease,,,高胆固醇血症,V1.15,
"['血压升高', 'hypertension', 'HT', 'high blood pressure']",DIS-CARD-HT,,,,Disease,,,高血压,V1.11,
"['高血压', 'hypertension', 'high blood pressure']",DIS-CARD-HTN-ESSENTIAL,,,,Disease,,,高血压,V1.16,
"['hypertensive urgency', '无急性靶器官损害的重度高血压']",DIS-CARD-HT-URGENCY,,,,Disease,,,高血压亚急症,V1.11,
"['hypertensive emergency', '高血压危象伴靶器官损害']",DIS-CARD-HT-EMERGENCY,,,,Disease,,,高血压急症,V1.11,
,DIS-CARD-HTN-EMERGENCY,,,,Disease,,,高血压急症和亚急症,V1.4,
,CARD-AORTA-PAD,,,,DiseaseCategory,,,主动脉与外周动脉疾病,V1.15,
,CAT-CARD-AORTA-PAD,,,,DiseaseCategory,,,主动脉和周围血管病,V1.4,
,CAT-CARD-CHD,,,,DiseaseCategory,,,先天性心血管病,V1.4,
,CAT-CARD-CAD,,,,DiseaseCategory,,,冠心病,V1.16,
,CAT-CARD-HF,,,,DiseaseCategory,,,心力衰竭,V1.16,
,CAT-CARD-PERICARD,,,,DiseaseCategory,,,心包疾病,V1.4,
,CAT-CARD-ARR,,,,DiseaseCategory,,,心律失常,V1.16,
,CARD-MPIE,,,,DiseaseCategory,,,心肌炎/心包炎/感染性心内膜炎,V1.15,
,CAT-CARD-CM,,,,DiseaseCategory,,,心肌病,V1.16,
,CAT-CARD-VHD,,,,DiseaseCategory,,,心脏瓣膜病,V1.4,
,CAT-CARD-SCD,,,,DiseaseCategory,,,心脏骤停与心脏性猝死,V1.4,
,CAT-CARD-NEUROSIS,,,,DiseaseCategory,,,心血管神经症,V1.4,
,CAT-CARD-IE,,,,DiseaseCategory,,,感染性心内膜炎,V1.4,
,CARD-VHD,,,,DiseaseCategory,,,瓣膜病,V1.16,
,CARD-SHD-CHD,,,,DiseaseCategory,,,结构性心脏病/先天性心脏病,V1.16,
,CARD-PH,,,,DiseaseCategory,,,肺动脉高压,V1.15,
,CARD-LIPID-ASCVD,,,,DiseaseCategory,,,血脂异常与动脉粥样硬化防治,V1.15,
,CARD-PACING,,,,DiseaseCategory,,,起搏治疗相关疾病,V1.16,
,CAT-CARD-HTN,,,,DiseaseCategory,,,高血压,V1.16,
,CAT-CARD-HT,,,,DiseaseCategory,,,高血压疾病,V1.11,
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-6D548BBAB4A66D2F,yes,,,DiseaseClassification,,,1.急性心衰系因急性的严重心肌损害、结构破坏、心律失常或突然加重的心脏负荷,,deprecated
['109～140分为中危'],CLASS-CARD-CADREM-UA-69F8FA5ADF,,,,DiseaseClassification,,,109～140分为中危,V1.15,
['1979年WHO曾将其分为五型'],CLASS-CARD-CADREM-CCS-B18ADE7038,yes,,,DiseaseClassification,,,1979年WHO曾将其分为五型,V1.15,deprecated
,CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-416C3A7882FD59F3,,,,DiseaseClassification,,,2.急性右心衰竭右心室心肌收缩力急剧下降或右心室的前后负荷突然加重,,
['Braunwald根据心绞痛的特点和基础病因'],CLASS-CARD-CADREM-UA-3ED0E5D680,yes,,,DiseaseClassification,,,Braunwald根据心绞痛的特点和基础病因,V1.15,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-89FF6D87640E98CC,yes,,,DiseaseClassification,,,CCS）和急性冠脉综合征（acutecoronarysyndrome,,deprecated
['GRACE评分＞140分为高危'],CLASS-CARD-CADREM-UA-44D099513F,,,,DiseaseClassification,,,GRACE评分＞140分为高危,V1.15,
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-AAAC1C88BFF4E4B8,yes,,,DiseaseClassification,,,LVEF≤40%者称为射血分数降低的心衰（HFwithreducedEF,,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-E51C7E4ECEA047D3,yes,,,DiseaseClassification,,,LVEF）进行的心衰分类在临床上具有重要意义,,deprecated
"['STEMI', 'ST段抬高型心肌梗死']",CLASS-CARD-CAD-AMI-STEMI,,,,DiseaseClassification,,,ST段抬高型心肌梗死,,active
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-9FB4E88E62F60AF4,yes,,,DiseaseClassification,,,“干冷”型,,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-BBA8E712A5F0D040,,,,DiseaseClassification,,,“干暖”型,,
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-7DCF00210EB3D32A,yes,,,DiseaseClassification,,,“湿暖”型,,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-C94CD0919A1D0424,yes,,,DiseaseClassification,,,Ⅰb类：药物不减慢Vmax,,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-C89B40C999634443,yes,,,DiseaseClassification,,,Ⅰc类：药物减慢Vmax,,deprecated
['≤108分为低危'],CLASS-CARD-CADREM-UA-B60FDF102A,,,,DiseaseClassification,,,≤108分为低危,V1.15,
,CLASS-CARD-CADREM-UA-B94C1D1E11,,,,DiseaseClassification,,,不稳定型心绞痛分类要点2,V1.15,
,CLASS-CARD-CADREM-UA-8F74C8F4F2,,,,DiseaseClassification,,,不稳定型心绞痛分类要点6,V1.15,
"['CHD-PAH', '先心病相关肺动脉高压', '成人先天性心脏病相关肺动脉高压', '先天性心脏病相关PH', '先天性心脏病', '先心病', '艾森曼格综合征']",CLASS-CARD-PH-CARD-PH-CHD,,,,DiseaseClassification,,,先天性心脏病相关肺动脉高压,,active
"['全心衰', '双心衰竭', '双心室心力衰竭']",CLASS-CARD-HF-CARD-HF-BIVENTRICULAR,,,,DiseaseClassification,,,全心衰竭,,active
['endocrine hypertension'],CLASS-CARD-HT-CARD-HT-ENDOCRINE,,,,DiseaseClassification,,,内分泌性高血压,,active
['冠心病有不同的临床表型'],CLASS-CARD-CADREM-CCS-DC4DEC6771,yes,,,DiseaseClassification,,,冠心病有不同的临床表型,V1.15,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-1DDAF2C3BC90B074,yes,,,DiseaseClassification,,,分为快速型与缓慢型心律失常两大类,,deprecated
"['PAH', '肺动脉性肺高压']",CLASS-CARD-PH-CARD-PH-PAH,,,,DiseaseClassification,,,动脉性肺动脉高压,,active
"['本态性高血压', 'essential hypertension', 'primary hypertension']",CLASS-CARD-HT-CARD-HT-PRIMARY,,,,DiseaseClassification,,,原发性高血压,,active
"['paroxysmal hypertension', '阵发性高血压']",CLASS-CARD-HT-CARD-HT-PAROXYSMAL,,,,DiseaseClassification,,,发作性高血压,,active
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-2F3B270C14EBF999,yes,,,DiseaseClassification,,,右心室代偿功能不全所致为右心衰竭,,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-2BA81BCB3845EAE2,yes,,,DiseaseClassification,,,多为类瘤样浸润或恶性浸润所致,,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-D50DC1E09B076C23,yes,,,DiseaseClassification,,,奎尼丁、普鲁卡因胺、丙吡胺等属此类,,deprecated
"['HFpEF', '射血分数保留心衰', '舒张性心力衰竭', '舒张性心衰', 'DHF']",CLASS-CARD-HF-CARD-HF-HFpEF,,,,DiseaseClassification,,,射血分数保留的心力衰竭,,active
"['HFmrEF', '射血分数中间范围心力衰竭', '射血分数轻度降低心衰']",CLASS-CARD-HF-CARD-HF-HFmrEF,,,,DiseaseClassification,,,射血分数轻度降低的心力衰竭,,active
"['HFrEF', '射血分数降低心衰', '收缩性心力衰竭']",CLASS-CARD-HF-CARD-HF-HFrEF,,,,DiseaseClassification,,,射血分数降低的心力衰竭,,active
,CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-B3A56D773D632276,,,,DiseaseClassification,,,将高血压病人分为低危、中危、高危和很高危,,
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-166A31C01D170E49,yes,,,DiseaseClassification,,,左心衰竭和右心衰竭同时存在即为全心衰竭,,deprecated
,CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-3A5A1E8E1FE7AC7A,,,,DiseaseClassification,,,常由急性冠脉综合征、高血压危象、严重心律失常、慢性心衰急性失代偿等所致,,
"['心梗后心衰', '心肌梗死后心衰', 'post-MI HF']",CLASS-CARD-HF-CARD-HF-POST-MI,,,,DiseaseClassification,,,心肌梗死后心力衰竭,,active
,CLASS-CARD-CADREM-ACS-3BA30640A8,,,,DiseaseClassification,,,急性冠脉综合征分类要点5,V1.15,
,CLASS-CARD-CADREM-ACS-2591236BEF,,,,DiseaseClassification,,,急性冠脉综合征分类要点6,V1.15,
,CLASS-CARD-CADREM-ACS-6DC7442542,,,,DiseaseClassification,,,急性冠脉综合征分类要点7,V1.15,
"['急性心衰', 'AHF', '急性失代偿心力衰竭', 'ADHF']",CLASS-CARD-HF-CARD-HF-AHF,,,,DiseaseClassification,,,急性心力衰竭,,active
['急性心包炎'],CLASS-CARD-PERICARDITIS-CARD-PERICARD-ACUTE,,,,DiseaseClassification,,,急性心包炎,,active
,CLASS-CARD-CADREM-CCS-DF7358F0FE,,,,DiseaseClassification,,,慢性冠脉综合征分类要点5,V1.15,
,CLASS-CARD-CADREM-CCS-038C086E09,,,,DiseaseClassification,,,慢性冠脉综合征分类要点6,V1.15,
,CLASS-CARD-CADREM-CCS-9C4BA248F9,,,,DiseaseClassification,,,慢性冠脉综合征分类要点7,V1.15,
"['慢性心衰', 'CHF']",CLASS-CARD-HF-CARD-HF-CHF,,,,DiseaseClassification,,,慢性心力衰竭,,active
"['CKD合并高血压', '慢性肾脏病患者高血压']",CLASS-CARD-HT-CARD-HT-CKD,,,,DiseaseClassification,,,慢性肾脏病合并高血压,,active
"['CTEPH', '慢性血栓栓塞性肺高压']",CLASS-CARD-PH-CARD-PH-CTEPH,,,,DiseaseClassification,,,慢性血栓栓塞性肺动脉高压,,active
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-AFF08098E4D1BCCB,yes,,,DiseaseClassification,,,按发生机制分为冲动形成异常和冲动传导异常两大类,,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-63303FD52837F56B,,,,DiseaseClassification,,,按有无淤血分为“湿”和“干”型,,
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-C4C8EFEE3F1B56EC,yes,,,DiseaseClassification,,,是目前已明确的可以改善病人长期预后的抗心律失常药物,,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-5CC02E1A5C7B3C28,yes,,,DiseaseClassification,,,普罗帕酮属此类,,deprecated
