疾病大类,code,name
心律失常,DIS-CARD-ARR-AFL,心房扑动
心律失常,DIS-CARD-ARR-AT,房性心动过速
心律失常,DIS-CARD-ARR-AVB,房室传导阻滞
心律失常,DIS-CARD-ARR-AVB1,一度房室传导阻滞
心律失常,DIS-CARD-ARR-AVB2,二度房室传导阻滞
心律失常,DIS-CARD-ARR-AVB3,三度房室传导阻滞
心律失常,DIS-CARD-ARR-AVNRT,房室结折返性心动过速
心律失常,DIS-CARD-ARR-AVRT,房室折返性心动过速
心律失常,DIS-CARD-ARR-BBB,束支传导阻滞
心律失常,DIS-CARD-ARR-BRADY,缓慢性心律失常
心律失常,DIS-CARD-ARR-BRUGADA,Brugada综合征
心律失常,DIS-CARD-ARR-CPVT,儿茶酚胺敏感性多形性室性心动过速
心律失常,DIS-CARD-ARR-ERS,早期复极综合征
心律失常,DIS-CARD-ARR-LQTS,长QT间期综合征
心律失常,DIS-CARD-ARR-NSVT,非持续性室性心动过速
心律失常,DIS-CARD-ARR-PSVT,阵发性室上性心动过速
心律失常,DIS-CARD-ARR-PVC,室性期前收缩
心律失常,DIS-CARD-ARR-SAB,窦房传导阻滞
心律失常,DIS-CARD-ARR-SB,窦性心动过缓
心律失常,DIS-CARD-ARR-SINUS,窦性心律失常
心律失常,DIS-CARD-ARR-SND,窦房结功能障碍
心律失常,DIS-CARD-ARR-SQTS,短QT间期综合征
心律失常,DIS-CARD-ARR-SVT,室上性心动过速
心律失常,DIS-CARD-ARR-TDP,尖端扭转型室性心动过速
心律失常,DIS-CARD-ARR-VA,室性心律失常
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速
心律失常,DIS-CARD-ARR-WPW,预激综合征
心律失常,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病
心律失常,DIS-CARD-CM-ACM,致心律失常性心肌病
心律失常,DIS-CARD-CM-ALVC,致心律失常性左心室心肌病
心律失常,DIS-CARD-CM-ARVC,致心律失常性右心室心肌病
心肌炎/心包炎/感染性心内膜炎,DIS-CARD-FULMINANT-MYOCARDITIS,暴发性心肌炎
心肌炎/心包炎/感染性心内膜炎,DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎
心肌炎/心包炎/感染性心内膜炎,DIS-CARD-MYOCARDITIS,心肌炎
心肌炎/心包炎/感染性心内膜炎,DIS-CARD-PERICARD-ACUTE,急性心包炎
心肌炎/心包炎/感染性心内膜炎,DIS-CARD-PERICARD-CONSTRICTIVE,缩窄性心包炎
心肌炎/心包炎/感染性心内膜炎,DIS-CARD-PERICARDITIS,心包炎
心肌病,DIS-CARD-CM-AMYLOID,淀粉样变心肌病
心肌病,DIS-CARD-CM-ATRIAL,心房心肌病
心肌病,DIS-CARD-CM-DCM,扩张型心肌病
心肌病,DIS-CARD-CM-FABRY,法布雷病心肌病
心肌病,DIS-CARD-CM-HCM,肥厚型心肌病
心肌病,DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病
心肌病,DIS-CARD-CM-RCM,限制型心肌病
瓣膜病,DIS-CARD-CHD-BAV,二叶主动脉瓣
瓣膜病,DIS-CARD-CHD-EBSTEIN,三尖瓣下移畸形
瓣膜病,DIS-CARD-IE-PVE,人工瓣膜心内膜炎
瓣膜病,DIS-CARD-VHD,心脏瓣膜病
瓣膜病,DIS-CARD-VHD-AR,主动脉瓣反流
瓣膜病,DIS-CARD-VHD-AS,主动脉瓣狭窄
瓣膜病,DIS-CARD-VHD-MR,二尖瓣反流
瓣膜病,DIS-CARD-VHD-MS,二尖瓣狭窄
瓣膜病,DIS-CARD-VHD-MULTI,多瓣膜病
瓣膜病,DIS-CARD-VHD-PS,肺动脉瓣狭窄
瓣膜病,DIS-CARD-VHD-RHD,风湿性心脏瓣膜病
瓣膜病,DIS-CARD-VHD-TR,三尖瓣反流
结构性心脏病/先天性心脏病,DIS-CARD-ASD,房间隔缺损
结构性心脏病/先天性心脏病,DIS-CARD-CHD,先天性心脏病
结构性心脏病/先天性心脏病,DIS-CARD-PDA,动脉导管未闭
结构性心脏病/先天性心脏病,DIS-CARD-PFO,卵圆孔未闭
结构性心脏病/先天性心脏病,DIS-CARD-VSD,室间隔缺损
肺动脉高压,DIS-CARD-PH,肺动脉高压
肺动脉高压,DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压
肺动脉高压,DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压
肺动脉高压,DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压
肺动脉高压,DIS-CARD-PH-HPAH,遗传性肺动脉高压
肺动脉高压,DIS-CARD-PH-IPAH,特发性肺动脉高压
肺动脉高压,DIS-CARD-PH-PAH,动脉性肺动脉高压
血脂异常/动脉粥样硬化,DIS-CARD-DYSLIPIDEMIA,血脂异常
血脂异常/动脉粥样硬化,DIS-CARD-FH,家族性高胆固醇血症
血脂异常/动脉粥样硬化,DIS-CARD-HYPERCHOLESTEROLEMIA,高胆固醇血症
高血压,DIS-CARD-HT,高血压
高血压,DIS-CARD-HT-CKD,慢性肾脏病合并高血压
高血压,DIS-CARD-HT-ELDERLY,老年高血压
高血压,DIS-CARD-HT-EMERGENCY,高血压急症
高血压,DIS-CARD-HT-ENDOCRINE,内分泌性高血压
高血压,DIS-CARD-HT-MASKED,隐匿性高血压
高血压,DIS-CARD-HT-PA,原发性醛固酮增多症
高血压,DIS-CARD-HT-PAROXYSMAL,发作性高血压
高血压,DIS-CARD-HT-PRIMARY,原发性高血压
高血压,DIS-CARD-HT-RENAL-PARENCHYMAL,肾实质性高血压
高血压,DIS-CARD-HT-RENOVASCULAR,肾血管性高血压
高血压,DIS-CARD-HT-RESISTANT,难治性高血压
高血压,DIS-CARD-HT-SECONDARY,继发性高血压
高血压,DIS-CARD-HT-URGENCY,高血压亚急症
高血压,DIS-CARD-HT-WCH,白大衣高血压
高血压,DIS-CARD-HTN-COA,主动脉缩窄
高血压,DIS-CARD-HTN-EMERGENCY,高血压急症和亚急症
高血压,DIS-CARD-HTN-PHEO,嗜铬细胞瘤和副神经节瘤
