disease_name,backfill_mentions,exists_in_d6_matrix,d6_parent,d6_subject_kind,d6_status,recommended_action
心肌炎,408,yes,心肌疾病,disease_or_topic,source_covered_ready,可按D6章节范围归并审计
心脏性猝死,209,no,,,,需先做疾病别名/层级映射，不能直接归并
心脏骤停,110,no,,,,需先做疾病别名/层级映射，不能直接归并
心血管神经症,23,yes,第三篇循环系统疾病,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
急性冠脉综合征,257,no,,,,需先做疾病别名/层级映射，不能直接归并
急性心力衰竭,91,yes,心力衰竭,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
急性心包炎,86,yes,心包疾病,disease_or_topic,source_covered_ready,可按D6章节范围归并审计
急性心肌梗死,821,no,,,,需先做疾病别名/层级映射，不能直接归并
感染性心内膜炎,384,yes,第三篇循环系统疾病,disease_or_topic,source_covered_ready,可按D6章节范围归并审计
慢性冠脉综合征,23,no,,,,需先做疾病别名/层级映射，不能直接归并
慢性心力衰竭,87,yes,心力衰竭,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
房室传导阻滞,397,yes,心脏传导阻滞,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
房性心动过速,131,yes,房性心律失常,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
房间隔缺损,86,no,,,,需先做疾病别名/层级映射，不能直接归并
扩张型心肌病,146,yes,心肌疾病,disease_or_topic,source_covered_ready,可按D6章节范围归并审计
早期复极综合征,63,no,,,,需先做疾病别名/层级映射，不能直接归并
稳定型心绞痛,218,yes,慢性冠状动脉综合征,disease_or_topic,source_covered_ready,可按D6章节范围归并审计
窦性心律失常,16,no,,,,需先做疾病别名/层级映射，不能直接归并
继发性高血压,128,yes,高血压,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
缩窄性心包炎,159,yes,心包疾病,disease_or_topic,source_covered_ready,可按D6章节范围归并审计
缺血性心肌病,110,yes,慢性冠状动脉综合征,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
肥厚型心肌病,102,yes,心肌疾病,disease_or_topic,source_covered_ready,可按D6章节范围归并审计
肺动脉瓣狭窄,57,no,,,,需先做疾病别名/层级映射，不能直接归并
肾实质性高血压,23,no,,,,需先做疾病别名/层级映射，不能直接归并
肾血管性高血压,58,no,,,,需先做疾病别名/层级映射，不能直接归并
致心律失常性右心室心肌病,125,yes,心肌疾病,disease_or_topic,source_covered_ready,可按D6章节范围归并审计
长QT间期综合征,52,no,,,,需先做疾病别名/层级映射，不能直接归并
阵发性室上性心动过速,37,no,,,,需先做疾病别名/层级映射，不能直接归并
限制型心肌病,55,yes,心肌疾病,disease_or_topic,source_covered_ready,可按D6章节范围归并审计
静脉血栓症,716,yes,心脏骤停与心脏性猝死,disease_or_topic,source_limited_ready_as_textbook_core,可按D6章节范围归并审计
非ST段抬高型心肌梗死,138,no,,,,需先做疾病别名/层级映射，不能直接归并
非扩张型左心室心肌病,23,yes,心肌疾病,disease_or_topic,source_covered_ready,可按D6章节范围归并审计
高血压急症和亚急症,17,no,,,,需先做疾病别名/层级映射，不能直接归并
