优先级,建议疾病大类,建议解析对象,PDF相对路径,PDF文件名,大小MB,当前状态,建议动作,完整路径
P1,心肌炎/心包炎/感染性心内膜炎,心肌炎、心包炎、感染性心内膜炎,心肌炎\成人爆发性心肌炎诊断与治疗中国专家共识 2017.pdf,成人爆发性心肌炎诊断与治疗中国专家共识 2017.pdf,1.68,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌炎\成人爆发性心肌炎诊断与治疗中国专家共识 2017.pdf
P1,心肌炎/心包炎/感染性心内膜炎,心肌炎、心包炎、感染性心内膜炎,感染性心内膜炎\中国 感染性心内膜炎外科治疗中国专家共识2022.pdf,中国 感染性心内膜炎外科治疗中国专家共识2022.pdf,1.68,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\感染性心内膜炎\中国 感染性心内膜炎外科治疗中国专家共识2022.pdf
P1,结构性心脏病/先心病,先天性心脏病、PFO、房缺、室缺、动脉导管未闭,先天性心脏病\PFO指南\2015卵圆孔未闭处理策略中国专家建议_张玉顺.pdf,2015卵圆孔未闭处理策略中国专家建议_张玉顺.pdf,0.37,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\先天性心脏病\PFO指南\2015卵圆孔未闭处理策略中国专家建议_张玉顺.pdf
P1,结构性心脏病/先心病,先天性心脏病、PFO、房缺、室缺、动脉导管未闭,先天性心脏病\PFO指南\2017  卵圆孔未闭预防性封堵术中国专家共识.pdf,2017  卵圆孔未闭预防性封堵术中国专家共识.pdf,7.1,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\先天性心脏病\PFO指南\2017  卵圆孔未闭预防性封堵术中国专家共识.pdf
P1,结构性心脏病/先心病,先天性心脏病、PFO、房缺、室缺、动脉导管未闭,先天性心脏病\PFO指南\2021卵圆孔未闭相关卒中预防中国专家指南_张玉顺.pdf,2021卵圆孔未闭相关卒中预防中国专家指南_张玉顺.pdf,1.45,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\先天性心脏病\PFO指南\2021卵圆孔未闭相关卒中预防中国专家指南_张玉顺.pdf
P1,结构性心脏病/先心病,先天性心脏病、PFO、房缺、室缺、动脉导管未闭,"先天性心脏病\PFO指南\European position paper on the management of patients with patent foramen ovale Part II - Decompression sickness, migraine, arterial deoxygenation syndromes and select high-risk clinical conditions.pdf","European position paper on the management of patients with patent foramen ovale Part II - Decompression sickness, migraine, arterial deoxygenation syndromes and select high-risk clinical conditions.pdf",0.38,未在已登记批次中作为 included 来源使用,新建/补充批次解析,"E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\先天性心脏病\PFO指南\European position paper on the management of patients with patent foramen ovale Part II - Decompression sickness, migraine, arterial deoxygenation syndromes and select high-risk clinical conditions.pdf"
P1,结构性心脏病/先心病,先天性心脏病、PFO、房缺、室缺、动脉导管未闭,先天性心脏病\PFO指南\European position paper on the management of patients with patent foramen ovale--General approach and left circulation thromboembolism.pdf,European position paper on the management of patients with patent foramen ovale--General approach and left circulation thromboembolism.pdf,0.91,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\先天性心脏病\PFO指南\European position paper on the management of patients with patent foramen ovale--General approach and left circulation thromboembolism.pdf
P1,结构性心脏病/先心病,先天性心脏病、PFO、房缺、室缺、动脉导管未闭,先天性心脏病\PFO指南\SCAI Guidelines for the Management of Patent Foramen Ovale.pdf,SCAI Guidelines for the Management of Patent Foramen Ovale.pdf,0.32,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\先天性心脏病\PFO指南\SCAI Guidelines for the Management of Patent Foramen Ovale.pdf
P1,结构性心脏病/先心病,先天性心脏病、PFO、房缺、室缺、动脉导管未闭,先天性心脏病\儿童常见先天性心脏病介入治疗专家共识.pdf,儿童常见先天性心脏病介入治疗专家共识.pdf,1.16,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\先天性心脏病\儿童常见先天性心脏病介入治疗专家共识.pdf
P1,结构性心脏病/先心病,先天性心脏病、PFO、房缺、室缺、动脉导管未闭,先天性心脏病\常见先天性心脏病介入治疗中国专家共识之一：房间隔缺损介入治疗.pdf,常见先天性心脏病介入治疗中国专家共识之一：房间隔缺损介入治疗.pdf,0.31,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\先天性心脏病\常见先天性心脏病介入治疗中国专家共识之一：房间隔缺损介入治疗.pdf
P1,结构性心脏病/先心病,先天性心脏病、PFO、房缺、室缺、动脉导管未闭,先天性心脏病\常见先天性心脏病介入治疗中国专家共识之三、动脉导管未闭的介入治疗.pdf,常见先天性心脏病介入治疗中国专家共识之三、动脉导管未闭的介入治疗.pdf,0.23,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\先天性心脏病\常见先天性心脏病介入治疗中国专家共识之三、动脉导管未闭的介入治疗.pdf
P1,结构性心脏病/先心病,先天性心脏病、PFO、房缺、室缺、动脉导管未闭,先天性心脏病\常见先天性心脏病介入治疗中国专家共识之二、室间隔缺损介入治疗.pdf,常见先天性心脏病介入治疗中国专家共识之二、室间隔缺损介入治疗.pdf,0.24,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\先天性心脏病\常见先天性心脏病介入治疗中国专家共识之二、室间隔缺损介入治疗.pdf
P1,结构性心脏病/先心病,先天性心脏病、PFO、房缺、室缺、动脉导管未闭,先天性心脏病\常见先天性心脏病经皮介入治疗指南（2021版）.pdf,常见先天性心脏病经皮介入治疗指南（2021版）.pdf,3.19,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\先天性心脏病\常见先天性心脏病经皮介入治疗指南（2021版）.pdf
P1,结构性心脏病/先心病,先天性心脏病、PFO、房缺、室缺、动脉导管未闭,先心介入\中国 常见先天性心脏病经皮介入治疗指南2021.pdf,中国 常见先天性心脏病经皮介入治疗指南2021.pdf,3.19,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\先心介入\中国 常见先天性心脏病经皮介入治疗指南2021.pdf
P1,血脂异常与动脉粥样硬化防治,血脂异常、ASCVD风险、调脂治疗,血脂管理\Dyslipidaemias  ESC 2025.pdf,Dyslipidaemias  ESC 2025.pdf,2.12,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\血脂管理\Dyslipidaemias  ESC 2025.pdf
P1,血脂异常与动脉粥样硬化防治,血脂异常、ASCVD风险、调脂治疗,血脂管理\Dyslipidaemias AHA 2026.pdf,Dyslipidaemias AHA 2026.pdf,7.02,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\血脂管理\Dyslipidaemias AHA 2026.pdf
P1,血脂异常与动脉粥样硬化防治,血脂异常、ASCVD风险、调脂治疗,血脂管理\Dyslipidaemias ESC 2019.pdf,Dyslipidaemias ESC 2019.pdf,2.41,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\血脂管理\Dyslipidaemias ESC 2019.pdf
P1,血脂异常与动脉粥样硬化防治,血脂异常、ASCVD风险、调脂治疗,血脂管理\中国血脂管理指南（2023年）.pdf,中国血脂管理指南（2023年）.pdf,1.39,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\血脂管理\中国血脂管理指南（2023年）.pdf
P1,血脂异常与动脉粥样硬化防治,血脂异常、ASCVD风险、调脂治疗,血脂管理\泛血管疾病患者血脂管理专家共识（2025版）.pdf,泛血管疾病患者血脂管理专家共识（2025版）.pdf,2.74,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\血脂管理\泛血管疾病患者血脂管理专家共识（2025版）.pdf
P2,冠心病补充,冠心病、慢性冠脉综合征、NSTE-ACS、PCI,冠脉介入\中国 慢性冠脉综合征患者诊断及管理指南2024.pdf,中国 慢性冠脉综合征患者诊断及管理指南2024.pdf,3.45,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\中国 慢性冠脉综合征患者诊断及管理指南2024.pdf
P2,冠心病补充,冠心病、慢性冠脉综合征、NSTE-ACS、PCI,冠脉介入\中国 经皮冠状动脉介入治疗指南（2025）.pdf,中国 经皮冠状动脉介入治疗指南（2025）.pdf,3.71,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\中国 经皮冠状动脉介入治疗指南（2025）.pdf
P2,冠心病补充,冠心病、慢性冠脉综合征、NSTE-ACS、PCI,冠脉介入\中国 非ST段抬高型急性冠脉综合征诊断和治疗指南2024.pdf,中国 非ST段抬高型急性冠脉综合征诊断和治疗指南2024.pdf,4.45,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\中国 非ST段抬高型急性冠脉综合征诊断和治疗指南2024.pdf
P2,心力衰竭补充,心力衰竭、右心衰、心肾综合征、左室辅助,HF\HF AHA 2022.pdf,HF AHA 2022.pdf,7.21,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HF\HF AHA 2022.pdf
P2,心力衰竭补充,心力衰竭、右心衰、心肾综合征、左室辅助,HF\HF CN 2024.pdf,HF CN 2024.pdf,5.33,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HF\HF CN 2024.pdf
P2,心力衰竭补充,心力衰竭、右心衰、心肾综合征、左室辅助,HF\HF ESC 2021.pdf,HF ESC 2021.pdf,4.93,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HF\HF ESC 2021.pdf
P2,心力衰竭补充,心力衰竭、右心衰、心肾综合征、左室辅助,HF\HF ESC 2023.pdf,HF ESC 2023.pdf,0.4,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HF\HF ESC 2023.pdf
P2,心力衰竭补充,心力衰竭、右心衰、心肾综合征、左室辅助,HF\老年人心肾综合征利尿剂应用的中国专家共识.pdf,老年人心肾综合征利尿剂应用的中国专家共识.pdf,0.97,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HF\老年人心肾综合征利尿剂应用的中国专家共识.pdf
P2,心力衰竭补充,心力衰竭、右心衰、心肾综合征、左室辅助,厦心-护理\中国左心室辅助装置植入术后...管理专家共识（2024年).pdf,中国左心室辅助装置植入术后...管理专家共识（2024年).pdf,1.37,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\中国左心室辅助装置植入术后...管理专家共识（2024年).pdf
P2,心力衰竭补充,心力衰竭、右心衰、心肾综合征、左室辅助,左室辅助\AHA科学声明：使用心室辅助装置患者高血压的管理（2022）.pdf,AHA科学声明：使用心室辅助装置患者高血压的管理（2022）.pdf,0.32,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\左室辅助\AHA科学声明：使用心室辅助装置患者高血压的管理（2022）.pdf
P2,心力衰竭补充,心力衰竭、右心衰、心肾综合征、左室辅助,左室辅助\EHRA：连续血流左心室辅助装置患者心律失常的药物治疗和导管消融治疗（2024）.pdf,EHRA：连续血流左心室辅助装置患者心律失常的药物治疗和导管消融治疗（2024）.pdf,9.79,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\左室辅助\EHRA：连续血流左心室辅助装置患者心律失常的药物治疗和导管消融治疗（2024）.pdf
P2,心力衰竭补充,心力衰竭、右心衰、心肾综合征、左室辅助,左室辅助\ESC指南：右心衰与左心室辅助装置-术前，围手术期和术后管理策略 2024.pdf,ESC指南：右心衰与左心室辅助装置-术前，围手术期和术后管理策略 2024.pdf,1.43,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\左室辅助\ESC指南：右心衰与左心室辅助装置-术前，围手术期和术后管理策略 2024.pdf
P2,心力衰竭补充,心力衰竭、右心衰、心肾综合征、左室辅助,左室辅助\中国 左心室辅助装置植入全程管理专家共识（2023).pdf,中国 左心室辅助装置植入全程管理专家共识（2023).pdf,1.74,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\左室辅助\中国 左心室辅助装置植入全程管理专家共识（2023).pdf
P2,心力衰竭补充,心力衰竭、右心衰、心肾综合征、左室辅助,左室辅助\中国左心室辅助装置候选者术前评估与管理专家共识（2023）.pdf,中国左心室辅助装置候选者术前评估与管理专家共识（2023）.pdf,1.21,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\左室辅助\中国左心室辅助装置候选者术前评估与管理专家共识（2023）.pdf
P2,心律失常补充,房颤、室上速、房扑、起搏、植入器械,心律失常\ACC_AHA 心脏植入式电子设备的合理适用标准 2025.pdf,ACC_AHA 心脏植入式电子设备的合理适用标准 2025.pdf,10.18,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心律失常\ACC_AHA 心脏植入式电子设备的合理适用标准 2025.pdf
P2,心律失常补充,房颤、室上速、房扑、起搏、植入器械,心律失常\ESC 起搏 2025.pdf,ESC 起搏 2025.pdf,18.74,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心律失常\ESC 起搏 2025.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,厦心-护理\心原性休克诊断和治疗中国专家共识(2018).pdf,心原性休克诊断和治疗中国专家共识(2018).pdf,0.97,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\心原性休克诊断和治疗中国专家共识(2018).pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,左室辅助\中国左心室辅助装置植入术后早期重症监护管理专家共识（2024）.pdf,中国左心室辅助装置植入术后早期重症监护管理专家共识（2024）.pdf,1.32,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\左室辅助\中国左心室辅助装置植入术后早期重症监护管理专家共识（2024）.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\1. 重症循环\重症右心功能管理专家共识2017.pdf,重症右心功能管理专家共识2017.pdf,0.91,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\1. 重症循环\重症右心功能管理专家共识2017.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\1. 重症循环\重症血流动力学治疗——北京共识2015.pdf,重症血流动力学治疗——北京共识2015.pdf,5.39,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\1. 重症循环\重症血流动力学治疗——北京共识2015.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\10. 心肺复苏\《严重过敏反应急救指南》推荐意见2019.pdf,《严重过敏反应急救指南》推荐意见2019.pdf,0.71,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\10. 心肺复苏\《严重过敏反应急救指南》推荐意见2019.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\10. 心肺复苏\成人体外心肺复苏专家共识更新（2023版）.pdf,成人体外心肺复苏专家共识更新（2023版）.pdf,1.86,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\10. 心肺复苏\成人体外心肺复苏专家共识更新（2023版）.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\2. 重症呼吸\ICU患者支气管肺泡灌洗液采集、送检、检测及结果解读规范2020.pdf,ICU患者支气管肺泡灌洗液采集、送检、检测及结果解读规范2020.pdf,1.36,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\2. 重症呼吸\ICU患者支气管肺泡灌洗液采集、送检、检测及结果解读规范2020.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\2. 重症呼吸\《ESICM急性呼吸窘迫综合征指南：定义、分型和呼吸支持策略》解读2023.pdf,《ESICM急性呼吸窘迫综合征指南：定义、分型和呼吸支持策略》解读2023.pdf,2.18,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\2. 重症呼吸\《ESICM急性呼吸窘迫综合征指南：定义、分型和呼吸支持策略》解读2023.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\2. 重症呼吸\中国成人急性呼吸窘迫综合征（ARDS）诊断与非机械通气治疗指南（2023）.pdf,中国成人急性呼吸窘迫综合征（ARDS）诊断与非机械通气治疗指南（2023）.pdf,1.2,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\2. 重症呼吸\中国成人急性呼吸窘迫综合征（ARDS）诊断与非机械通气治疗指南（2023）.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\2. 重症呼吸\急性呼吸窘迫综合征患者机械通气指南(试行)2016.pdf,急性呼吸窘迫综合征患者机械通气指南(试行)2016.pdf,2.12,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\2. 重症呼吸\急性呼吸窘迫综合征患者机械通气指南(试行)2016.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\2. 重症呼吸\成人经鼻高流量湿化氧疗临床规范应用专家共识2019.pdf,成人经鼻高流量湿化氧疗临床规范应用专家共识2019.pdf,0.7,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\2. 重症呼吸\成人经鼻高流量湿化氧疗临床规范应用专家共识2019.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\2. 重症呼吸\无创正压通气急诊临床实践专家共识(2018).pdf,无创正压通气急诊临床实践专家共识(2018).pdf,1.78,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\2. 重症呼吸\无创正压通气急诊临床实践专家共识(2018).pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\3. 重症消化\急性胰腺炎急诊诊治专家共识2024.pdf,急性胰腺炎急诊诊治专家共识2024.pdf,11.41,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\3. 重症消化\急性胰腺炎急诊诊治专家共识2024.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\3. 重症消化\肝衰竭诊治指南（2024年版）.pdf,肝衰竭诊治指南（2024年版）.pdf,2.51,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\3. 重症消化\肝衰竭诊治指南（2024年版）.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\3. 重症消化\重症患者腹内高压监测与管理专家共识(2020版).pdf,重症患者腹内高压监测与管理专家共识(2020版).pdf,0.9,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\3. 重症消化\重症患者腹内高压监测与管理专家共识(2020版).pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\4. 重症神经\亚低温脑保护中国专家共识2020.pdf,亚低温脑保护中国专家共识2020.pdf,1.96,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\4. 重症神经\亚低温脑保护中国专家共识2020.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\4. 重症神经\心脏外科围手术期脑损伤防治专家共识2024.pdf,心脏外科围手术期脑损伤防治专家共识2024.pdf,2.69,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\4. 重症神经\心脏外科围手术期脑损伤防治专家共识2024.pdf
