问题类别,疾病编码,疾病名称,对象类型,对象名称,问题说明,处理建议
标准诊断阻断,DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,Disease,风湿性心脏瓣膜病,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,Disease,先天性心脏病相关肺动脉高压,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-PH-PAH,动脉性肺动脉高压,Disease,动脉性肺动脉高压,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,Disease,结缔组织病相关肺动脉高压,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-HT-ENDOCRINE,内分泌性高血压,Disease,内分泌性高血压,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-HT-PA,原发性醛固酮增多症,Disease,原发性醛固酮增多症,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-HT-PAROXYSMAL,发作性高血压,Disease,发作性高血压,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-HTN-PHEO,嗜铬细胞瘤和副神经节瘤,Disease,嗜铬细胞瘤和副神经节瘤,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-HT-CKD,慢性肾脏病合并高血压,Disease,慢性肾脏病合并高血压,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-HT-ELDERLY,老年高血压,Disease,老年高血压,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-HT-MASKED,隐匿性高血压,Disease,隐匿性高血压,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-HTN-EMERGENCY,高血压急症和亚急症,Disease,高血压急症和亚急症,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
