问题类型,实体类型,期望字典表,图谱编码,图谱名称,当前状态,处理要求
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-E2353B3B1CAF,可溶性鸟苷酸环化酶刺激剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-STEMI-75149079D7F4,吗啡,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-STEMI-7DE6E08B5D55,哌替啶,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-STD-0401DB9741,地尔硫卓,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-STD-62498B0FBD,地高辛,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-3D43C06FF87E,尼卡地平,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-669F94E52F61,异丙肾上腺素,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-TEXT-EE219280A7,抗凝药物,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-73E3BE4E64BB,抗心律失常药物,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-TEXT-4E798D0AB2,抗血小板药物,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-9898EF617690,拉贝洛尔,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-STD-6B98598B0E,普拉格雷,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-0D88ECB6525C,普罗帕酮,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-STD-9146894909,普萘洛尔,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-A49408D27901,普通肝素,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-66202C12C872,氟卡尼,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-STEMI-611F442336F1,洋地黄制剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-TEXT-93710567D3,洋地黄类药物,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-TEXT-D07193A49C,溶栓药物,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-E2FE14E667D7,盐皮质激素受体拮抗剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-STEMI-38F899E9910B,直接口服抗凝药,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-STD-DE220086E9,硝酸甘油,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-55157DA54154,硝酸酯类药物,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-52EFFCE32B76,磷酸二酯酶5抑制剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-STEMI-C6E5F2B51268,糖蛋白Ⅱb/Ⅲa受体拮抗剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-F50DC811465A,索他洛尔,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-80FC8F8A3EB4,组织型纤溶酶原激活物,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-STD-C685CE7163,维拉帕米,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-STD-1691342E51,美托洛尔,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-7717331EF136,肝素,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-AMIODARONE,胺碘酮,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,CARD-SKELETON-20260709-MEDICATION-09DFB5E0DF9F68B9,血管紧张素II受体拮抗剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-92F68F550745,血管紧张素Ⅱ受体拮抗剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-C015B7A5655A,血管紧张素Ⅱ受体阻滞剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-5C774D10CF46,血管紧张素受体脑啡肽酶抑制剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-E40082221530,血管紧张素转换酶抑制剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,CARD-SKELETON-20260709-MEDICATION-7887433A96437926,血管紧张素转换酶抑制剂或血管紧张素受体阻滞剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-072B93AB8BC2,袢利尿剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-TEXT-4E1713BBBA,醛固酮受体拮抗剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,CARD-SKELETON-20260709-MEDICATION-CE7B6E8D0756D10D,钠-葡萄糖共转运蛋白2抑制剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-3B504DD7AA33,钠-葡萄糖协同转运蛋白2抑制剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-CA961D8A62E7,钾剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-CARD-STD-5AB035E285,阿昔单抗,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Medication,K_DRUG_DICT,MED-NDHP-CCB,非二氢吡啶类钙通道阻滞剂,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-A80B855C8C77,12导联心电图,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-FULLBOOK-80909CCD5C,CT肺动脉造影,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-CF719F4B0836,CT血管造影,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,CARD-SKELETON-20260709-EXAM-B66979D14041DD2B,X线,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-AORTA-CTA-CDSS,主动脉CTA,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-41BF81CAB3CE,事件记录仪,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-5DECE91D9410,先天性心脏病检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08,光学相干断层扫描,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-3D8494591EDD,动脉导管未闭检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-STEMI-43AF84ECFEAC,单光子发射计算机断层显像,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-402C5F4A8797,卵圆孔未闭检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-FE5579C751A4,右心导管检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-GENETIC,基因检测,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-76E926AC5403,外周动脉疾病检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-A75C6A09C4B4,多瓣膜病检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-90C30ED23298,室间隔缺损检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-009841714F76,家庭血压监测,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-1964B3FBB1A3,家族性高胆固醇血症检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-EMB,心内膜心肌活检,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-ECG,心电图,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-471B1F30EE60,心肌炎检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-TEXT-8AF3973EB6,心脏导管检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-900CCD450F81,心脏性猝死检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-3952FA87CE06,心脏瓣膜病检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-85148D8A75A3,心脏电生理检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CMR,心脏磁共振,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-7B61D32BDA87,房间隔缺损检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-94BED620724C,暴发性心肌炎检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-4AD769033513,束支传导阻滞检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-F6169EE9D82C,植入式心电监测,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-STEMI-71B00278E585,正电子发射断层显像,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CLINICAL-HISTORY,病史采集,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-FDECC92EDFB7,睡眠呼吸监测,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-TEXT-8633D5B324,磁共振成像,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-FBC2CB79BDD3,窦性心动过缓检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-D778E05E37ED,窦房传导阻滞检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-9392E9664208,窦房结功能障碍检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-TEE,经食管超声心动图,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-0BFEB8726F1A,肺动脉瓣狭窄检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-FULLBOOK-FED1A8ECF0,肺通气/灌注显像,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-7611BF5653DB,肾上腺CT,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-D9EE1FF4CE81,肾上腺静脉采血,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-AA7D75430BA0,肾动脉超声,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-TEXT-BE9C2270C9,胸部X线检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-CHEST-IMAGING-CDSS,胸部影像学检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-F3C88113B628,腹主动脉瘤检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2,血管内超声,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-FULLBOOK-27900FDADC,血管超声,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-F6CCC6040970,血脂异常检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,CARD-SKELETON-20260709-EXAM-4974BA875B54084B,计算机断层扫描,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-1F526A303B77,诊室血压测量,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-TTE,超声心动图,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-241B4B0218DF,运动负荷试验,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-4BB7B70D85A1,风湿性心脏瓣膜病检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-90DB0CAFC311,食管心房调搏,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-2EE41C709D36,高胆固醇血症检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamItem,K_EXAM_ITEM_DICT,EXAM-CARD-D3BAE443103C,高血压检查,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,LabItem,K_LAB_ITEM_DICT,EXAM-HT-CKD-EGFR-UACR,CKD高血压肾功能和尿蛋白评估,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,LabItem,K_LAB_ITEM_DICT,EXAM-CARD-01C3182D129E,利钠肽,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,LabItem,K_LAB_ITEM_DICT,LAB-CARD-CADCD76D40B9,心肌损伤标志物,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,LabItem,K_LAB_ITEM_DICT,LAB-CARDIAC-BIOMARKERS,心脏生物标志物检测,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,LabItem,K_LAB_ITEM_DICT,LAB-CARD-RENAL-ELECTROLYTE-CDSS,肾功能与电解质,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,LabItem,K_LAB_ITEM_DICT,LAB-CARD-TEXT-48E9A64933,血培养,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,LabSubitem,K_LAB_SUBITEM_DICT,LABIND-EXAM-CARD-01C3182D129E-BNP,B型利钠肽,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,LabSubitem,K_LAB_SUBITEM_DICT,LABSUB-PROJ-LAB-CARD-960C7CE8E22B,CK-MB,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,LabSubitem,K_LAB_SUBITEM_DICT,IND-NT-PROBNP,N末端B型利钠肽原,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
