alias,alias_norm,canonical_name,entityType,code,source_batch,source_file,source_field
DR,dr,利尿剂抵抗,Complication,COMP-CARD-2517B09A02C5,BATCH-CARD-HF-20260629-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-HF-20260629-001\05_data_instance\nodes_final.jsonl,abbr
利尿剂反应不佳,利尿剂反应不佳,利尿剂抵抗,Complication,COMP-CARD-2517B09A02C5,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
利尿剂反应不佳,利尿剂反应不佳,利尿剂抵抗,Complication,COMP-CARD-2517B09A02C5,BATCH-CARD-HF-20260629-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-HF-20260629-001\05_data_instance\nodes_final.jsonl,aliases
利尿剂抵抗性,利尿剂抵抗性,利尿剂抵抗,Complication,COMP-CARD-2517B09A02C5,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
利尿剂抵抗性,利尿剂抵抗性,利尿剂抵抗,Complication,COMP-CARD-2517B09A02C5,BATCH-CARD-HF-20260629-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-HF-20260629-001\05_data_instance\nodes_final.jsonl,aliases
Major bleeding,majorbleeding,大出血,Complication,COMP-CARD-B28E5DB9E514,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,name_en
Major bleeding,majorbleeding,大出血,Complication,COMP-CARD-B28E5DB9E514,BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation\05_data_instance\nodes_final.jsonl,name_en
严重出血,严重出血,大出血,Complication,COMP-CARD-B28E5DB9E514,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
严重出血,严重出血,大出血,Complication,COMP-CARD-B28E5DB9E514,BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation\05_data_instance\nodes_final.jsonl,aliases
Heart failure,heartfailure,心力衰竭,Complication,COMP-CARD-7CF202961681,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,name_en
Heart failure,heartfailure,心力衰竭,Complication,COMP-CARD-7CF202961681,BATCH-CARD-CAD-20260623-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-20260623-001\05_data_instance\nodes_final.jsonl,name_en
Heart failure,heartfailure,心力衰竭,Complication,COMP-CARD-7CF202961681,BATCH-CARD-CM-20260622-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CM-20260622-001\05_data_instance\nodes_final.jsonl,name_en
Heart failure,heartfailure,心力衰竭,Complication,COMP-CARD-7CF202961681,BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter\05_data_instance\nodes_final.jsonl,name_en
HF,hf,心力衰竭,Complication,COMP-CARD-7CF202961681,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,abbr
HF,hf,心力衰竭,Complication,COMP-CARD-7CF202961681,BATCH-CARD-CAD-20260623-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-20260623-001\05_data_instance\nodes_final.jsonl,abbr
HF,hf,心力衰竭,Complication,COMP-CARD-7CF202961681,BATCH-CARD-CM-20260622-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CM-20260622-001\05_data_instance\nodes_final.jsonl,abbr
HF,hf,心力衰竭,Complication,COMP-CARD-7CF202961681,BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter\05_data_instance\nodes_final.jsonl,abbr
心功能不全,心功能不全,心力衰竭,Complication,COMP-CARD-7CF202961681,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
心功能不全,心功能不全,心力衰竭,Complication,COMP-CARD-7CF202961681,BATCH-CARD-CAD-20260623-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-20260623-001\05_data_instance\nodes_final.jsonl,aliases
心功能不全,心功能不全,心力衰竭,Complication,COMP-CARD-7CF202961681,BATCH-CARD-CM-20260622-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CM-20260622-001\05_data_instance\nodes_final.jsonl,aliases
心功能不全,心功能不全,心力衰竭,Complication,COMP-CARD-7CF202961681,BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter\05_data_instance\nodes_final.jsonl,aliases
心衰,心衰,心力衰竭,Complication,COMP-CARD-7CF202961681,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
心衰,心衰,心力衰竭,Complication,COMP-CARD-7CF202961681,BATCH-CARD-CAD-20260623-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-20260623-001\05_data_instance\nodes_final.jsonl,aliases
心衰,心衰,心力衰竭,Complication,COMP-CARD-7CF202961681,BATCH-CARD-CM-20260622-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CM-20260622-001\05_data_instance\nodes_final.jsonl,aliases
心衰,心衰,心力衰竭,Complication,COMP-CARD-7CF202961681,BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter\05_data_instance\nodes_final.jsonl,aliases
Worsening heart failure,worseningheartfailure,心力衰竭加重,Complication,COMP-CARD-477C6EB5E1D6,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,name_en
Worsening heart failure,worseningheartfailure,心力衰竭加重,Complication,COMP-CARD-477C6EB5E1D6,BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation\05_data_instance\nodes_final.jsonl,name_en
心衰加重,心衰加重,心力衰竭加重,Complication,COMP-CARD-477C6EB5E1D6,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
心衰加重,心衰加重,心力衰竭加重,Complication,COMP-CARD-477C6EB5E1D6,BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation\05_data_instance\nodes_final.jsonl,aliases
Tachycardia-induced cardiomyopathy,tachycardia-inducedcardiomyopathy,心动过速性心肌病,Complication,COMP-CARD-999717870618,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,name_en
Tachycardia-induced cardiomyopathy,tachycardia-inducedcardiomyopathy,心动过速性心肌病,Complication,COMP-CARD-999717870618,BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter\05_data_instance\nodes_final.jsonl,name_en
TIC,tic,心动过速性心肌病,Complication,COMP-CARD-999717870618,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,abbr
TIC,tic,心动过速性心肌病,Complication,COMP-CARD-999717870618,BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter\05_data_instance\nodes_final.jsonl,abbr
心动过速诱导心肌病,心动过速诱导心肌病,心动过速性心肌病,Complication,COMP-CARD-999717870618,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
心动过速诱导心肌病,心动过速诱导心肌病,心动过速性心肌病,Complication,COMP-CARD-999717870618,BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter\05_data_instance\nodes_final.jsonl,aliases
Arrhythmia,arrhythmia,心律失常,Complication,COMP-CARD-439BBF78D81C,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,name_en
Arrhythmia,arrhythmia,心律失常,Complication,COMP-CARD-439BBF78D81C,BATCH-CARD-CAD-20260623-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-20260623-001\05_data_instance\nodes_final.jsonl,name_en
Arrhythmia,arrhythmia,心律失常,Complication,COMP-CARD-439BBF78D81C,BATCH-CARD-CM-20260622-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CM-20260622-001\05_data_instance\nodes_final.jsonl,name_en
室性心律失常,室性心律失常,心律失常,Complication,COMP-CARD-439BBF78D81C,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
室性心律失常,室性心律失常,心律失常,Complication,COMP-CARD-439BBF78D81C,BATCH-CARD-CAD-20260623-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-20260623-001\05_data_instance\nodes_final.jsonl,aliases
室性心律失常,室性心律失常,心律失常,Complication,COMP-CARD-439BBF78D81C,BATCH-CARD-CM-20260622-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CM-20260622-001\05_data_instance\nodes_final.jsonl,aliases
房颤,房颤,心律失常,Complication,COMP-CARD-439BBF78D81C,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
房颤,房颤,心律失常,Complication,COMP-CARD-439BBF78D81C,BATCH-CARD-CAD-20260623-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-20260623-001\05_data_instance\nodes_final.jsonl,aliases
房颤,房颤,心律失常,Complication,COMP-CARD-439BBF78D81C,BATCH-CARD-CM-20260622-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CM-20260622-001\05_data_instance\nodes_final.jsonl,aliases
AF,af,心房颤动,Complication,COMP-CARD-E1BD377B73CD,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,abbr
AF,af,心房颤动,Complication,COMP-CARD-E1BD377B73CD,BATCH-CARD-CAD-20260623-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-20260623-001\05_data_instance\nodes_final.jsonl,abbr
AF,af,心房颤动,Complication,COMP-CARD-E1BD377B73CD,BATCH-CARD-CM-20260622-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CM-20260622-001\05_data_instance\nodes_final.jsonl,abbr
Atrial fibrillation,atrialfibrillation,心房颤动,Complication,COMP-CARD-E1BD377B73CD,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,name_en
Atrial fibrillation,atrialfibrillation,心房颤动,Complication,COMP-CARD-E1BD377B73CD,BATCH-CARD-CAD-20260623-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-20260623-001\05_data_instance\nodes_final.jsonl,name_en
Atrial fibrillation,atrialfibrillation,心房颤动,Complication,COMP-CARD-E1BD377B73CD,BATCH-CARD-CM-20260622-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CM-20260622-001\05_data_instance\nodes_final.jsonl,name_en
房颤,房颤,心房颤动,Complication,COMP-CARD-E1BD377B73CD,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
房颤,房颤,心房颤动,Complication,COMP-CARD-E1BD377B73CD,BATCH-CARD-CAD-20260623-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-20260623-001\05_data_instance\nodes_final.jsonl,aliases
房颤,房颤,心房颤动,Complication,COMP-CARD-E1BD377B73CD,BATCH-CARD-CM-20260622-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CM-20260622-001\05_data_instance\nodes_final.jsonl,aliases
Cardiogenic shock,cardiogenicshock,心源性休克,Complication,COMP-CARD-2D4A7476D746,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,name_en
Cardiogenic shock,cardiogenicshock,心源性休克,Complication,COMP-CARD-2D4A7476D746,BATCH-CARD-CAD-20260623-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-20260623-001\05_data_instance\nodes_final.jsonl,name_en
Cardiogenic shock,cardiogenicshock,心源性休克,Complication,COMP-CARD-2D4A7476D746,BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD\05_data_instance\nodes_final.jsonl,name_en
休克,休克,心源性休克,Complication,COMP-CARD-2D4A7476D746,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
休克,休克,心源性休克,Complication,COMP-CARD-2D4A7476D746,BATCH-CARD-CAD-20260623-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-20260623-001\05_data_instance\nodes_final.jsonl,aliases
Angina,angina,心绞痛,Complication,COMP-CARD-8518D33440EE,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,name_en
Angina,angina,心绞痛,Complication,COMP-CARD-8518D33440EE,BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter\05_data_instance\nodes_final.jsonl,name_en
心肌缺血,心肌缺血,心绞痛,Complication,COMP-CARD-8518D33440EE,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
心肌缺血,心肌缺血,心绞痛,Complication,COMP-CARD-8518D33440EE,BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter\05_data_instance\nodes_final.jsonl,aliases
胸痛,胸痛,心绞痛,Complication,COMP-CARD-8518D33440EE,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
胸痛,胸痛,心绞痛,Complication,COMP-CARD-8518D33440EE,BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter\05_data_instance\nodes_final.jsonl,aliases
心包填塞,心包填塞,心脏压塞,Complication,COMP-CARD-FULLBOOK-9F24E726C4,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
心包填塞,心包填塞,心脏压塞,Complication,COMP-CARD-FULLBOOK-9F24E726C4,BATCH-CARD-CAD-20260623-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-20260623-001\05_data_instance\nodes_final.jsonl,aliases
SCD,scd,心脏性猝死,Complication,COMP-CARD-A72F9F86BA4A,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,abbr
SCD,scd,心脏性猝死,Complication,COMP-CARD-A72F9F86BA4A,BATCH-CARD-CAD-20260623-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-20260623-001\05_data_instance\nodes_final.jsonl,abbr
