疾病大类,资料名称,权威等级,关键词,定位,短证据片段,文件路径
冠心病/AMI,ACC/AHA/ACEP/NAEMSP/SCAI 指南：急性冠脉综合征患者的管理 2025,A1,PCI,第2页,…t PC I-Capable Hospitals ............................. e8 03 5.2.1. P PCI in STEMI ................ e8 03 5.2.2. Urgent C ABG Surgery .........…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\ACC／AHA／ACEP／NAEMSP ／SCAI指 南：急性冠脉 综合征患者的管理 2025.pdf
冠心病/AMI,ACC/AHA/ACEP/NAEMSP/SCAI 指南：急性冠脉综合征患者的管理 2025,A1,troponin,第8页,…ICU cardiac intensive care unit CR cardiac rehabilitation cTn cardiac troponin CVD cardiovascular disease DAPT dual antiplatelet therapy DOAC direct…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\ACC／AHA／ACEP／NAEMSP ／SCAI指 南：急性冠脉 综合征患者的管理 2025.pdf
冠心病/AMI,ACC/AHA/ACEP/NAEMSP/SCAI 指南：急性冠脉综合征患者的管理 2025,A1,culprit,第4页,…oronary artery disease and comorbid conditions. PCI of significant nonculprit stenoses for patients with ST-segment eleva- tion myocardial infarcti…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\ACC／AHA／ACEP／NAEMSP ／SCAI指 南：急性冠脉 综合征患者的管理 2025.pdf
冠心病/AMI,ESC 急性冠脉综合征指南 2023,A1,acute coronary,第1页,2023 ESC Guidelines for the management of acute coronary syndromes Developed by the task force on the management of acute coro…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\ESC 急性冠脉综合征指南（2023）.pdf
冠心病/AMI,ESC 急性冠脉综合征指南 2023,A1,STEMI,第5页,…ys in patients presenting to the emergency department with suspected NSTEMI and without an indication for immediate invasive angiography ........…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\ESC 急性冠脉综合征指南（2023）.pdf
冠心病/AMI,ESC 急性冠脉综合征指南 2023,A1,NSTEMI,第5页,…ays in patients presenting to the emergency department with suspected NSTEMI and without an indication for immediate invasive angiography ........…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\ESC 急性冠脉综合征指南（2023）.pdf
冠心病/AMI,ESC 急性冠脉综合征指南 2023,A1,reperfusion,第2页,…centred care • Percutaneous coronary intervention • Recommendations • Reperfusion therapy • Revascularization • Secondary prevention • ST-segment eleva…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\ESC 急性冠脉综合征指南（2023）.pdf
冠心病/AMI,ESC 急性冠脉综合征指南 2023,A1,PCI,第1页,"… European Association of Percutaneous Cardiovascular Interventions (EAPCI), European Heart Rhythm Association (EHRA), and Heart Failure Associa…",E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\ESC 急性冠脉综合征指南（2023）.pdf
冠心病/AMI,ESC 急性冠脉综合征指南 2023,A1,culprit,第6页,…mes for People Using Anticoagulation Strategies COMPLETE Complete vs. Culprit-only Revascularization to Treat Multivessel Disease After Early PCI f…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\ESC 急性冠脉综合征指南（2023）.pdf
冠心病/AMI,ESC 急性冠脉综合征指南 2023,A1,troponin,第2页,… syndrome • Antithrombotic therapy • Fibrinolysis • High- sensitivity troponin • Invasive strategy • MINOCA • Myocardial infarction • Non-ST-elevati…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\ESC 急性冠脉综合征指南（2023）.pdf
冠心病/AMI,STEMI CN 2019,A1,STEMI,第1页,…：zhangruiyan@263.net； 高炜，Email：dr_gaowei@163.com 【 摘要 】急性ST 段抬高型心肌梗死 （STEMI） 是冠心病的严重类型， 为致死致残的主要原因。该 指南复习了相关资料和研究进展， 结合我国具体情况， 对2015 年 “急性STEMI 诊…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\STEMI CN 2019.pdf
冠心病/AMI,STEMI CN 2019,A1,溶栓,第2页,…疡、 大出血、 不明原因贫血或黑便 ） 、 出血性疾病、 外 科手术或拔牙史以及药物治疗史 （ 他汀类药物及降 压药物、 抗血小板、 抗凝和溶栓药物应用史等 ） 。 2. 体格检查： 应密切注意患者生命体征。观察 患者的一般状态， 有无皮肤湿冷、 面色苍白、 烦躁不 安、 颈静脉怒张…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\STEMI CN 2019.pdf
冠心病/AMI,STEMI CN 2019,A1,PCI,第2页,…增高之前， 尸检证 实为心肌梗死。4 型： 包括经皮冠状动脉介入治疗 （percutaneouscoronaryintervention ，PCI） 相 关 心 肌 梗死 （4a 型 ） 、 冠状动脉内支架或支撑物血栓形成相 关 心 肌 梗 死 （4b 型） 及 再 狭 窄 相 关 心…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\STEMI CN 2019.pdf
冠心病/AMI,STEMI CN 2019,A1,再灌注,第1页,…急性STEMI 诊断和治疗指南” 作一 更新， 以期提高我国STEMI 的诊断和治疗水平。指南从诊断和危险分层、 缺血风险和出血风险评估、 再灌注治疗、 住院治疗、 临床评估、 预后判断及长期治疗等方面进行了详细阐述。强调STEMI 患者的 全程管理从首次医疗接触开始， 应最大限度地提…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\STEMI CN 2019.pdf
冠心病/AMI,NSTE-ACS CN 2024,A1,NSTE,第1页,… 710061，Email：zuyiyuan@mail .xjtu.edu.cn 【摘要】 近年来 ，在非 ST 段抬高型急性冠脉综合征 （NSTE‑ACS）诊断和治疗领域积累了大量的 新证据 。为进一步优化我国 NSTE‑ACS 的诊治实践 ，由中华医学会心血管病学分会和中华心血管病 …,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\NSTE-ACS CN 2024.pdf
冠心病/AMI,NSTE-ACS CN 2024,A1,NSTEMI,第2页,…ACS 包 括 非 ST 段 抬 高 型 心 肌 梗 死 （non‑ST‑elevation myocardial infarction ，NSTEMI） 和 不 稳 定 性 心 绞 痛，两 者 发 病 机 制 和 临 床 表 现 相 似，其 区 别 主 要 是 缺 血 导 致 心 肌 损 …,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\NSTE-ACS CN 2024.pdf
冠心病/AMI,NSTE-ACS CN 2024,A1,肌钙蛋白,第3页,…          hs‑cTn：高敏心肌肌钙蛋白 ，NSTE‑ACS：非 ST 段抬高型急性冠脉综合征 ；0 h 表示接诊后 0 h 检测的 hs‑cTn 水平；Δ0~1 h 表示接诊后 …,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\NSTE-ACS CN 2024.pdf
冠心病/AMI,NSTE-ACS CN 2024,A1,GRACE,第4页,…全 球 急 性 冠 状 动 脉 事 件 注 册 研 究（Global Registry of Acute Coronary Events ，GRACE）风 险 评 分>140。若无以上情况则为心律失常低风险 。 危险分层 一、心电图表现 发病初的心电图表现与患者预后相关 。ST 段 压低的…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\NSTE-ACS CN 2024.pdf
冠心病/AMI,NSTE-ACS CN 2024,A1,风险,第4页,… ，建议行心电监测 ，直到明确诊断 或排除 NSTEMI（Ⅰ，C） ，并酌情将 NSTEMI 患者 收入监护病房（Ⅰ，C） 。 对心律失常低风险的 NSTEMI 患者 ，建议心 电 监 测24 h 或 直 至 完 成 经 皮 冠 状 动 脉 介 入 治 疗 （percutaneous…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\NSTE-ACS CN 2024.pdf
冠心病/AMI,心肌梗死心电图诊断标准和报告规范中国专家共识,A2,导联,第2页,…电位的下降以及动作电位时程的缩 短，这些变化导致静息状态下形成异常的电流向量 及梗死区局部高钾，进而在心电图上表现为与受累 冠状动脉区域相应导联的 ST 段抬高。目前，多个 ACS 管理指南和 MI 定义均对 ST 段抬高的诊断标准 进行了统一规范 [6-8] 。 1.1 诊断标准 …,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\心肌梗死心电图诊断标准和报告规范中国专家共识.pdf
冠心病/AMI,心肌梗死心电图诊断标准和报告规范中国专家共识,A2,心肌梗死,第1页,…ulation Journal， December， 2025， Vol. 40 No.12（Serial No.330） 摘要 心电图作为心肌梗死（MI）诊断的核心工具之一，在心肌肌钙蛋白已成为 MI 重要血清学标志物的背景下，仍具有 不可替代的临床价值。国内外各类指南均强调心电图在急…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\心肌梗死心电图诊断标准和报告规范中国专家共识.pdf
冠心病/AMI,心肌梗死心电图诊断标准和报告规范中国专家共识,A2,报告规范,第1页,…等高危（STEMI equivalents） 、非 ST 段抬高型 MI（NSTEMI）及陈旧或沉默 / 未发现的 MI 的心电图诊断标准和报告规范。该共识旨在推 动各类 MI 及相关高危心电图的早期识别，进一步强调心电图在 MI 诊断和风险评估中的临床应用价值。 关键词 心电图； 心肌…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\心肌梗死心电图诊断标准和报告规范中国专家共识.pdf
心肌病,《内科学（第10版）》,B,肥厚型心肌病,段落3922,（1）原发性心肌损害：冠状动脉疾病导致缺血性心肌损害如心肌梗死、慢性心肌缺血；炎症导致心肌损害如心肌炎；遗传性心肌病如扩张型心肌病、肥厚型心肌病、致心律失常性右心室心肌病等。,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.docx
心肌病,《内科学（第10版）》,B,基因,段落379,…如，高敏肌钙蛋白的测定使急性心肌梗死的诊断时间大大缩短，血乙肝病毒 DNA 载量的测定为慢性乙型肝炎的治疗提供了重要参考。2003 年，人类基因组测序公布，人类基因图谱第一次被展示出来，基因组学时代正式开启。人类基因组和各种微生物基因组应用于各种场景，包括病因诊断、治疗指导、预后判断…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.docx
心肌病,《内科学（第10版）》,B,家族,段落527,…发呼吸系统疾病的原因和疾病发生的经过，因此应按照诊断学要求详细询问病史，包括环境 / 职业暴露史、吸烟史、传染病接触史，既往疾病与用药史以及家族遗传疾病史等。,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.docx
心肌病,《内科学（第10版）》,B,左室流出道,段落5751,【病理生理】 左室流出道梗阻（left ventricular outflow tract obstruction，LVOTO）和心脏舒张功能障碍是本病的病理生理基…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.docx
心肌病,《内科学（第10版）》,B,猝死,段落2504,…血流比例失调而致低氧血症。约 1/3 的病人因右心房压力增加而出现卵圆孔再开放，产生右向左分流，可能导致严重的低氧血症（同时增加矛盾性栓塞和猝死的风险）。远端小栓子可能造成局部的出血性肺不张，即肺梗死，并引起局部肺泡出血，可表现为咯血，并可伴发胸膜炎和胸腔积液，从而对气体交换产生影响…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.docx
心肌病,《内科学（第10版）》,B,淀粉样,段落2278,4.7 肺淀粉样变（pulmonary amyloidosis）,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.docx
心肌病,中国心肌病综合管理指南 2025,A1,心肌病,第1页,…hinese Circulation Journal， May， 2025， Vol. 40 No.5（Serial No.323） 摘要 心肌病的患病率高，病因复杂，表现多样，预后不良，且与遗传密切相关。近年来，心肌病的定义、分类、精 准诊断与个体化治疗等方面不断取得更新和突破。本指…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\2_中国心肌病综合管理指南2025.pdf
心肌病,中国心肌病综合管理指南 2025,A1,遗传,第1页,…， May， 2025， Vol. 40 No.5（Serial No.323） 摘要 心肌病的患病率高，病因复杂，表现多样，预后不良，且与遗传密切相关。近年来，心肌病的定义、分类、精 准诊断与个体化治疗等方面不断取得更新和突破。本指南整合最新的循证医学证据，系统阐述了各类心肌病的定…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\2_中国心肌病综合管理指南2025.pdf
心肌病,中国心肌病综合管理指南 2025,A1,基因,第1页,…了各类心肌病的定义、 分类、病因及发病机制，并对诊断、治疗及管理提出了推荐意见，旨在提高我国心肌病临床实践水平。 关键词 心肌病； 分类； 基因检测； 诊疗； 管理 2025 Chinese Guideline for the Management of Cardiomyopathi…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\2_中国心肌病综合管理指南2025.pdf
心肌病,中国心肌病综合管理指南 2025,A1,家系,第2页,…男女比例约为 2:1 [3] 。 2 心肌病诊断评估流程和方法 心肌病患者就诊途径多样，患者可能因出现临 床症状、常规体检或作为心肌病患者的家系筛查就 医，也可能在心血管受累相关的多器官疾病的诊治 中被发现。 推荐所有疑诊或确诊的心肌病患者进行系统性 评估和病因诊断 （Ⅰ，C） 。 …,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\2_中国心肌病综合管理指南2025.pdf
心肌病,中国心肌病综合管理指南 2025,A1,法布雷,第3页,…性血清自身抗体； 血清 ACE √ √ √ 甲状腺疾病 甲状腺激素 √ 甲状旁腺疾病 甲状旁腺激素 √ √ Pompe 病 GAA √ √ 法布雷病 α-Gal A（男性 ） ； Gb3、Lyso-Gb3 √ √ 线粒体疾病 乳酸； 尿肌红蛋白 √ √ 脂肪酸氧化代谢障碍 肉碱； 丙酮…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\2_中国心肌病综合管理指南2025.pdf
心肌病,中国心肌病综合管理指南 2025,A1,淀粉样,第2页,… 制 型 心 肌 病（restrictive cardiomyopathy，RCM） 、心律失常相关心肌病、代 谢性心肌病、综合征性心肌病、淀粉样变心肌病、 其他心肌受累疾病和特异性心肌损伤 9 大类。 我国针对普通人群的抽样调查数据显示，成人 HCM 患病率约为 1/625 [1] …,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\2_中国心肌病综合管理指南2025.pdf
心肌病,中国心肌病综合管理指南 2025,A1,表型,第3页,…diography，TEE）可明确有无 心房颤动相关血栓，并作为侵入性治疗（如 HCM 患 者的室间隔减容术 ） 的围术期检查。 表2 不同表型心肌病患者的实验室检查 检查项目 肥厚表型 扩张表型 限制表型 心律失常表型 常规检查 血常规； 肝、肾功能； 尿蛋白； 肌酸激酶； 肌钙蛋…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\2_中国心肌病综合管理指南2025.pdf
心肌病,中国心肌病综合管理指南 2025,A1,猝死,第2页,…心脏症状可能提示代 谢性心肌病或综合征性心肌病 [5] 。 家族史需关注家庭成员罹患心肌病的可能以及 与心肌病相关的事件，如早死 [ 心脏性猝死（sudden cardiac death，SCD）可能被报告为意外死亡 ]、不明原 因心力衰竭、心脏移植、植入起搏器或埋藏式心脏复 律除颤…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\2_中国心肌病综合管理指南2025.pdf
心肌病,HCM ESC 2023,A1,hypertrophic cardiomyopathy,第2页,…d cardiomyopathy • Genetics • Genetic counselling • Genetic testing • Hypertrophic cardiomyopathy • Implantable cardioverter defibrillator • Management • Multimodality…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM  ESC 2023.pdf
心肌病,HCM ESC 2023,A1,genetic,第1页,…enital Cardiology (AEPC) 2 Representing the European Society of Human Genetics (ESHG) ESC Clinical Practice Guidelines (CPG) Committee: listed in t…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM  ESC 2023.pdf
心肌病,HCM ESC 2023,A1,family,第3页,…0.6. Routine follow-up of patients with cardiomyopathy ... 3546 6.11. Family screening and follow-up evaluation of relatives ....... 3546 6.11.1. …,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM  ESC 2023.pdf
心肌病,HCM ESC 2023,A1,LVOT,第7页,LVNC Left ventricular non-compaction LVOT Left ventricular outflow tract LVSD Left ventricular systolic dysfunc…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM  ESC 2023.pdf
心肌病,HCM ESC 2023,A1,sudden cardiac death,第2页,…strictive cardiomyopathy • Risk stratification • Screening • Sports • Sudden cardiac death Table of contents 1. Preamble .......................................…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM  ESC 2023.pdf
心肌病,HCM ESC 2023,A1,mavacamten,第7页,…ve inversion UFH Unfractionated heparin VALOR-HCM A Study to Evaluate Mavacamten in Adults With Symptomatic Obstructive HCM Who Are Eligible for Septa…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM  ESC 2023.pdf
心肌病,HCM AHA 2024,A1,hypertrophic cardiomyopathy,第1页,…CB. 2024 AHA/ACC/AMSSM/HRS/PACES/SCMR guideline for the management of hypertrophic cardiomyopathy: a report of the American Heart Association/American College of Cardi…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM AHA 2024.pdf
心肌病,HCM AHA 2024,A1,genetic,第1页,… appropriate. STRUCTURE: Hypertrophic cardiomyopathy remains a common genetic heart disease reported in populations globally. Recommendations from …,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM AHA 2024.pdf
心肌病,HCM AHA 2024,A1,family,第1页,"… dysfunction ◼ echocardiography ◼ exercise, exercise stress testing ◼ family screening ◼ genetics ◼ hypertrophic cardiomyopathy ◼ implantable card…",E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM AHA 2024.pdf
心肌病,HCM AHA 2024,A1,SCD,第2页,"…Are Genotype-Positive, Phenotype-Negative ................. e1263 7 . SCD Risk Assessment and Prevention ...... e1264 7 .1. SCD Risk Assessment…",E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM AHA 2024.pdf
心肌病,HCM AHA 2024,A1,LVOT,第3页,…h obstructive HCM who have persistent severe symptoms attributable to LVOTO despite beta blockers or nondihydropyridine calcium channel blockers…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM AHA 2024.pdf
心肌病,HCM AHA 2024,A1,myosin inhibitor,第1页,…: AHA Scientific Statements ◼ athlete ◼ atrial fibrillation ◼ cardiac myosin inhibitors ◼ cardiovascular magnetic resonance imaging ◼ diastolic dysfunction …,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM AHA 2024.pdf
心肌病,成人法布雷病心肌病诊断与治疗中国专家共识,A2,法布雷,第1页,"…2024 年 2 月第 52 卷第 2 期 Chin J Cardiol, February 2024, Vol. 52, No. 2 成人法布雷病心肌病诊断与治疗中国专家 共识 中华医学会心血管病学分会 中华心血管病杂志编辑委员会 通信作者：张抒扬，Email：shuyangzhan…",E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\特殊类型心肌病\成人法布雷病心肌病诊断与治疗中国专家共识.pdf
心肌病,成人法布雷病心肌病诊断与治疗中国专家共识,A2,GLA,第1页,…3@163.com；韩雅玲，Email：hanyaling@263.net 【摘要】 法布雷病（FD）是一种 X 染色体连锁遗传疾病 ，因 GLA 基因突变 ，导致其编码的 α 半乳 糖 苷 酶A（α‑Gal A）活 性 降 低 或 完 全 缺 乏，造 成 代 谢 底 物 三 己 糖 …,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\特殊类型心肌病\成人法布雷病心肌病诊断与治疗中国专家共识.pdf
心肌病,成人法布雷病心肌病诊断与治疗中国专家共识,A2,α,第1页,…il：hanyaling@263.net 【摘要】 法布雷病（FD）是一种 X 染色体连锁遗传疾病 ，因 GLA 基因突变 ，导致其编码的 α 半乳 糖 苷 酶A（α‑Gal A）活 性 降 低 或 完 全 缺 乏，造 成 代 谢 底 物 三 己 糖 酰 基 鞘（Gb3）及 衍 生…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\特殊类型心肌病\成人法布雷病心肌病诊断与治疗中国专家共识.pdf
心肌病,成人法布雷病心肌病诊断与治疗中国专家共识,A2,半乳糖苷酶,第5页,…    )'           )'           FD：法布雷病 ，GLA：α‑半乳糖苷酶基因 ，α‑Gal A：α‑半乳糖苷酶 A，Gb3：三己糖酰基鞘 脂醇；a 和虚线：对于一些迟发型患者 ，特别是具有较高 α‑Gal A 活…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\特殊类型心肌病\成人法布雷病心肌病诊断与治疗中国专家共识.pdf
心肌病,成人法布雷病心肌病诊断与治疗中国专家共识,A2,心肌病,第1页,"… 年 2 月第 52 卷第 2 期 Chin J Cardiol, February 2024, Vol. 52, No. 2 成人法布雷病心肌病诊断与治疗中国专家 共识 中华医学会心血管病学分会 中华心血管病杂志编辑委员会 通信作者：张抒扬，Email：shuyangzhang103…",E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\特殊类型心肌病\成人法布雷病心肌病诊断与治疗中国专家共识.pdf
心肌病,成人法布雷病心肌病诊断与治疗中国专家共识,A2,遗传,第1页,…gzhang103@163.com；韩雅玲，Email：hanyaling@263.net 【摘要】 法布雷病（FD）是一种 X 染色体连锁遗传疾病 ，因 GLA 基因突变 ，导致其编码的 α 半乳 糖 苷 酶A（α‑Gal A）活 性 降 低 或 完 全 缺 乏，造 成 代 谢 底…,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\特殊类型心肌病\成人法布雷病心肌病诊断与治疗中国专家共识.pdf
