实体类型,重复节点名称,重复节点编码,保留主节点名称,保留主节点编码,处理原因,重复节点元素ID,主节点元素ID,处置
Evidence,心力衰竭-端坐呼吸-全书回捞证据-7529-2BFC1B,"""EVD-CARD-FULLBOOK-9320A5932BFC1B""",心力衰竭-呼吸困难-全书回捞证据-7529-428DE8,EVD-CARD-FULLBOOK-3148AB1C428DE8,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13022,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13020,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-夜间阵发性呼吸困难-全书回捞证据-7529-B54F90,"""EVD-CARD-FULLBOOK-593B4D6CB54F90""",心力衰竭-呼吸困难-全书回捞证据-7529-428DE8,EVD-CARD-FULLBOOK-3148AB1C428DE8,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13023,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13020,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-胸痛-全书回捞证据-7529-AE8696,"""EVD-CARD-FULLBOOK-E23E45ABAE8696""",心力衰竭-呼吸困难-全书回捞证据-7529-428DE8,EVD-CARD-FULLBOOK-3148AB1C428DE8,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13024,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13020,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-乏力-全书回捞证据-7529-1E2163,"""EVD-CARD-FULLBOOK-41013F481E2163""",心力衰竭-呼吸困难-全书回捞证据-7529-428DE8,EVD-CARD-FULLBOOK-3148AB1C428DE8,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13025,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13020,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-水肿-全书回捞证据-7529-9C583A,"""EVD-CARD-FULLBOOK-5FB73D6F9C583A""",心力衰竭-呼吸困难-全书回捞证据-7529-428DE8,EVD-CARD-FULLBOOK-3148AB1C428DE8,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13026,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13020,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-颈静脉怒张-全书回捞证据-7529-F1D8A2,"""EVD-CARD-FULLBOOK-3EA04859F1D8A2""",心力衰竭-呼吸困难-全书回捞证据-7529-428DE8,EVD-CARD-FULLBOOK-3148AB1C428DE8,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13027,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13020,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-肺部啰音-全书回捞证据-7529-DF105B,"""EVD-CARD-FULLBOOK-439B805ADF105B""",心力衰竭-呼吸困难-全书回捞证据-7529-428DE8,EVD-CARD-FULLBOOK-3148AB1C428DE8,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13028,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13020,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-奔马律-全书回捞证据-7529-3ED9A9,"""EVD-CARD-FULLBOOK-418CD3D03ED9A9""",心力衰竭-呼吸困难-全书回捞证据-7529-428DE8,EVD-CARD-FULLBOOK-3148AB1C428DE8,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13029,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13020,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-心脏扩大-全书回捞证据-7529-566DD0,"""EVD-CARD-FULLBOOK-28B22652566DD0""",心力衰竭-呼吸困难-全书回捞证据-7529-428DE8,EVD-CARD-FULLBOOK-3148AB1C428DE8,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13030,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13020,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-心肌缺血-全书回捞证据-7529-F09DCF,"""EVD-CARD-FULLBOOK-6ED3635BF09DCF""",心力衰竭-呼吸困难-全书回捞证据-7529-428DE8,EVD-CARD-FULLBOOK-3148AB1C428DE8,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13031,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13020,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-右心负荷增加-全书回捞证据-7529-131DFB,"""EVD-CARD-FULLBOOK-85F8D63B131DFB""",心力衰竭-呼吸困难-全书回捞证据-7529-428DE8,EVD-CARD-FULLBOOK-3148AB1C428DE8,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13032,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13020,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-心力衰竭-全书回捞证据-7529-D56BB0,"""EVD-CARD-FULLBOOK-C1079029D56BB0""",心力衰竭-呼吸困难-全书回捞证据-7529-428DE8,EVD-CARD-FULLBOOK-3148AB1C428DE8,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13033,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13020,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-高血压-全书回捞证据-8355-1BDBAF,"""EVD-CARD-FULLBOOK-A0B0E12B1BDBAF""",心力衰竭-水肿-全书回捞证据-8355-C4ED54,EVD-CARD-FULLBOOK-2974F443C4ED54,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13173,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13172,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-心电图-全书回捞证据-8355-2AA4E3,"""EVD-CARD-FULLBOOK-A7E74EE42AA4E3""",心力衰竭-水肿-全书回捞证据-8355-C4ED54,EVD-CARD-FULLBOOK-2974F443C4ED54,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13174,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13172,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-血脂检查-全书回捞证据-8355-4F88BF,"""EVD-CARD-FULLBOOK-20527F184F88BF""",心力衰竭-水肿-全书回捞证据-8355-C4ED54,EVD-CARD-FULLBOOK-2974F443C4ED54,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13175,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13172,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-血糖-全书回捞证据-8355-FDA23A,"""EVD-CARD-FULLBOOK-185AA2D6FDA23A""",心力衰竭-水肿-全书回捞证据-8355-C4ED54,EVD-CARD-FULLBOOK-2974F443C4ED54,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13176,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13172,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-肾功能-全书回捞证据-8355-F2F610,"""EVD-CARD-FULLBOOK-72DC53BCF2F610""",心力衰竭-水肿-全书回捞证据-8355-C4ED54,EVD-CARD-FULLBOOK-2974F443C4ED54,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13177,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13172,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-血运重建-全书回捞证据-8355-FC1EA2,"""EVD-CARD-FULLBOOK-5A0C40B7FC1EA2""",心力衰竭-水肿-全书回捞证据-8355-C4ED54,EVD-CARD-FULLBOOK-2974F443C4ED54,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13178,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13172,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-吸烟-全书回捞证据-8355-D73D08,"""EVD-CARD-FULLBOOK-44BFA9D0D73D08""",心力衰竭-水肿-全书回捞证据-8355-C4ED54,EVD-CARD-FULLBOOK-2974F443C4ED54,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13179,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13172,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-糖尿病-全书回捞证据-8355-662283,"""EVD-CARD-FULLBOOK-856A3F6A662283""",心力衰竭-水肿-全书回捞证据-8355-C4ED54,EVD-CARD-FULLBOOK-2974F443C4ED54,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13180,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13172,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-肥胖-全书回捞证据-8355-2418E1,"""EVD-CARD-FULLBOOK-D245CF512418E1""",心力衰竭-水肿-全书回捞证据-8355-C4ED54,EVD-CARD-FULLBOOK-2974F443C4ED54,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13181,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13172,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-家族史-全书回捞证据-8355-6002CF,"""EVD-CARD-FULLBOOK-E4CD0DF56002CF""",心力衰竭-水肿-全书回捞证据-8355-C4ED54,EVD-CARD-FULLBOOK-2974F443C4ED54,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13182,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13172,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-动脉粥样硬化-全书回捞证据-8355-4CC2C7,"""EVD-CARD-FULLBOOK-6F47199A4CC2C7""",心力衰竭-水肿-全书回捞证据-8355-C4ED54,EVD-CARD-FULLBOOK-2974F443C4ED54,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13183,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13172,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-心力衰竭-全书回捞证据-8355-D86661,"""EVD-CARD-FULLBOOK-9FE60881D86661""",心力衰竭-水肿-全书回捞证据-8355-C4ED54,EVD-CARD-FULLBOOK-2974F443C4ED54,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13184,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13172,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-脑卒中-全书回捞证据-8355-19F1FE,"""EVD-CARD-FULLBOOK-FBB27E1A19F1FE""",心力衰竭-水肿-全书回捞证据-8355-C4ED54,EVD-CARD-FULLBOOK-2974F443C4ED54,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13185,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13172,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-出血-全书回捞证据-8355-F0CE5C,"""EVD-CARD-FULLBOOK-A74CF0BBF0CE5C""",心力衰竭-水肿-全书回捞证据-8355-C4ED54,EVD-CARD-FULLBOOK-2974F443C4ED54,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13186,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13172,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-高血压-全书回捞证据-8521-C241AD,"""EVD-CARD-FULLBOOK-14477743C241AD""",心力衰竭-乏力-全书回捞证据-8521-E3B0B5,EVD-CARD-FULLBOOK-8A8F555BE3B0B5,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13203,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13202,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-血脂检查-全书回捞证据-8521-FA5077,"""EVD-CARD-FULLBOOK-04E8CFF8FA5077""",心力衰竭-乏力-全书回捞证据-8521-E3B0B5,EVD-CARD-FULLBOOK-8A8F555BE3B0B5,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13204,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13202,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-血糖-全书回捞证据-8521-9B34B5,"""EVD-CARD-FULLBOOK-93D16EE19B34B5""",心力衰竭-乏力-全书回捞证据-8521-E3B0B5,EVD-CARD-FULLBOOK-8A8F555BE3B0B5,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13205,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13202,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-肾功能-全书回捞证据-8521-4A47EC,"""EVD-CARD-FULLBOOK-796C9F814A47EC""",心力衰竭-乏力-全书回捞证据-8521-E3B0B5,EVD-CARD-FULLBOOK-8A8F555BE3B0B5,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13206,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13202,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-血管紧张素转换酶抑制剂-全书回捞证据-8521-6BE67C,"""EVD-CARD-FULLBOOK-DDA9FED16BE67C""",心力衰竭-乏力-全书回捞证据-8521-E3B0B5,EVD-CARD-FULLBOOK-8A8F555BE3B0B5,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13207,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13202,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-血管紧张素Ⅱ受体拮抗剂-全书回捞证据-8521-0D0EE8,"""EVD-CARD-FULLBOOK-3B1C6AEB0D0EE8""",心力衰竭-乏力-全书回捞证据-8521-E3B0B5,EVD-CARD-FULLBOOK-8A8F555BE3B0B5,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13208,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13202,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-利尿剂-全书回捞证据-8521-D8623B,"""EVD-CARD-FULLBOOK-DBCEABE9D8623B""",心力衰竭-乏力-全书回捞证据-8521-E3B0B5,EVD-CARD-FULLBOOK-8A8F555BE3B0B5,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13209,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13202,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-糖尿病-全书回捞证据-8521-4D5C92,"""EVD-CARD-FULLBOOK-C6887E384D5C92""",心力衰竭-乏力-全书回捞证据-8521-E3B0B5,EVD-CARD-FULLBOOK-8A8F555BE3B0B5,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13210,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13202,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-肥胖-全书回捞证据-8521-9EB353,"""EVD-CARD-FULLBOOK-EAFDF07E9EB353""",心力衰竭-乏力-全书回捞证据-8521-E3B0B5,EVD-CARD-FULLBOOK-8A8F555BE3B0B5,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13211,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13202,迁移全部关系后物理删除重复节点
Evidence,心力衰竭-心力衰竭-全书回捞证据-8521-A23A05,"""EVD-CARD-FULLBOOK-C0F3DC04A23A05""",心力衰竭-乏力-全书回捞证据-8521-E3B0B5,EVD-CARD-FULLBOOK-8A8F555BE3B0B5,duplicate_replaced_by 指向有效主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13212,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:13202,迁移全部关系后物理删除重复节点
