实体类型,实体名称,原编码,最终主编码,处理方式,原节点元素ID,主节点元素ID
Evidence,感染性心内膜炎-definition-教材证据,"[""EVD-CARD-FOUND-00450"", ""EVID-DEF-DIS-CARD-INFECTIVE-ENDOCARDITIS""]",EVID-DEF-DIS-CARD-INFECTIVE-ENDOCARDITIS,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:601,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:601
Evidence,阵发性室上性心动过速-definition-教材证据,"[""EVID-TEXTBOOK-DEF-DEF-DIS-CARD-ARR-PSVT"", ""EVD-CARD-FOUND-00054""]",EVID-TEXTBOOK-DEF-DEF-DIS-CARD-ARR-PSVT,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43568,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43568
Evidence,高血压急症和亚急症-definition-教材证据,"[""EVD-CARD-FOUND-00233"", ""EVID-DEF-DIS-CARD-HTN-EMERGENCY""]",EVID-DEF-DIS-CARD-HTN-EMERGENCY,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:384,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:384
ExamIndicator,24小时平均血压,"[""IND-CARD-8EDA33C8602F"", ""IND-EXAM-CARD-F172A71AF16D-24小时平均血压""]",IND-CARD-8EDA33C8602F,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:42805,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:42805
ExamIndicator,PR间期,"[""DXC-CARD-F7025E7AB077"", ""IND-EXAM-CARD-A80B855C8C77-PR间期"", ""IND-EXAM-ECG-PR间期""]",IND-EXAM-ECG-PR间期,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:30732,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:30732
ExamIndicator,QRS波时限,"[""IND-EXAM-CARD-A80B855C8C77-QRS波时限"", ""IND-EXAM-ECG-QRS波时限""]",IND-EXAM-ECG-QRS波时限,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:39350,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:39350
ExamIndicator,QT间期,"[""IND-CARD-FBF6BA629985"", ""IND-EXAM-CARD-A80B855C8C77-QT间期"", ""IND-EXAM-ECG-QT间期""]",IND-EXAM-ECG-QT间期,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:34171,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:34171
ExamIndicator,ST段压低,"[""IND-CARD-6B1C9ED7E8FB"", ""IND-EXAM-CARD-A80B855C8C77-ST段压低"", ""IND-EXAM-ECG-ST段压低""]",IND-EXAM-ECG-ST段压低,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25522,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25522
ExamIndicator,ST段抬高,"[""IND-CARD-340F2703D39C"", ""IND-EXAM-CARD-A80B855C8C77-ST段抬高"", ""IND-EXAM-ECG-ST段抬高""]",IND-EXAM-ECG-ST段抬高,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25521,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25521
ExamIndicator,T波倒置,"[""IND-CARD-STEMI-97C7D041D11F"", ""IND-EXAM-CARD-A80B855C8C77-T波倒置"", ""IND-EXAM-ECG-T波倒置""]",IND-EXAM-ECG-T波倒置,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43092,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43092
ExamIndicator,估算肾小球滤过率,"[""IND-CARD-F253DB167E81"", ""LABIND-EXAM-HT-CKD-EGFR-UACR-估算肾小球滤过率"", ""LABIND-LAB-CARD-RENAL-ELECTROLYTE-CDSS-估算肾小球滤过率""]",IND-CARD-F253DB167E81,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:42808,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:42808
ExamIndicator,冠状动脉斑块性质,"[""IND-EXAM-CARD-F60922D428D5-冠状动脉斑块性质"", ""IND-EXAM-CARD-TEXT-2BB358B9BF-冠状动脉斑块性质""]",IND-EXAM-CARD-F60922D428D5-冠状动脉斑块性质,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43196,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43196
ExamIndicator,冠状动脉狭窄程度,"[""IND-EXAM-CAG-冠状动脉狭窄程度"", ""IND-EXAM-CARD-F60922D428D5-冠状动脉狭窄程度"", ""IND-EXAM-CARD-TEXT-2BB358B9BF-冠状动脉狭窄程度""]",IND-EXAM-CAG-冠状动脉狭窄程度,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43179,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43179
ExamIndicator,冠状动脉起源异常,"[""IND-EXAM-CARD-TEXT-2BB358B9BF-冠状动脉起源异常"", ""IND-EXAM-CARD-F60922D428D5-冠状动脉起源异常""]",IND-EXAM-CARD-F60922D428D5-冠状动脉起源异常,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43193,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43193
ExamIndicator,冠状动脉钙化,"[""IND-EXAM-CARD-F60922D428D5-冠状动脉钙化"", ""IND-EXAM-CARD-TEXT-2BB358B9BF-冠状动脉钙化"", ""IND-EXAM-CARD-1A108BEFCEA9-冠状动脉钙化""]",IND-EXAM-CARD-F60922D428D5-冠状动脉钙化,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43204,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43204
ExamIndicator,占位或积液,"[""IND-EXAM-CARD-F6AAC5622DEA-占位或积液"", ""IND-EXAM-CARD-TEXT-9A031190AE-占位或积液"", ""IND-CARD-SKELETON-20260709-EXAM-4974BA875B54084B-占位或积液""]",IND-EXAM-CARD-F6AAC5622DEA-占位或积液,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36216,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36216
ExamIndicator,室性心律失常诱发,"[""IND-EXAM-CARD-85148D8A75A3-室性心律失常诱发"", ""IND-EXAM-CARD-TEXT-C33E64A777-室性心律失常诱发""]",IND-EXAM-CARD-85148D8A75A3-室性心律失常诱发,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25625,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25625
ExamIndicator,室性早搏负荷,"[""IND-EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA-室性早搏负荷"", ""IND-EXAM-HOLTER-室性早搏负荷"", ""IND-EXAM-CARD-A096A6416690-室性早搏负荷""]",IND-EXAM-HOLTER-室性早搏负荷,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:28936,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:28936
ExamIndicator,左室射血分数,"[""IND-EXAM-TTE-左室射血分数"", ""IND-EXAM-CARD-TEXT-8633D5B324-左室射血分数"", ""IND-EXAM-CARD-09DFFB573658-左室射血分数"", ""IND-EXAM-CARD-STEMI-43AF84ECFEAC-左室射血分数""]",IND-EXAM-TTE-左室射血分数,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25652,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25652
ExamIndicator,延迟钆增强,"[""IND-EXAM-CARD-09DFFB573658-延迟钆增强"", ""IND-EXAM-CARD-TEXT-8633D5B324-延迟钆增强""]",IND-EXAM-CARD-09DFFB573658-延迟钆增强,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43330,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43330
ExamIndicator,心室容积,"[""IND-EXAM-CARD-09DFFB573658-心室容积"", ""IND-EXAM-CARD-TEXT-8633D5B324-心室容积""]",IND-EXAM-CARD-09DFFB573658-心室容积,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43334,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43334
ExamIndicator,心影增大,"[""IND-CARD-SKELETON-20260709-EXAM-B66979D14041DD2B-心影增大"", ""IND-EXAM-CARD-CHEST-IMAGING-CDSS-心影增大"", ""IND-EXAM-CARD-TEXT-BE9C2270C9-心影增大""]",IND-EXAM-CARD-CHEST-IMAGING-CDSS-心影增大,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43272,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43272
ExamIndicator,心律,"[""IND-EXAM-CARD-A80B855C8C77-心律"", ""IND-EXAM-ECG-心律""]",IND-EXAM-ECG-心律,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25665,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25665
ExamIndicator,心律失常发作频率,"[""IND-EXAM-CARD-A096A6416690-心律失常发作频率"", ""IND-EXAM-HOLTER-心律失常发作频率"", ""IND-EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA-心律失常发作频率""]",IND-EXAM-HOLTER-心律失常发作频率,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25608,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25608
ExamIndicator,心排血量,"[""IND-EXAM-CARD-B27427130801-心排血量"", ""IND-EXAM-CARD-TEXT-8AF3973EB6-心排血量""]",IND-EXAM-CARD-B27427130801-心排血量,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36852,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36852
ExamIndicator,心率变异性,"[""IND-EXAM-HOLTER-心率变异性"", ""IND-EXAM-CARD-A096A6416690-心率变异性"", ""IND-EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA-心率变异性""]",IND-EXAM-HOLTER-心率变异性,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25651,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25651
ExamIndicator,心肌水肿,"[""IND-EXAM-CARD-09DFFB573658-心肌水肿"", ""IND-EXAM-CARD-TEXT-8633D5B324-心肌水肿""]",IND-EXAM-CARD-09DFFB573658-心肌水肿,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43322,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43322
ExamIndicator,心肌纤维化,"[""IND-EXAM-CARD-09DFFB573658-心肌纤维化"", ""IND-EXAM-CARD-TEXT-8633D5B324-心肌纤维化"", ""IND-EXAM-EMB-心肌纤维化""]",IND-EXAM-EMB-心肌纤维化,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43323,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43323
ExamIndicator,心腔压力,"[""IND-EXAM-CARD-B27427130801-心腔压力"", ""IND-EXAM-CARD-TEXT-8AF3973EB6-心腔压力""]",IND-EXAM-CARD-B27427130801-心腔压力,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43385,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43385
ExamIndicator,房室传导时间,"[""IND-EXAM-CARD-TEXT-C33E64A777-房室传导时间"", ""IND-EXAM-CARD-85148D8A75A3-房室传导时间""]",IND-EXAM-CARD-85148D8A75A3-房室传导时间,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25617,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25617
ExamIndicator,房颤负荷,"[""IND-EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA-房颤负荷"", ""IND-EXAM-CARD-A096A6416690-房颤负荷"", ""IND-EXAM-HOLTER-房颤负荷""]",IND-EXAM-HOLTER-房颤负荷,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25609,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25609
ExamIndicator,支架贴壁,"[""IND-CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08-支架贴壁"", ""IND-EXAM-CARD-CADREM-UA-6595E76160-支架贴壁"", ""IND-EXAM-CARD-CADREM-SILENT-ISCHEMIA-9E41219AEC-支架贴壁"", ""IND-CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2-支架贴壁""]",IND-CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2-支架贴壁,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36828,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36828
ExamIndicator,收缩压,"[""IND-CARD-06FCC1FC835C"", ""IND-EXAM-CARD-1F526A303B77-收缩压""]",IND-CARD-06FCC1FC835C,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:42803,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:42803
ExamIndicator,斑块破裂,"[""IND-EXAM-CARD-CADREM-UA-6595E76160-斑块破裂"", ""IND-CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08-斑块破裂""]",IND-CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08-斑块破裂,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43320,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43320
ExamIndicator,斑块负荷,"[""IND-EXAM-CARD-CADREM-SILENT-ISCHEMIA-9E41219AEC-斑块负荷"", ""IND-CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2-斑块负荷""]",IND-CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2-斑块负荷,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43321,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43321
ExamIndicator,旁路定位,"[""IND-EXAM-CARD-85148D8A75A3-旁路定位"", ""IND-EXAM-CARD-TEXT-C33E64A777-旁路定位""]",IND-EXAM-CARD-85148D8A75A3-旁路定位,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25616,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25616
ExamIndicator,最小管腔面积,"[""IND-EXAM-CARD-CADREM-SILENT-ISCHEMIA-9E41219AEC-最小管腔面积"", ""IND-CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2-最小管腔面积""]",IND-CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2-最小管腔面积,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43331,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43331
ExamIndicator,最长RR间期,"[""IND-EXAM-CARD-A096A6416690-最长RR间期"", ""IND-EXAM-HOLTER-最长RR间期"", ""IND-EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA-最长RR间期""]",IND-EXAM-HOLTER-最长RR间期,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25656,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25656
ExamIndicator,病理性Q波,"[""IND-CARD-STEMI-632284B2B3C7"", ""IND-EXAM-CARD-A80B855C8C77-病理性Q波"", ""IND-EXAM-ECG-病理性Q波""]",IND-EXAM-ECG-病理性Q波,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43091,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43091
ExamIndicator,症状相关心律事件,"[""IND-EXAM-CARD-41BF81CAB3CE-症状相关心律事件"", ""IND-EXAM-CARD-F6169EE9D82C-症状相关心律事件""]",IND-EXAM-CARD-F6169EE9D82C-症状相关心律事件,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25660,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25660
ExamIndicator,纤维帽厚度,"[""IND-CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08-纤维帽厚度"", ""IND-EXAM-CARD-CADREM-UA-6595E76160-纤维帽厚度""]",IND-CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08-纤维帽厚度,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:30637,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:30637
ExamIndicator,结构异常,"[""IND-CARD-SKELETON-20260709-EXAM-4974BA875B54084B-结构异常"", ""IND-EXAM-CARD-TEXT-9A031190AE-结构异常"", ""IND-EXAM-CARD-F6AAC5622DEA-结构异常""]",IND-EXAM-CARD-F6AAC5622DEA-结构异常,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43234,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43234
ExamIndicator,肺动脉压力,"[""IND-EXAM-CARD-B27427130801-肺动脉压力"", ""IND-EXAM-CARD-TEXT-8AF3973EB6-肺动脉压力""]",IND-EXAM-CARD-B27427130801-肺动脉压力,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43387,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43387
ExamIndicator,肺水肿,"[""IND-EXAM-CARD-TEXT-BE9C2270C9-肺水肿"", ""IND-CARD-SKELETON-20260709-EXAM-B66979D14041DD2B-肺水肿"", ""IND-EXAM-CARD-CHEST-IMAGING-CDSS-肺水肿""]",IND-EXAM-CARD-CHEST-IMAGING-CDSS-肺水肿,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43262,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43262
ExamIndicator,肺淤血,"[""IND-CARD-SKELETON-20260709-EXAM-B66979D14041DD2B-肺淤血"", ""IND-EXAM-CARD-TEXT-BE9C2270C9-肺淤血"", ""IND-EXAM-CARD-CHEST-IMAGING-CDSS-肺淤血""]",IND-EXAM-CARD-CHEST-IMAGING-CDSS-肺淤血,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43260,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43260
ExamIndicator,胸腔积液,"[""IND-CARD-SKELETON-20260709-EXAM-B66979D14041DD2B-胸腔积液"", ""IND-EXAM-CARD-TEXT-BE9C2270C9-胸腔积液"", ""IND-EXAM-CARD-CHEST-IMAGING-CDSS-胸腔积液""]",IND-EXAM-CARD-CHEST-IMAGING-CDSS-胸腔积液,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43261,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43261
ExamIndicator,舒张压,"[""IND-CARD-8A26783DF8CC"", ""IND-EXAM-CARD-1F526A303B77-舒张压""]",IND-CARD-8A26783DF8CC,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:42804,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:42804
ExamIndicator,血压反应,"[""IND-EXAM-CARD-241B4B0218DF-血压反应"", ""IND-EXAM-CARD-896888B4FC85-血压反应""]",IND-EXAM-CARD-896888B4FC85-血压反应,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43342,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43342
ExamIndicator,血栓,"[""IND-CARD-SKELETON-20260709-EXAM-4974BA875B54084B-血栓"", ""IND-EXAM-CARD-F6AAC5622DEA-血栓"", ""IND-EXAM-CARD-TEXT-9A031190AE-血栓""]",IND-EXAM-CARD-F6AAC5622DEA-血栓,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43235,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43235
ExamIndicator,血栓影像,"[""IND-EXAM-CARD-CADREM-UA-6595E76160-血栓影像"", ""IND-CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08-血栓影像""]",IND-CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08-血栓影像,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43329,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43329
ExamIndicator,血氧饱和度阶差,"[""IND-EXAM-CARD-TEXT-8AF3973EB6-血氧饱和度阶差"", ""IND-EXAM-CARD-B27427130801-血氧饱和度阶差""]",IND-EXAM-CARD-B27427130801-血氧饱和度阶差,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43377,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43377
ExamIndicator,血管夹层,"[""IND-EXAM-CARD-CADREM-SILENT-ISCHEMIA-9E41219AEC-血管夹层"", ""IND-CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2-血管夹层""]",IND-CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2-血管夹层,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43351,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43351
ExamIndicator,血肌酐,"[""LABIND-EXAM-HT-CKD-EGFR-UACR-血肌酐"", ""LABIND-LAB-CARD-RENAL-ELECTROLYTE-CDSS-血肌酐""]",LABIND-LAB-CARD-RENAL-ELECTROLYTE-CDSS-血肌酐,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43415,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43415
ExamIndicator,诱发性心动过速,"[""IND-EXAM-CARD-TEXT-C33E64A777-诱发性心动过速"", ""IND-EXAM-CARD-85148D8A75A3-诱发性心动过速""]",IND-EXAM-CARD-85148D8A75A3-诱发性心动过速,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25646,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25646
ExamIndicator,运动耐量,"[""IND-EXAM-CARD-241B4B0218DF-运动耐量"", ""IND-EXAM-CARD-896888B4FC85-运动耐量""]",IND-EXAM-CARD-896888B4FC85-运动耐量,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43337,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43337
ExamIndicator,运动诱发ST段压低,"[""IND-EXAM-CARD-241B4B0218DF-运动诱发ST段压低"", ""IND-EXAM-CARD-896888B4FC85-运动诱发ST段压低""]",IND-EXAM-CARD-896888B4FC85-运动诱发ST段压低,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43344,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43344
ExamIndicator,运动诱发心律失常,"[""IND-EXAM-CARD-241B4B0218DF-运动诱发心律失常"", ""IND-EXAM-CARD-896888B4FC85-运动诱发心律失常""]",IND-EXAM-CARD-896888B4FC85-运动诱发心律失常,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43361,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43361
ExamIndicator,运动诱发心绞痛,"[""IND-EXAM-CARD-241B4B0218DF-运动诱发心绞痛"", ""IND-EXAM-CARD-896888B4FC85-运动诱发心绞痛""]",IND-EXAM-CARD-896888B4FC85-运动诱发心绞痛,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43349,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43349
