CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
疑似疾病识别,2,Symptom、Sign,0,二度房室传导阻滞,,DIS-CARD-ARR-AVB2,可展示但需补强,8
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,二度房室传导阻滞,,DIS-CARD-ARR-AVB2,可用于CDSS展示,8
鉴别诊断,0,DifferentialDiagnosis,0,二度房室传导阻滞,,DIS-CARD-ARR-AVB2,缺口,8
推荐检查,1,Exam、ExamIndicator,0,二度房室传导阻滞,,DIS-CARD-ARR-AVB2,可展示但需补强,8
推荐检验,0,LabTest、LabTestIndicator,0,二度房室传导阻滞,,DIS-CARD-ARR-AVB2,缺口,8
风险分层,0,RiskStratification,0,二度房室传导阻滞,,DIS-CARD-ARR-AVB2,缺口,8
治疗方案,1,TreatmentPlan、RecommendationStatement,0,二度房室传导阻滞,,DIS-CARD-ARR-AVB2,可展示但需补强,8
药物推荐,0,Medication,0,二度房室传导阻滞,,DIS-CARD-ARR-AVB2,缺口,8
手术/操作推荐,0,Procedure,0,二度房室传导阻滞,,DIS-CARD-ARR-AVB2,缺口,8
禁忌与风险预警,4,Contraindication、ClinicalRule,0,二度房室传导阻滞,,DIS-CARD-ARR-AVB2,可用于CDSS展示,8
随访,1,FollowUp,0,二度房室传导阻滞,,DIS-CARD-ARR-AVB2,可展示但需补强,8
预后/预防,1,Prognosis、Prevention,0,二度房室传导阻滞,,DIS-CARD-ARR-AVB2,可展示但需补强,8
并发症管理,1,Complication,0,二度房室传导阻滞,,DIS-CARD-ARR-AVB2,可展示但需补强,8
疑似疾病识别,29,Symptom、Sign,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
诊断建议,6,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
鉴别诊断,0,DifferentialDiagnosis,0,房室传导阻滞,,DIS-CARD-ARR-AVB,缺口,821
推荐检查,7,Exam、ExamIndicator,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
推荐检验,8,LabTest、LabTestIndicator,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
风险分层,0,RiskStratification,0,房室传导阻滞,,DIS-CARD-ARR-AVB,缺口,821
治疗方案,8,TreatmentPlan、RecommendationStatement,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
药物推荐,10,Medication,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
手术/操作推荐,7,Procedure,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
禁忌与风险预警,5,Contraindication、ClinicalRule,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
随访,1,FollowUp,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可展示但需补强,821
预后/预防,1,Prognosis、Prevention,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可展示但需补强,821
并发症管理,10,Complication,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
疑似疾病识别,9,Symptom、Sign,0,束支传导阻滞,,DIS-CARD-ARR-BBB,可用于CDSS展示,69
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,束支传导阻滞,,DIS-CARD-ARR-BBB,可用于CDSS展示,69
鉴别诊断,0,DifferentialDiagnosis,0,束支传导阻滞,,DIS-CARD-ARR-BBB,缺口,69
推荐检查,2,Exam、ExamIndicator,0,束支传导阻滞,,DIS-CARD-ARR-BBB,可展示但需补强,69
推荐检验,0,LabTest、LabTestIndicator,0,束支传导阻滞,,DIS-CARD-ARR-BBB,缺口,69
风险分层,0,RiskStratification,0,束支传导阻滞,,DIS-CARD-ARR-BBB,缺口,69
治疗方案,1,TreatmentPlan、RecommendationStatement,0,束支传导阻滞,,DIS-CARD-ARR-BBB,可展示但需补强,69
药物推荐,0,Medication,0,束支传导阻滞,,DIS-CARD-ARR-BBB,缺口,69
手术/操作推荐,0,Procedure,0,束支传导阻滞,,DIS-CARD-ARR-BBB,缺口,69
禁忌与风险预警,4,Contraindication、ClinicalRule,0,束支传导阻滞,,DIS-CARD-ARR-BBB,可用于CDSS展示,69
随访,1,FollowUp,0,束支传导阻滞,,DIS-CARD-ARR-BBB,可展示但需补强,69
预后/预防,1,Prognosis、Prevention,0,束支传导阻滞,,DIS-CARD-ARR-BBB,可展示但需补强,69
并发症管理,1,Complication,0,束支传导阻滞,,DIS-CARD-ARR-BBB,可展示但需补强,69
疑似疾病识别,10,Symptom、Sign,0,窦性心动过缓,,DIS-CARD-ARR-SB,可用于CDSS展示,152
诊断建议,7,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,窦性心动过缓,,DIS-CARD-ARR-SB,可用于CDSS展示,152
鉴别诊断,0,DifferentialDiagnosis,0,窦性心动过缓,,DIS-CARD-ARR-SB,缺口,152
推荐检查,3,Exam、ExamIndicator,0,窦性心动过缓,,DIS-CARD-ARR-SB,可用于CDSS展示,152
推荐检验,0,LabTest、LabTestIndicator,0,窦性心动过缓,,DIS-CARD-ARR-SB,缺口,152
风险分层,1,RiskStratification,0,窦性心动过缓,,DIS-CARD-ARR-SB,可展示但需补强,152
治疗方案,9,TreatmentPlan、RecommendationStatement,0,窦性心动过缓,,DIS-CARD-ARR-SB,可用于CDSS展示,152
药物推荐,6,Medication,0,窦性心动过缓,,DIS-CARD-ARR-SB,可用于CDSS展示,152
手术/操作推荐,2,Procedure,0,窦性心动过缓,,DIS-CARD-ARR-SB,可展示但需补强,152
禁忌与风险预警,5,Contraindication、ClinicalRule,0,窦性心动过缓,,DIS-CARD-ARR-SB,可用于CDSS展示,152
随访,1,FollowUp,0,窦性心动过缓,,DIS-CARD-ARR-SB,可展示但需补强,152
预后/预防,1,Prognosis、Prevention,0,窦性心动过缓,,DIS-CARD-ARR-SB,可展示但需补强,152
并发症管理,1,Complication,0,窦性心动过缓,,DIS-CARD-ARR-SB,可展示但需补强,152
疑似疾病识别,6,Symptom、Sign,0,窦房传导阻滞,,DIS-CARD-ARR-SAB,可用于CDSS展示,26
诊断建议,7,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,窦房传导阻滞,,DIS-CARD-ARR-SAB,可用于CDSS展示,26
鉴别诊断,0,DifferentialDiagnosis,0,窦房传导阻滞,,DIS-CARD-ARR-SAB,缺口,26
推荐检查,2,Exam、ExamIndicator,0,窦房传导阻滞,,DIS-CARD-ARR-SAB,可展示但需补强,26
推荐检验,0,LabTest、LabTestIndicator,0,窦房传导阻滞,,DIS-CARD-ARR-SAB,缺口,26
风险分层,0,RiskStratification,0,窦房传导阻滞,,DIS-CARD-ARR-SAB,缺口,26
治疗方案,1,TreatmentPlan、RecommendationStatement,0,窦房传导阻滞,,DIS-CARD-ARR-SAB,可展示但需补强,26
药物推荐,0,Medication,0,窦房传导阻滞,,DIS-CARD-ARR-SAB,缺口,26
手术/操作推荐,0,Procedure,0,窦房传导阻滞,,DIS-CARD-ARR-SAB,缺口,26
禁忌与风险预警,4,Contraindication、ClinicalRule,0,窦房传导阻滞,,DIS-CARD-ARR-SAB,可用于CDSS展示,26
随访,1,FollowUp,0,窦房传导阻滞,,DIS-CARD-ARR-SAB,可展示但需补强,26
预后/预防,1,Prognosis、Prevention,0,窦房传导阻滞,,DIS-CARD-ARR-SAB,可展示但需补强,26
并发症管理,1,Complication,0,窦房传导阻滞,,DIS-CARD-ARR-SAB,可展示但需补强,26
疑似疾病识别,9,Symptom、Sign,0,窦房结功能障碍,,DIS-CARD-ARR-SND,可用于CDSS展示,63
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,窦房结功能障碍,,DIS-CARD-ARR-SND,可用于CDSS展示,63
鉴别诊断,0,DifferentialDiagnosis,0,窦房结功能障碍,,DIS-CARD-ARR-SND,缺口,63
推荐检查,4,Exam、ExamIndicator,0,窦房结功能障碍,,DIS-CARD-ARR-SND,可用于CDSS展示,63
推荐检验,0,LabTest、LabTestIndicator,0,窦房结功能障碍,,DIS-CARD-ARR-SND,缺口,63
风险分层,0,RiskStratification,0,窦房结功能障碍,,DIS-CARD-ARR-SND,缺口,63
治疗方案,1,TreatmentPlan、RecommendationStatement,0,窦房结功能障碍,,DIS-CARD-ARR-SND,可展示但需补强,63
药物推荐,2,Medication,0,窦房结功能障碍,,DIS-CARD-ARR-SND,可展示但需补强,63
手术/操作推荐,0,Procedure,0,窦房结功能障碍,,DIS-CARD-ARR-SND,缺口,63
禁忌与风险预警,4,Contraindication、ClinicalRule,0,窦房结功能障碍,,DIS-CARD-ARR-SND,可用于CDSS展示,63
随访,1,FollowUp,0,窦房结功能障碍,,DIS-CARD-ARR-SND,可展示但需补强,63
预后/预防,1,Prognosis、Prevention,0,窦房结功能障碍,,DIS-CARD-ARR-SND,可展示但需补强,63
并发症管理,1,Complication,0,窦房结功能障碍,,DIS-CARD-ARR-SND,可展示但需补强,63
疑似疾病识别,10,Symptom、Sign,0,缓慢性心律失常,,DIS-CARD-ARR-BRADY,可用于CDSS展示,170
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,缓慢性心律失常,,DIS-CARD-ARR-BRADY,可用于CDSS展示,170
鉴别诊断,0,DifferentialDiagnosis,0,缓慢性心律失常,,DIS-CARD-ARR-BRADY,缺口,170
推荐检查,3,Exam、ExamIndicator,0,缓慢性心律失常,,DIS-CARD-ARR-BRADY,可用于CDSS展示,170
推荐检验,0,LabTest、LabTestIndicator,0,缓慢性心律失常,,DIS-CARD-ARR-BRADY,缺口,170
风险分层,1,RiskStratification,0,缓慢性心律失常,,DIS-CARD-ARR-BRADY,可展示但需补强,170
治疗方案,2,TreatmentPlan、RecommendationStatement,0,缓慢性心律失常,,DIS-CARD-ARR-BRADY,可展示但需补强,170
药物推荐,2,Medication,0,缓慢性心律失常,,DIS-CARD-ARR-BRADY,可展示但需补强,170
手术/操作推荐,2,Procedure,0,缓慢性心律失常,,DIS-CARD-ARR-BRADY,可展示但需补强,170
禁忌与风险预警,4,Contraindication、ClinicalRule,0,缓慢性心律失常,,DIS-CARD-ARR-BRADY,可用于CDSS展示,170
随访,1,FollowUp,0,缓慢性心律失常,,DIS-CARD-ARR-BRADY,可展示但需补强,170
预后/预防,1,Prognosis、Prevention,0,缓慢性心律失常,,DIS-CARD-ARR-BRADY,可展示但需补强,170
并发症管理,1,Complication,0,缓慢性心律失常,,DIS-CARD-ARR-BRADY,可展示但需补强,170
