duplicate_code,duplicate_name,related_code,related_name,relation_type,standard_node_code
EXAM-CARD-F6AAC5622DEA,CT,"['IND-CARD-SKELETON-20260709-EXAM-4974BA875B54084B-血栓', 'IND-EXAM-CARD-F6AAC5622DEA-血栓', 'IND-EXAM-CARD-TEXT-9A031190AE-血栓']",血栓,exam_has_indicator,EXAM-CARD-TEXT-9A031190AE
EXAM-CARD-CADREM-SILENT-ISCHEMIA-9E41219AEC,IVUS,"['IND-CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08-支架贴壁', 'IND-EXAM-CARD-CADREM-UA-6595E76160-支架贴壁', 'IND-EXAM-CARD-CADREM-SILENT-ISCHEMIA-9E41219AEC-支架贴壁', 'IND-CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2-支架贴壁']",支架贴壁,exam_has_indicator,CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2
EXAM-CARD-CADREM-UA-6595E76160,OCT,"['IND-CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08-支架贴壁', 'IND-EXAM-CARD-CADREM-UA-6595E76160-支架贴壁', 'IND-EXAM-CARD-CADREM-SILENT-ISCHEMIA-9E41219AEC-支架贴壁', 'IND-CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2-支架贴壁']",支架贴壁,exam_has_indicator,CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08
EXAM-CARD-CADREM-UA-6595E76160,OCT,"['IND-CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08-纤维帽厚度', 'IND-EXAM-CARD-CADREM-UA-6595E76160-纤维帽厚度']",纤维帽厚度,exam_has_indicator,CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08
EXAM-CARD-09DFFB573658,CMR,"['IND-EXAM-CARD-09DFFB573658-延迟钆增强', 'IND-EXAM-CARD-TEXT-8633D5B324-延迟钆增强']",延迟钆增强,exam_has_indicator,EXAM-CMR
EXAM-CARD-09DFFB573658,CMR,"['IND-EXAM-CARD-09DFFB573658-心室容积', 'IND-EXAM-CARD-TEXT-8633D5B324-心室容积']",心室容积,exam_has_indicator,EXAM-CMR
EXAM-CARD-09DFFB573658,CMR,"['IND-EXAM-CARD-09DFFB573658-心肌水肿', 'IND-EXAM-CARD-TEXT-8633D5B324-心肌水肿']",心肌水肿,exam_has_indicator,EXAM-CMR
EXAM-CARD-09DFFB573658,CMR,"['IND-EXAM-CARD-09DFFB573658-心肌纤维化', 'IND-EXAM-CARD-TEXT-8633D5B324-心肌纤维化', 'IND-EXAM-EMB-心肌纤维化']",心肌纤维化,exam_has_indicator,EXAM-CMR
EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA,Holter,"['IND-EXAM-CARD-A096A6416690-心律失常发作频率', 'IND-EXAM-HOLTER-心律失常发作频率', 'IND-EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA-心律失常发作频率']",心律失常发作频率,exam_has_indicator,EXAM-HOLTER
EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA,Holter,"['IND-EXAM-CARD-A096A6416690-最长RR间期', 'IND-EXAM-HOLTER-最长RR间期', 'IND-EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA-最长RR间期']",最长RR间期,exam_has_indicator,EXAM-HOLTER
EXAM-CARD-CADREM-SILENT-ISCHEMIA-9E41219AEC,IVUS,"['IND-EXAM-CARD-CADREM-SILENT-ISCHEMIA-9E41219AEC-斑块负荷', 'IND-CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2-斑块负荷']",斑块负荷,exam_has_indicator,CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2
EXAM-CARD-CADREM-SILENT-ISCHEMIA-9E41219AEC,IVUS,"['IND-EXAM-CARD-CADREM-SILENT-ISCHEMIA-9E41219AEC-最小管腔面积', 'IND-CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2-最小管腔面积']",最小管腔面积,exam_has_indicator,CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2
EXAM-CARD-CADREM-SILENT-ISCHEMIA-9E41219AEC,IVUS,"['IND-EXAM-CARD-CADREM-SILENT-ISCHEMIA-9E41219AEC-血管夹层', 'IND-CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2-血管夹层']",血管夹层,exam_has_indicator,CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2
EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA,Holter,"['IND-EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA-室性早搏负荷', 'IND-EXAM-HOLTER-室性早搏负荷', 'IND-EXAM-CARD-A096A6416690-室性早搏负荷']",室性早搏负荷,exam_has_indicator,EXAM-HOLTER
EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA,Holter,"['IND-EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA-房颤负荷', 'IND-EXAM-CARD-A096A6416690-房颤负荷', 'IND-EXAM-HOLTER-房颤负荷']",房颤负荷,exam_has_indicator,EXAM-HOLTER
EXAM-CARD-CADREM-UA-6595E76160,OCT,"['IND-EXAM-CARD-CADREM-UA-6595E76160-斑块破裂', 'IND-CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08-斑块破裂']",斑块破裂,exam_has_indicator,CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08
EXAM-CARD-CADREM-UA-6595E76160,OCT,"['IND-EXAM-CARD-CADREM-UA-6595E76160-血栓影像', 'IND-CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08-血栓影像']",血栓影像,exam_has_indicator,CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08
EXAM-CARD-F6AAC5622DEA,CT,"['IND-EXAM-CARD-F6AAC5622DEA-占位或积液', 'IND-EXAM-CARD-TEXT-9A031190AE-占位或积液', 'IND-CARD-SKELETON-20260709-EXAM-4974BA875B54084B-占位或积液']",占位或积液,exam_has_indicator,EXAM-CARD-TEXT-9A031190AE
EXAM-CARD-F6AAC5622DEA,CT,"['IND-EXAM-CARD-F6AAC5622DEA-钙化', 'IND-CARD-SKELETON-20260709-EXAM-4974BA875B54084B-钙化', 'IND-EXAM-CARD-TEXT-9A031190AE-钙化']",钙化,exam_has_indicator,EXAM-CARD-TEXT-9A031190AE
EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA,Holter,"['IND-EXAM-HOLTER-心率变异性', 'IND-EXAM-CARD-A096A6416690-心率变异性', 'IND-EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA-心率变异性']",心率变异性,exam_has_indicator,EXAM-HOLTER
EXAM-CARD-09DFFB573658,CMR,"['IND-EXAM-TTE-左室射血分数', 'IND-EXAM-CARD-TEXT-8633D5B324-左室射血分数', 'IND-EXAM-CARD-09DFFB573658-左室射血分数', 'IND-EXAM-CARD-STEMI-43AF84ECFEAC-左室射血分数']",左室射血分数,exam_has_indicator,EXAM-CMR
CARD-SKELETON-FULL-20260709-DEFINITION-8A11A000022C1D3E,急性冠脉综合征定义,DIS-CARD-CAD-ACS,急性冠脉综合征,has_definition,DEF-CARD-CADREM-ACS-ABE4D268EA
CARD-SKELETON-FULL-20260709-DEFINITION-488590627E403957,稳定型心绞痛定义,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_definition,DEF-CARD-CADREM-STABLE-ANGINA-F40CB51F94
CARD-SKELETON-FULL-20260709-DEFINITION-8A11A000022C1D3E,急性冠脉综合征定义,CARD-SKELETON-20260709-DEFINITIONCOMPONENT-4201E76BC14F1B9B,是动脉粥样硬化导致器官病变的最常见类型，严重危害人类健康,has_definition_component,DEF-CARD-CADREM-ACS-ABE4D268EA
CARD-SKELETON-FULL-20260709-DEFINITION-8A11A000022C1D3E,急性冠脉综合征定义,CARD-SKELETON-20260709-DEFINITIONCOMPONENT-503BBBA2891A2111,导致器官病变的最常见类型，严重危害人类健康,has_definition_component,DEF-CARD-CADREM-ACS-ABE4D268EA
CARD-SKELETON-FULL-20260709-DEFINITION-8A11A000022C1D3E,急性冠脉综合征定义,DEF-COMP-CARD-CADREM-ACS-1F02398BAC,急性冠脉综合征定义要点1,has_definition_component,DEF-CARD-CADREM-ACS-ABE4D268EA
CARD-SKELETON-FULL-20260709-DEFINITION-8A11A000022C1D3E,急性冠脉综合征定义,DEF-COMP-CARD-CADREM-ACS-313B851ED5,急性冠脉综合征定义要点2,has_definition_component,DEF-CARD-CADREM-ACS-ABE4D268EA
CARD-SKELETON-FULL-20260709-DEFINITION-8A11A000022C1D3E,急性冠脉综合征定义,DEF-COMP-CARD-CADREM-ACS-46572B450A,急性冠脉综合征定义要点3,has_definition_component,DEF-CARD-CADREM-ACS-ABE4D268EA
CARD-SKELETON-FULL-20260709-DEFINITION-8A11A000022C1D3E,急性冠脉综合征定义,DEF-COMP-CARD-CADREM-ACS-641C9CA578,急性冠脉综合征定义要点7,has_definition_component,DEF-CARD-CADREM-ACS-ABE4D268EA
CARD-SKELETON-FULL-20260709-DEFINITION-8A11A000022C1D3E,急性冠脉综合征定义,DEF-COMP-CARD-CADREM-ACS-6CC4F5987D,急性冠脉综合征定义要点8,has_definition_component,DEF-CARD-CADREM-ACS-ABE4D268EA
CARD-SKELETON-FULL-20260709-DEFINITION-8A11A000022C1D3E,急性冠脉综合征定义,DEF-COMP-CARD-CADREM-ACS-712941A38C,急性冠脉综合征定义要点5,has_definition_component,DEF-CARD-CADREM-ACS-ABE4D268EA
CARD-SKELETON-FULL-20260709-DEFINITION-8A11A000022C1D3E,急性冠脉综合征定义,DEF-COMP-CARD-CADREM-ACS-B602101E07,急性冠脉综合征定义要点10,has_definition_component,DEF-CARD-CADREM-ACS-ABE4D268EA
CARD-SKELETON-FULL-20260709-DEFINITION-8A11A000022C1D3E,急性冠脉综合征定义,DEF-COMP-CARD-CADREM-ACS-D57C640CB6,急性冠脉综合征定义要点4,has_definition_component,DEF-CARD-CADREM-ACS-ABE4D268EA
LAB-CARD-AAA739D91A3A,BNP,DXC-CARD-59058B9BAC7C,心肌炎诊断标准,has_diagnostic_component,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
LAB-CARD-AAA739D91A3A,BNP,DXC-CARD-7532156F9BBC,暴发性心肌炎诊断标准,has_diagnostic_component,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
LAB-CARD-AAA739D91A3A,BNP,DXC-CARD-BB19AA7DF8A4,感染性心内膜炎诊断标准,has_diagnostic_component,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
LAB-CARD-AAA739D91A3A,BNP,DXC-CARD-FDE79AF8EC58,心包炎诊断标准,has_diagnostic_component,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
CARD-SKELETON-FULL-20260709-FOLLOWUP-8B4E3542C01C78DD,但有发生急性心肌梗死或猝死的危险,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_follow_up,FU-CARD-CADREM-STABLE-ANGINA-96363320D2
CARD-SKELETON-FULL-20260709-FOLLOWUP-DDF2C8187D3FBFD9,决定预后的主要因素为冠脉病变累及心肌供血的范围和心功能,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_follow_up,FU-CARD-CADREM-STABLE-ANGINA-D8820F905E
CARD-SKELETON-FULL-20260709-FOLLOWUP-43B27B67BF6B21A1,国外统计年病死率可高达30%左右,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_follow_up,FU-CARD-CADREM-STABLE-ANGINA-F2AC9D9D81
CARD-SKELETON-FULL-20260709-FOLLOWUP-39E06ECE7678561D,对稳定型心绞痛除应用药物防止心绞痛再次发作外,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_follow_up,FU-CARD-CADREM-STABLE-ANGINA-F53C8702F2
CARD-SKELETON-FULL-20260709-FOLLOWUP-7E7AE9A60406B69F,左冠脉主干病变最为严重,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_follow_up,FU-CARD-CADREM-STABLE-ANGINA-D6D9711628
CARD-SKELETON-FULL-20260709-FOLLOWUP-372FC3E7FE8023A5,左前降支病变一般较其他两支冠脉病变预后差,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_follow_up,FU-CARD-CADREM-STABLE-ANGINA-EA52104645
CARD-SKELETON-FULL-20260709-FOLLOWUP-FD0E025BEE19151E,此后依次为3支、2支与单支病变,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_follow_up,FU-CARD-CADREM-STABLE-ANGINA-321E89BE97
CARD-SKELETON-FULL-20260709-FOLLOWUP-B7D84DFF87F7E17F,稳定型心绞痛病人大多数能生存很多年,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_follow_up,FU-CARD-CADREM-STABLE-ANGINA-1E7C050E20
CARD-SKELETON-FULL-20260709-FOLLOWUP-E6445A070D74CDBE,还应从阻止或逆转粥样硬化病情进展、预防心肌梗死等方面综合考虑,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_follow_up,FU-CARD-CADREM-STABLE-ANGINA-5E6A65ABD8
CARD-SKELETON-FULL-20260709-PATHOPHYSIOLOGY-092D9A333F099532,当冠脉狭窄或部分闭塞时,DIS-CARD-CAD-CCS,慢性冠脉综合征,has_pathophysiology,PATH-CARD-CADREM-STABLE-ANGINA-CAC3543953
CARD-SKELETON-FULL-20260709-PATHOPHYSIOLOGY-092D9A333F099532,当冠脉狭窄或部分闭塞时,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_pathophysiology,PATH-CARD-CADREM-STABLE-ANGINA-CAC3543953
CARD-SKELETON-FULL-20260709-PREVENTION-A37EC726345F9A49,但有发生急性心肌梗死或猝死的危险,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_prevention,PREV-CARD-CADREM-STABLE-ANGINA-B74B4DABE4
CARD-SKELETON-FULL-20260709-PREVENTION-45A8244677B2CF10,决定预后的主要因素为冠脉病变累及心肌供血的范围和心功能,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_prevention,PREV-CARD-CADREM-STABLE-ANGINA-EE53356EA3
CARD-SKELETON-FULL-20260709-PREVENTION-38C84CC4CFF48C90,国外统计年病死率可高达30%左右,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_prevention,PREV-CARD-CADREM-STABLE-ANGINA-921A7324A9
CARD-SKELETON-FULL-20260709-PREVENTION-79C76E28F8AABAFE,对稳定型心绞痛除应用药物防止心绞痛再次发作外,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_prevention,PREV-CARD-CADREM-STABLE-ANGINA-8C97ECA759
CARD-SKELETON-FULL-20260709-PREVENTION-658EBC05F9EBCB05,左冠脉主干病变最为严重,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_prevention,PREV-CARD-CADREM-STABLE-ANGINA-9C0BE15460
CARD-SKELETON-FULL-20260709-PREVENTION-B36165710A80BFE0,左前降支病变一般较其他两支冠脉病变预后差,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_prevention,PREV-CARD-CADREM-STABLE-ANGINA-F7AB695429
CARD-SKELETON-FULL-20260709-PREVENTION-842D328E5BB5071A,此后依次为3支、2支与单支病变,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_prevention,PREV-CARD-CADREM-STABLE-ANGINA-6B2296F6A3
CARD-SKELETON-FULL-20260709-PREVENTION-5F5222F0DFEA6A46,稳定型心绞痛病人大多数能生存很多年,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_prevention,PREV-CARD-CADREM-STABLE-ANGINA-186C81853C
CARD-SKELETON-FULL-20260709-PREVENTION-2710DEDCD036F4B7,还应从阻止或逆转粥样硬化病情进展、预防心肌梗死等方面综合考虑,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_prevention,PREV-CARD-CADREM-STABLE-ANGINA-AFD37C6CC9
CARD-SKELETON-FULL-20260709-PROGNOSIS-15CFDF5A62DAFC59,对稳定型心绞痛除应用药物防止心绞痛再次发作外,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_prognosis,PROG-CARD-CADREM-STABLE-ANGINA-1A8EF3B6BB
CARD-SKELETON-FULL-20260709-PROGNOSIS-E27C67E1EC7F9595,稳定型心绞痛病人大多数能生存很多年,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_prognosis,PROG-CARD-CADREM-STABLE-ANGINA-F5A579AB21
CARD-SKELETON-FULL-20260709-PROGNOSIS-CD8FB3C802435487,还应从阻止或逆转粥样硬化病情进展、预防心肌梗死等方面综合考虑,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_prognosis,PROG-CARD-CADREM-STABLE-ANGINA-13BF7313B2
LAB-CARD-AAA739D91A3A,BNP,RULE-CARD-0019695FD387,肥厚型心肌病临床规则-222593,has_recommended_action,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
LAB-CARD-AAA739D91A3A,BNP,RULE-CARD-005F39BA0AD6,室性心律失常临床规则-7E5197,has_recommended_action,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
"['PROC-CARD-TEXT-53ECAA23AE', 'PROC-CARD-B8BE09194D42']",经导管主动脉瓣置换术,RULE-CARD-0093267E7B4D,主动脉瓣狭窄临床规则-C51052,has_recommended_action,PROC-CARD-TEXT-53ECAA23AE
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-0099E676CF11,心脏性猝死临床规则-1CF5AB,has_recommended_action,EXAM-CMR
PROC-CARD-3A51966AEA2C,TEER,RULE-CARD-00C63B077979,主动脉瓣狭窄临床规则-F0A671,has_recommended_action,PROC-TEER
EXAM-CARD-F6AAC5622DEA,CT,RULE-CARD-0105D9961CB7,心脏瓣膜病临床规则-23A86E,has_recommended_action,EXAM-CARD-TEXT-9A031190AE
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-010674C4CB9F,室性心律失常临床规则-AD3AE0,has_recommended_action,EXAM-CMR
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-0197BCB6731B,心房颤动临床规则-9F69D8,has_recommended_action,EXAM-CMR
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-01C0AC463ABA,扩张型心肌病临床规则-CA227E,has_recommended_action,EXAM-CMR
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-01D760ED4F44,心肌病临床规则-D18448,has_recommended_action,EXAM-CMR
PROC-CARD-3A51966AEA2C,TEER,RULE-CARD-01FED21228DB,二尖瓣反流临床规则-F69ABF,has_recommended_action,PROC-TEER
PROC-CARD-2FA3B15D2F3F,TAVI,RULE-CARD-0236CE31A660,二尖瓣狭窄临床规则-720E61,has_recommended_action,PROC-CARD-TEXT-53ECAA23AE
EXAM-CARD-F6AAC5622DEA,CT,RULE-CARD-0282E245AC4B,急性心肌梗死临床规则-06C5F0,has_recommended_action,EXAM-CARD-TEXT-9A031190AE
"['PROC-CARD-TEXT-53ECAA23AE', 'PROC-CARD-B8BE09194D42']",经导管主动脉瓣置换术,RULE-CARD-02E10FF82C92,主动脉瓣狭窄临床规则-238D7E,has_recommended_action,PROC-CARD-TEXT-53ECAA23AE
"['PROC-CARD-TEXT-53ECAA23AE', 'PROC-CARD-B8BE09194D42']",经导管主动脉瓣置换术,RULE-CARD-0306E78013B5,心脏瓣膜病临床规则-7DFFEC,has_recommended_action,PROC-CARD-TEXT-53ECAA23AE
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-033E598B1A01,肥厚型心肌病临床规则-8C8988,has_recommended_action,EXAM-CMR
LAB-CARD-AAA739D91A3A,BNP,RULE-CARD-035E475457DD,心肌病临床规则-0BE09D,has_recommended_action,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
PROC-CARD-2FA3B15D2F3F,TAVI,RULE-CARD-039EC3C5549C,心脏瓣膜病临床规则-AC191D,has_recommended_action,PROC-CARD-TEXT-53ECAA23AE
"['PROC-CARD-5558D37982AF', 'PROC-CARD-B4FC5ED6A1F7']",经皮球囊肺动脉瓣成形术,RULE-CARD-03CD33389D9E,先天性心脏病临床规则-B84D2D,has_recommended_action,PROC-CARD-5558D37982AF
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-04005B8302E8,室性心律失常临床规则-B079BC,has_recommended_action,EXAM-CMR
LAB-CARD-AAA739D91A3A,BNP,RULE-CARD-0445FCDE1F40,致心律失常性心肌病临床规则-B5515D,has_recommended_action,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B
PROC-CARD-2FA3B15D2F3F,TAVI,RULE-CARD-044C45FEF95D,主动脉瓣狭窄临床规则-57172C,has_recommended_action,PROC-CARD-TEXT-53ECAA23AE
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-04627838EDF7,心脏性猝死临床规则-A46E4A,has_recommended_action,EXAM-CMR
"['PROC-CARD-TEXT-53ECAA23AE', 'PROC-CARD-B8BE09194D42']",经导管主动脉瓣置换术,RULE-CARD-049FFB3F145F,主动脉瓣反流临床规则-E7EA71,has_recommended_action,PROC-CARD-TEXT-53ECAA23AE
"['PROC-CARD-TEXT-53ECAA23AE', 'PROC-CARD-B8BE09194D42']",经导管主动脉瓣置换术,RULE-CARD-053E7ECC7FDD,心脏瓣膜病临床规则-E2A092,has_recommended_action,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-2FA3B15D2F3F,TAVI,RULE-CARD-0543FDD62EF8,主动脉瓣狭窄临床规则-5E9768,has_recommended_action,PROC-CARD-TEXT-53ECAA23AE
PROC-CARD-2FA3B15D2F3F,TAVI,RULE-CARD-05BF44605C84,主动脉瓣狭窄临床规则-1A0393,has_recommended_action,PROC-CARD-TEXT-53ECAA23AE
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-05C55300F299,扩张型心肌病临床规则-117AB1,has_recommended_action,EXAM-CMR
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-05D21BE609CE,限制型心肌病临床规则-ACEA03,has_recommended_action,EXAM-CMR
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-05E1416BD9DC,心肌病临床规则-A8FB8B,has_recommended_action,EXAM-CMR
EXAM-CARD-F6AAC5622DEA,CT,RULE-CARD-06261F110D52,不稳定型心绞痛临床规则-8DC6B5,has_recommended_action,EXAM-CARD-TEXT-9A031190AE
"['PROC-CARD-5558D37982AF', 'PROC-CARD-B4FC5ED6A1F7']",经皮球囊肺动脉瓣成形术,RULE-CARD-06B481EEE480,肺动脉瓣狭窄临床规则-9F3DD5,has_recommended_action,PROC-CARD-5558D37982AF
PROC-CARD-2FA3B15D2F3F,TAVI,RULE-CARD-06FC8047B1A2,二尖瓣反流临床规则-19E24D,has_recommended_action,PROC-CARD-TEXT-53ECAA23AE
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-070BF5D3904C,心肌病临床规则-F79A55,has_recommended_action,EXAM-CMR
EXAM-CARD-F6AAC5622DEA,CT,RULE-CARD-0777576B1CAD,主动脉瓣狭窄临床规则-C268A5,has_recommended_action,EXAM-CARD-TEXT-9A031190AE
PROC-CARD-2FA3B15D2F3F,TAVI,RULE-CARD-0777576B1CAD,主动脉瓣狭窄临床规则-C268A5,has_recommended_action,PROC-CARD-TEXT-53ECAA23AE
"['PROC-CARD-TEXT-53ECAA23AE', 'PROC-CARD-B8BE09194D42']",经导管主动脉瓣置换术,RULE-CARD-07780A7B3599,二尖瓣反流临床规则-3E212F,has_recommended_action,PROC-CARD-TEXT-53ECAA23AE
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-07AC04A755BD,心脏性猝死临床规则-7FB41C,has_recommended_action,EXAM-CMR
EXAM-CARD-F6AAC5622DEA,CT,RULE-CARD-07AC04A755BD,心脏性猝死临床规则-7FB41C,has_recommended_action,EXAM-CARD-TEXT-9A031190AE
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-07B6CB14FAD8,心肌病临床规则-15462A,has_recommended_action,EXAM-CMR
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-0874016016DE,心脏性猝死临床规则-835526,has_recommended_action,EXAM-CMR
"['PROC-CARD-TEXT-53ECAA23AE', 'PROC-CARD-B8BE09194D42']",经导管主动脉瓣置换术,RULE-CARD-087C00048AF5,主动脉瓣反流临床规则-2305D8,has_recommended_action,PROC-CARD-TEXT-53ECAA23AE
EXAM-CARD-F6AAC5622DEA,CT,RULE-CARD-089CB9686A8E,心肌病临床规则-DFCE8A,has_recommended_action,EXAM-CARD-TEXT-9A031190AE
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-08DF431CB67C,心肌病临床规则-8DEEA8,has_recommended_action,EXAM-CMR
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-09124E26438E,致心律失常性心肌病临床规则-0101DF,has_recommended_action,EXAM-CMR
EXAM-CARD-F6AAC5622DEA,CT,RULE-CARD-09124E26438E,致心律失常性心肌病临床规则-0101DF,has_recommended_action,EXAM-CARD-TEXT-9A031190AE
EXAM-CARD-09DFFB573658,CMR,RULE-CARD-09551A5C379E,肥厚型心肌病临床规则-95EFE7,has_recommended_action,EXAM-CMR
"['PROC-CARD-TEXT-53ECAA23AE', 'PROC-CARD-B8BE09194D42']",经导管主动脉瓣置换术,RULE-CARD-09A2834C04E8,主动脉瓣狭窄临床规则-A89A64,has_recommended_action,PROC-CARD-TEXT-53ECAA23AE
