顺序,层级,章节,路径,开始段落,结束段落,教材可用槽位,V1.1处理口径,正式推理阻断
48,节,静脉血栓症,心脏骤停与心脏性猝死 > 静脉血栓症,7256,7337,definition；etiology；clinical_manifestation；diagnostic_criteria；differential_diagnosis,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
49,章,心血管神经症,心血管神经症 > 心血管神经症,7338,7392,definition；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
50,节,肿瘤治疗相关的心功能不全,心血管神经症 > 肿瘤治疗相关的心功能不全,7393,7426,etiology；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
51,节,肿瘤治疗相关的冠状动脉疾病,心血管神经症 > 肿瘤治疗相关的冠状动脉疾病,7427,7436,definition；pathogenesis；clinical_manifestation；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
52,节,肿瘤治疗相关的心律失常,心血管神经症 > 肿瘤治疗相关的心律失常,7437,7450,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
53,节,肿瘤治疗相关的高血压,心血管神经症 > 肿瘤治疗相关的高血压,7451,7453,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
54,节,肿瘤治疗相关的血栓性疾病,心血管神经症 > 肿瘤治疗相关的血栓性疾病,7454,7456,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
55,节,肿瘤治疗相关的其他心血管疾病,心血管神经症 > 肿瘤治疗相关的其他心血管疾病,7457,7526,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
56,节,糖尿病与高血压,心血管神经症 > 糖尿病与高血压,7527,7540,definition；pathogenesis；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
57,节,糖尿病与冠心病,心血管神经症 > 糖尿病与冠心病,7541,7569,definition；pathogenesis；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
58,节,糖尿病与心力衰竭,心血管神经症 > 糖尿病与心力衰竭,7570,7599,definition；pathogenesis；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
