rec_code,rec_name,clinical_review_status,review_status,cdss_release_level,formal_cdss_ready,disease_categories,diseases,disease_codes,action_n,action_names,action_codes,evidence_n,evidence_examples,rule_n,stage_n,disease_n,has_trigger,has_population,has_exclusion_or_contra,has_patient_fields,has_recommendation_class,has_evidence_level,has_statement_text,recommendation_class,evidence_level,gaps,qualification
REC-HT-MASKED-DIAG-DXC-MASKED,隐匿性高血压：隐匿性高血压诊断标准推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,隐匿性高血压,DIS-CARD-HT-MASKED,1,隐匿性高血压诊断标准,DXC-HT-MASKED,2,EVD-4B3F5EB920C53E1A1117-MASKED；EVD-42EC986AAC855EFABD81-MASKED,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-MASKED-FU-FU-CARD-3DAA53000684,隐匿性高血压：隐匿性高血压随访方案推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,隐匿性高血压,DIS-CARD-HT-MASKED,1,隐匿性高血压随访方案,FU-CARD-3DAA53000684,2,EVD-4B3F5EB920C53E1A1117-MASKED；EVD-42EC986AAC855EFABD81-MASKED,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-PA-DIAG-DXC-CARD-56EBD83589B6,原发性醛固酮增多症：原发性醛固酮增多症诊断标准推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病；高血压,原发性醛固酮增多症,DIS-CARD-HT-PA,1,原发性醛固酮增多症诊断标准,DXC-CARD-56EBD83589B6,2,EVD-C654C566F263D893CF24-PA；EVD-16CFD7364178002D2E4F-PA,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-PA-FU-FU-CARD-4431A1FE6C73,原发性醛固酮增多症：原发性醛固酮增多症随访方案推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病；高血压,原发性醛固酮增多症,DIS-CARD-HT-PA,1,原发性醛固酮增多症随访方案,FU-CARD-4431A1FE6C73,2,EVD-C654C566F263D893CF24-PA；EVD-16CFD7364178002D2E4F-PA,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-PAROXYSMAL-DIAG-DXC-PAROXYSMAL,发作性高血压：发作性高血压诊断标准推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,发作性高血压,DIS-CARD-HT-PAROXYSMAL,1,发作性高血压诊断标准,DXC-HT-PAROXYSMAL,1,EVD-8F9D2442660282BC413A-PAROXYSMAL,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-PAROXYSMAL-FU-FU-CARD-9EF08F23CBE3,发作性高血压：发作性高血压随访方案推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,发作性高血压,DIS-CARD-HT-PAROXYSMAL,1,发作性高血压随访方案,FU-CARD-9EF08F23CBE3,1,EVD-8F9D2442660282BC413A-PAROXYSMAL,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-PAROXYSMAL-TX-PLAN-PAROXYSMAL-CAUSE-BA,发作性高血压：发作性高血压诱因处理和病因导向治疗推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,发作性高血压,DIS-CARD-HT-PAROXYSMAL,1,发作性高血压诱因处理和病因导向治疗,PLAN-HT-PAROXYSMAL-CAUSE-BASED,1,EVD-8F9D2442660282BC413A-PAROXYSMAL,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-PRIMARY-DIAG-DXC-CARD-317486966B34,原发性高血压：原发性高血压诊断标准推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病；高血压,原发性高血压,DIS-CARD-HT-PRIMARY,1,原发性高血压诊断标准,DXC-CARD-317486966B34,2,EVD-C654C566F263D893CF24-PRIMARY；EVD-0A63E2B8B75DCFCA2254-PRIMARY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-PRIMARY-FU-FU-CARD-D42E1520B05E,原发性高血压：原发性高血压随访方案推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病；高血压,原发性高血压,DIS-CARD-HT-PRIMARY,1,原发性高血压随访方案,FU-CARD-D42E1520B05E,2,EVD-C654C566F263D893CF24-PRIMARY；EVD-0A63E2B8B75DCFCA2254-PRIMARY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-RENAL-PARENCHYMAL-DIAG-DXC-RENAL-PARENCHYMAL,肾实质性高血压：肾实质性高血压诊断标准推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病；高血压,肾实质性高血压,DIS-CARD-HT-RENAL-PARENCHYMAL,1,肾实质性高血压诊断标准,DXC-HT-RENAL-PARENCHYMAL,2,EVD-CCDB5C17583C3B81129F-PARENCHYMAL；EVD-97CEBFD426BC6919E7BB-PARENCHYMAL,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-RENAL-PARENCHYMAL-FU-FU-CARD-5B0D8BB5818D,肾实质性高血压：肾实质性高血压随访方案推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病；高血压,肾实质性高血压,DIS-CARD-HT-RENAL-PARENCHYMAL,1,肾实质性高血压随访方案,FU-CARD-5B0D8BB5818D,2,EVD-CCDB5C17583C3B81129F-PARENCHYMAL；EVD-97CEBFD426BC6919E7BB-PARENCHYMAL,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-RENOVASCULAR-DIAG-DXC-RENOVASCULAR,肾血管性高血压：肾血管性高血压诊断标准推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病；高血压,肾血管性高血压,DIS-CARD-HT-RENOVASCULAR,1,肾血管性高血压诊断标准,DXC-HT-RENOVASCULAR,2,EVD-AFF9D4BC9FDD0477BEE4-RENOVASCULAR；EVD-94C7E566B0A8FDC6FDFA-RENOVASCULAR,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-RENOVASCULAR-FU-FU-CARD-B14257BE5587,肾血管性高血压：肾血管性高血压随访方案推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病；高血压,肾血管性高血压,DIS-CARD-HT-RENOVASCULAR,1,肾血管性高血压随访方案,FU-CARD-B14257BE5587,2,EVD-AFF9D4BC9FDD0477BEE4-RENOVASCULAR；EVD-94C7E566B0A8FDC6FDFA-RENOVASCULAR,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-RESISTANT-DIAG-DXC-CARD-ACE197340A13,难治性高血压：难治性高血压诊断标准推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,难治性高血压,DIS-CARD-HT-RESISTANT,1,难治性高血压诊断标准,DXC-CARD-ACE197340A13,2,EVD-823179F4FBF21E7669A8-RESISTANT；EVD-62B64136818BC831207A-RESISTANT,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-RESISTANT-FU-FU-CARD-162ACB3C6AA9,难治性高血压：难治性高血压随访方案推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,难治性高血压,DIS-CARD-HT-RESISTANT,1,难治性高血压随访方案,FU-CARD-162ACB3C6AA9,2,EVD-823179F4FBF21E7669A8-RESISTANT；EVD-62B64136818BC831207A-RESISTANT,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-SECONDARY-DIAG-DXC-CARD-E024FB14B96D,继发性高血压：继发性高血压诊断标准推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病；高血压,继发性高血压,DIS-CARD-HT-SECONDARY,1,继发性高血压诊断标准,DXC-CARD-E024FB14B96D,2,EVD-C654C566F263D893CF24-SECONDARY；EVD-1C27C83622E84DA46B10-SECONDARY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-SECONDARY-FU-FU-CARD-4B8BCE62B705,继发性高血压：继发性高血压随访方案推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病；高血压,继发性高血压,DIS-CARD-HT-SECONDARY,1,继发性高血压随访方案,FU-CARD-4B8BCE62B705,2,EVD-C654C566F263D893CF24-SECONDARY；EVD-1C27C83622E84DA46B10-SECONDARY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-URGENCY-DIAG-DXC-URGENCY,高血压亚急症：高血压亚急症诊断标准推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,高血压亚急症,DIS-CARD-HT-URGENCY,1,高血压亚急症诊断标准,DXC-HT-URGENCY,2,EVD-C5F4AC21B117738DF204-URGENCY；EVD-2C1DE2A549847001BE2C-URGENCY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-URGENCY-FU-FU-CARD-FE4A3D41DF0A,高血压亚急症：高血压亚急症随访方案推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,高血压亚急症,DIS-CARD-HT-URGENCY,1,高血压亚急症随访方案,FU-CARD-FE4A3D41DF0A,2,EVD-C5F4AC21B117738DF204-URGENCY；EVD-2C1DE2A549847001BE2C-URGENCY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-WCH-DIAG-DXC-WCH,白大衣高血压：白大衣高血压诊断标准推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,白大衣高血压,DIS-CARD-HT-WCH,1,白大衣高血压诊断标准,DXC-HT-WCH,2,EVD-776F28B4C885F14E4B7A-WCH；EVD-62B64136818BC831207A-WCH,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-WCH-FU-FU-CARD-4A5605647CA9,白大衣高血压：白大衣高血压随访方案推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,白大衣高血压,DIS-CARD-HT-WCH,1,白大衣高血压随访方案,FU-CARD-4A5605647CA9,2,EVD-776F28B4C885F14E4B7A-WCH；EVD-62B64136818BC831207A-WCH,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-333AA9DF420F7DB2,心房心肌病路径治疗决策规则｜房性心律失常与卒中风险管理（治疗方案）推荐,clinical_ready,approved,formal,true,心肌病,心房心肌病,DIS-CARD-CM-ATRIAL,1,房性心律失常与卒中风险管理,PLAN-CARD-CM-ATRIAL-AF-STROKE-RISK-MANAGEMENT,5,EVD-B7158EA8F42BD3742755-ATRIAL；EVD-773C089A9E762740DADF-ATRIAL；EVD-0EBC528F9F2374DA5B28-ATRIAL；EVD-28A6FE4B0E63BA664B7E-ATRIAL；EVD-74C08FDA665F90308028-ATRIAL,1,1,1,True,True,True,True,True,True,True,未结构化,未结构化,,已正式可用
REC-CDSS-CARD-ARR-AF-RATE-CONTROL,心房颤动伴快速心室率或症状明显时，建议评估并实施心室率控制；药物选择需结合左室收缩功能、血流动力学状态和禁忌证。,clinical_ready,approved,formal,true,心律失常,心房颤动,DIS-CARD-ARR-AF,1,控制心室率,PLAN-CARD-TEXT-655F4B37BC,2,EVD-CARD-DEEP-94D83E44FD47F4；EVD-CARD-DEEP-59E5E08B606D9D,1,1,1,True,True,True,True,True,True,True,教材支持,权威教材证据,,已正式可用
REC-CDSS-CARD-ARR-AFL-RATE-CONTROL,心房扑动伴快速心室率时，建议评估心室率控制策略；药物或复律选择需结合血流动力学状态和禁忌证。,clinical_ready,approved,formal,true,心律失常,心房扑动,DIS-CARD-ARR-AFL,1,控制心室率,PLAN-CARD-TEXT-655F4B37BC,2,EVD-CARD-DEEP-CEF86B15D75B03；EVD-CARD-DEEP-2E78252BA488DA,1,1,1,True,True,True,True,True,True,True,教材支持,权威教材证据,,已正式可用
REC-CDSS-CARD-HF-AHF-RATE-CONTROL,急性心力衰竭合并房颤快心室率时，可在严密监测下评估心室率控制策略；推荐前必须确认血流动力学状态、射血分数和禁忌证。,clinical_ready,approved,formal,true,心力衰竭,急性心力衰竭,DIS-CARD-HF-AHF,1,控制心室率,PLAN-CARD-TEXT-655F4B37BC,1,EVD-CARD-DEEP-94D83E44FD47F4,1,1,1,True,True,True,True,True,True,True,教材支持,权威教材证据,,已正式可用
REC-CDSS-CARD-HF-RATE-CONTROL,心力衰竭合并房颤快心室率时，建议结合射血分数和禁忌证选择心室率控制策略；射血分数下降者需慎用非二氢吡啶类钙通道阻滞剂。,clinical_ready,approved,formal,true,心力衰竭,心力衰竭,DIS-CARD-HF,1,控制心室率,PLAN-CARD-TEXT-655F4B37BC,2,EVD-CARD-FOUND-00052；EVD-CARD-DEEP-94D83E44FD47F4,1,1,1,True,True,True,True,True,True,True,教材支持,权威教材证据,,已正式可用
REC-CDSS-CARD-VHD-MS-RATE-CONTROL,二尖瓣狭窄合并房颤快心室率时，建议进行心室率控制评估，并同步评估抗凝和瓣膜介入/手术治疗时机。,clinical_ready,approved,formal,true,心脏瓣膜病；瓣膜病,二尖瓣狭窄,DIS-CARD-VHD-MS,1,控制心室率,PLAN-CARD-TEXT-655F4B37BC,3,EVD-CARD-DEEP-537B1B4362A135；EVD-CARD-DEEP-1F46BD1E7FFCA3；EVD-CARD-DEEP-480396BA8D88DB,1,1,1,True,True,True,True,True,True,True,教材支持,权威教材证据,,已正式可用
REC-CDSS-CM-ATRIAL-02-01-TREAT,心房心肌病合并房性心律失常时，应评估抗凝、心室率控制和长期随访。,clinical_ready,approved,formal,true,心肌病,心房心肌病,DIS-CARD-CM-ATRIAL,4,控制心室率；房性心律失常与卒中风险管理；心房心肌病随访方案；抗凝治疗,PLAN-CARD-TEXT-655F4B37BC；PLAN-CARD-CM-ATRIAL-AF-STROKE-RISK-MANAGEMENT；FU-CARD-4F0F5C00E92E；PLAN-CARD-A1C4E6332D38,3,EVD-773C089A9E762740DADF-ATRIAL；EVD-0EBC528F9F2374DA5B28-ATRIAL；EVD-28A6FE4B0E63BA664B7E-ATRIAL,1,1,1,True,True,True,True,True,True,True,Ⅰ,C,,已正式可用
REC-HT-CKD-TX-PLAN-CARD-BDE62A3BE028,慢性肾脏病合并高血压：降压治疗推荐,clinical_ready,approved,formal,true,高血压疾病,慢性肾脏病合并高血压,DIS-CARD-HT-CKD,1,降压治疗,PLAN-CARD-BDE62A3BE028,2,EVD-A88C4F456FAF11892EC6-CKD；EVD-2DDA42E80412B28DBCD1-CKD,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-ELDERLY-TX-PLAN-CARD-0CDCF256C0E6,老年高血压：联合降压治疗推荐,clinical_ready,approved,formal,true,高血压疾病,老年高血压,DIS-CARD-HT-ELDERLY,1,联合降压治疗,PLAN-CARD-0CDCF256C0E6,2,EVD-55D105F697904AE83838-ELDERLY；EVD-4D4733BDF4898D1249F4-ELDERLY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-EMERGENCY-TX-PLAN-CARD-0CDCF256C0E6,高血压急症：联合降压治疗推荐,clinical_ready,approved,formal,true,高血压疾病,高血压急症,DIS-CARD-HT-EMERGENCY,1,联合降压治疗,PLAN-CARD-0CDCF256C0E6,1,EVD-5B44A97D405F06F81886-EMERGENCY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-EMERGENCY-TX-PLAN-CARD-BDE62A3BE028,高血压急症：降压治疗推荐,clinical_ready,approved,formal,true,高血压疾病,高血压急症,DIS-CARD-HT-EMERGENCY,1,降压治疗,PLAN-CARD-BDE62A3BE028,1,EVD-2C41FB69D2B7082252AC-EMERGENCY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-ENDOCRINE-TX-PLAN-CARD-BDE62A3BE028,内分泌性高血压：降压治疗推荐,clinical_ready,approved,formal,true,高血压疾病,内分泌性高血压,DIS-CARD-HT-ENDOCRINE,1,降压治疗,PLAN-CARD-BDE62A3BE028,2,EVD-3F12816A44E155A83816-ENDOCRINE；EVD-3BE0AA4C1951C4CEB406-ENDOCRINE,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-HT-TX-PLAN-CARD-0CDCF256C0E6,高血压：联合降压治疗推荐,clinical_ready,approved,formal,true,高血压疾病,高血压,DIS-CARD-HT,1,联合降压治疗,PLAN-CARD-0CDCF256C0E6,1,EVD-A88C4F456FAF11892EC6-HT,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-HT-TX-PLAN-CARD-2081B78ED14D,高血压：生活方式干预推荐,clinical_ready,approved,formal,true,高血压疾病,高血压,DIS-CARD-HT,1,生活方式干预,PLAN-CARD-2081B78ED14D,1,EVD-33A716520D7F8314C556-HT,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-MASKED-TX-PLAN-CARD-2081B78ED14D,隐匿性高血压：生活方式干预推荐,clinical_ready,approved,formal,true,高血压疾病,隐匿性高血压,DIS-CARD-HT-MASKED,1,生活方式干预,PLAN-CARD-2081B78ED14D,2,EVD-4B3F5EB920C53E1A1117-MASKED；EVD-42EC986AAC855EFABD81-MASKED,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-PA-TX-PLAN-CARD-0CDCF256C0E6,原发性醛固酮增多症：联合降压治疗推荐,clinical_ready,approved,formal,true,高血压疾病；高血压,原发性醛固酮增多症,DIS-CARD-HT-PA,1,联合降压治疗,PLAN-CARD-0CDCF256C0E6,2,EVD-C654C566F263D893CF24-PA；EVD-16CFD7364178002D2E4F-PA,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-PRIMARY-TX-PLAN-CARD-0CDCF256C0E6,原发性高血压：联合降压治疗推荐,clinical_ready,approved,formal,true,高血压疾病；高血压,原发性高血压,DIS-CARD-HT-PRIMARY,1,联合降压治疗,PLAN-CARD-0CDCF256C0E6,1,EVD-C654C566F263D893CF24-PRIMARY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-PRIMARY-TX-PLAN-CARD-2081B78ED14D,原发性高血压：生活方式干预推荐,clinical_ready,approved,formal,true,高血压疾病；高血压,原发性高血压,DIS-CARD-HT-PRIMARY,1,生活方式干预,PLAN-CARD-2081B78ED14D,1,EVD-0A63E2B8B75DCFCA2254-PRIMARY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-RENAL-PARENCHYMAL-TX-PLAN-CARD-BDE62A3BE028,肾实质性高血压：降压治疗推荐,clinical_ready,approved,formal,true,高血压疾病；高血压,肾实质性高血压,DIS-CARD-HT-RENAL-PARENCHYMAL,1,降压治疗,PLAN-CARD-BDE62A3BE028,2,EVD-CCDB5C17583C3B81129F-PARENCHYMAL；EVD-97CEBFD426BC6919E7BB-PARENCHYMAL,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-RENOVASCULAR-TX-PLAN-CARD-0CDCF256C0E6,肾血管性高血压：联合降压治疗推荐,clinical_ready,approved,formal,true,高血压疾病；高血压,肾血管性高血压,DIS-CARD-HT-RENOVASCULAR,1,联合降压治疗,PLAN-CARD-0CDCF256C0E6,2,EVD-AFF9D4BC9FDD0477BEE4-RENOVASCULAR；EVD-94C7E566B0A8FDC6FDFA-RENOVASCULAR,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-RESISTANT-TX-PLAN-CARD-0CDCF256C0E6,难治性高血压：联合降压治疗推荐,clinical_ready,approved,formal,true,高血压疾病,难治性高血压,DIS-CARD-HT-RESISTANT,1,联合降压治疗,PLAN-CARD-0CDCF256C0E6,1,EVD-62B64136818BC831207A-RESISTANT,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-RESISTANT-TX-PLAN-CARD-2081B78ED14D,难治性高血压：生活方式干预推荐,clinical_ready,approved,formal,true,高血压疾病,难治性高血压,DIS-CARD-HT-RESISTANT,1,生活方式干预,PLAN-CARD-2081B78ED14D,1,EVD-823179F4FBF21E7669A8-RESISTANT,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-SECONDARY-TX-PLAN-CARD-0CDCF256C0E6,继发性高血压：联合降压治疗推荐,clinical_ready,approved,formal,true,高血压疾病；高血压,继发性高血压,DIS-CARD-HT-SECONDARY,1,联合降压治疗,PLAN-CARD-0CDCF256C0E6,1,EVD-C654C566F263D893CF24-SECONDARY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-SECONDARY-TX-PLAN-CARD-BDE62A3BE028,继发性高血压：降压治疗推荐,clinical_ready,approved,formal,true,高血压疾病；高血压,继发性高血压,DIS-CARD-HT-SECONDARY,1,降压治疗,PLAN-CARD-BDE62A3BE028,1,EVD-1C27C83622E84DA46B10-SECONDARY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-URGENCY-TX-PLAN-CARD-BDE62A3BE028,高血压亚急症：降压治疗推荐,clinical_ready,approved,formal,true,高血压疾病,高血压亚急症,DIS-CARD-HT-URGENCY,1,降压治疗,PLAN-CARD-BDE62A3BE028,2,EVD-C5F4AC21B117738DF204-URGENCY；EVD-2C1DE2A549847001BE2C-URGENCY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-HT-WCH-TX-PLAN-CARD-2081B78ED14D,白大衣高血压：生活方式干预推荐,clinical_ready,approved,formal,true,高血压疾病,白大衣高血压,DIS-CARD-HT-WCH,1,生活方式干预,PLAN-CARD-2081B78ED14D,2,EVD-776F28B4C885F14E4B7A-WCH；EVD-62B64136818BC831207A-WCH,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,已正式可用
REC-047C1E2BE0811E47,急性冠脉综合征路径随访安全规则｜急性冠脉综合征随访方案（随访）推荐,pending_clinical_use_effect_review,approved_for_sample,,false,冠状动脉粥样硬化性心脏病,急性冠脉综合征,DIS-CARD-CAD-ACS,1,急性冠脉综合征随访方案,FU-CARD-F8771CA2A365,1,EVD-A757284F10089B5E60ED-ACS,1,1,1,True,True,True,True,True,True,True,未结构化,未结构化,,结构完整但字段不足/待审核
