疾病,疾病编码,治疗方案,治疗方案编码,是否已标记非正式推荐入口,使用范围,正式推荐入口要求
室上性心动过速,DIS-CARD-ARR-SVT,导管消融,PLAN-CARD-5C9E41087192,True,knowledge_explore_only,RecommendationStatement->recommends_action
室上性心动过速,DIS-CARD-ARR-SVT,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
室上性心动过速,DIS-CARD-ARR-SVT,迷走神经刺激,PLAN-CARD-741F70867FDD,True,knowledge_explore_only,RecommendationStatement->recommends_action
室性心律失常,DIS-CARD-ARR-VA,ICD治疗,PLAN-CARD-946BE3CB675F,True,knowledge_explore_only,RecommendationStatement->recommends_action
室性心律失常,DIS-CARD-ARR-VA,室性心律失常治疗方案,PLAN-CARD-2DBB5F9C858E,True,knowledge_explore_only,RecommendationStatement->recommends_action
室性心律失常,DIS-CARD-ARR-VA,射频消融治疗,PLAN-CARD-8D7FDE84DC07,True,knowledge_explore_only,RecommendationStatement->recommends_action
室性心律失常,DIS-CARD-ARR-VA,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,True,knowledge_explore_only,RecommendationStatement->recommends_action
室性心律失常,DIS-CARD-ARR-VA,电复律除颤,PLAN-CARD-A694F46F1102,True,knowledge_explore_only,RecommendationStatement->recommends_action
室性期前收缩,DIS-CARD-ARR-PVC,ICD治疗,PLAN-CARD-946BE3CB675F,True,knowledge_explore_only,RecommendationStatement->recommends_action
室性期前收缩,DIS-CARD-ARR-PVC,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
室性期前收缩,DIS-CARD-ARR-PVC,室性期前收缩治疗方案,PLAN-CARD-77E2B4A66CCD,True,knowledge_explore_only,RecommendationStatement->recommends_action
室性期前收缩,DIS-CARD-ARR-PVC,射频消融治疗,PLAN-CARD-8D7FDE84DC07,True,knowledge_explore_only,RecommendationStatement->recommends_action
室性期前收缩,DIS-CARD-ARR-PVC,急救复苏,PLAN-CARD-C23D6266C767,True,knowledge_explore_only,RecommendationStatement->recommends_action
室性期前收缩,DIS-CARD-ARR-PVC,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
室性期前收缩,DIS-CARD-ARR-PVC,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,True,knowledge_explore_only,RecommendationStatement->recommends_action
室性期前收缩,DIS-CARD-ARR-PVC,电复律除颤,PLAN-CARD-A694F46F1102,True,knowledge_explore_only,RecommendationStatement->recommends_action
室性期前收缩,DIS-CARD-ARR-PVC,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
室间隔缺损,DIS-CARD-VSD,室间隔缺损治疗方案,PLAN-CARD-A28566374E66,True,knowledge_explore_only,RecommendationStatement->recommends_action
家族性高胆固醇血症,DIS-CARD-FH,家族性高胆固醇血症治疗方案,PLAN-CARD-EE903EDF472E,True,knowledge_explore_only,RecommendationStatement->recommends_action
射血分数保留的心力衰竭,DIS-CARD-HF-HFpEF,射血分数保留的心力衰竭治疗方案,PLAN-CARD-71EEE6F12EA8,True,knowledge_explore_only,RecommendationStatement->recommends_action
射血分数轻度降低的心力衰竭,DIS-CARD-HF-HFmrEF,射血分数轻度降低的心力衰竭治疗方案,PLAN-CARD-BC4747CE025F,True,knowledge_explore_only,RecommendationStatement->recommends_action
射血分数降低的心力衰竭,DIS-CARD-HF-HFrEF,射血分数降低的心力衰竭治疗方案,PLAN-CARD-4C0507593DD1,True,knowledge_explore_only,RecommendationStatement->recommends_action
尖端扭转型室性心动过速,DIS-CARD-ARR-TDP,ICD治疗,PLAN-CARD-946BE3CB675F,True,knowledge_explore_only,RecommendationStatement->recommends_action
尖端扭转型室性心动过速,DIS-CARD-ARR-TDP,射频消融治疗,PLAN-CARD-8D7FDE84DC07,True,knowledge_explore_only,RecommendationStatement->recommends_action
尖端扭转型室性心动过速,DIS-CARD-ARR-TDP,尖端扭转型室性心动过速治疗方案,PLAN-CARD-6162E45256D2,True,knowledge_explore_only,RecommendationStatement->recommends_action
尖端扭转型室性心动过速,DIS-CARD-ARR-TDP,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,True,knowledge_explore_only,RecommendationStatement->recommends_action
尖端扭转型室性心动过速,DIS-CARD-ARR-TDP,电复律除颤,PLAN-CARD-A694F46F1102,True,knowledge_explore_only,RecommendationStatement->recommends_action
左心衰竭,DIS-CARD-HF-LEFT,左心衰竭治疗方案,PLAN-CARD-D0BC88D1FA7D,True,knowledge_explore_only,RecommendationStatement->recommends_action
心力衰竭,DIS-CARD-HF,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
心力衰竭,DIS-CARD-HF,心力衰竭治疗方案,PLAN-CARD-EFF16DE5C7BC,True,knowledge_explore_only,RecommendationStatement->recommends_action
心力衰竭,DIS-CARD-HF,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
心力衰竭,DIS-CARD-HF,控制心室率,PLAN-CARD-TEXT-655F4B37BC,True,knowledge_explore_only,RecommendationStatement->recommends_action
心力衰竭,DIS-CARD-HF,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,True,knowledge_explore_only,RecommendationStatement->recommends_action
心力衰竭,DIS-CARD-HF,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,True,knowledge_explore_only,RecommendationStatement->recommends_action
心力衰竭,DIS-CARD-HF,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
心力衰竭,DIS-CARD-HF,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
心包炎,DIS-CARD-PERICARDITIS,心包炎治疗方案,PLAN-CARD-03E909B82ACF,True,knowledge_explore_only,RecommendationStatement->recommends_action
心包积液及心脏压塞,DIS-CARD-PERICARD-EFFUSION,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
心包积液及心脏压塞,DIS-CARD-PERICARD-EFFUSION,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
心包积液及心脏压塞,DIS-CARD-PERICARD-EFFUSION,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,True,knowledge_explore_only,RecommendationStatement->recommends_action
心包积液及心脏压塞,DIS-CARD-PERICARD-EFFUSION,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,True,knowledge_explore_only,RecommendationStatement->recommends_action
心包积液及心脏压塞,DIS-CARD-PERICARD-EFFUSION,穿刺伤、心肌梗死后心肌破裂、心胸外科手术及介入操作造成的冠状动脉穿孔等可造成血性心包积液,CARD-SKELETON-FULL-20260709-TREATMENTPLAN-DAA970FF15656D0D,True,knowledge_explore_only,RecommendationStatement->recommends_action
心包积液及心脏压塞,DIS-CARD-PERICARD-EFFUSION,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
心室扑动与心室颤动,DIS-CARD-ARR-VF,ICD治疗,PLAN-CARD-946BE3CB675F,True,knowledge_explore_only,RecommendationStatement->recommends_action
心室扑动与心室颤动,DIS-CARD-ARR-VF,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
心室扑动与心室颤动,DIS-CARD-ARR-VF,射频消融治疗,PLAN-CARD-8D7FDE84DC07,True,knowledge_explore_only,RecommendationStatement->recommends_action
心室扑动与心室颤动,DIS-CARD-ARR-VF,心室扑动与心室颤动治疗方案,PLAN-CARD-F4DFEE3BA390,True,knowledge_explore_only,RecommendationStatement->recommends_action
心室扑动与心室颤动,DIS-CARD-ARR-VF,急救复苏,PLAN-CARD-C23D6266C767,True,knowledge_explore_only,RecommendationStatement->recommends_action
心室扑动与心室颤动,DIS-CARD-ARR-VF,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
心室扑动与心室颤动,DIS-CARD-ARR-VF,抗心律失常药物,CARD-SKELETON-20260709-TREATMENTPLAN-C8DC2DC4FF9E48B0,True,knowledge_explore_only,RecommendationStatement->recommends_action
心室扑动与心室颤动,DIS-CARD-ARR-VF,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,True,knowledge_explore_only,RecommendationStatement->recommends_action
心室扑动与心室颤动,DIS-CARD-ARR-VF,特别是引起QT间期延长与尖端扭转型室速的药物,CARD-SKELETON-20260709-TREATMENTPLAN-B76F8B1E24A603E8,True,knowledge_explore_only,RecommendationStatement->recommends_action
心室扑动与心室颤动,DIS-CARD-ARR-VF,电复律除颤,PLAN-CARD-A694F46F1102,True,knowledge_explore_only,RecommendationStatement->recommends_action
心室扑动与心室颤动,DIS-CARD-ARR-VF,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房心肌病,DIS-CARD-CM-ATRIAL,房性心律失常与卒中风险管理,PLAN-CARD-CM-ATRIAL-AF-STROKE-RISK-MANAGEMENT,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房扑动,DIS-CARD-ARR-AFL,同步电复律,PLAN-CARD-108E680ADD4F,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房扑动,DIS-CARD-ARR-AFL,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房扑动,DIS-CARD-ARR-AFL,导管消融,PLAN-CARD-5C9E41087192,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房扑动,DIS-CARD-ARR-AFL,心房扑动治疗方案,PLAN-CARD-85C337BCB2D5,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房扑动,DIS-CARD-ARR-AFL,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房扑动,DIS-CARD-ARR-AFL,控制心室率,PLAN-CARD-TEXT-655F4B37BC,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房颤动,DIS-CARD-ARR-AF,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房颤动,DIS-CARD-ARR-AF,导管消融,PLAN-CARD-5C9E41087192,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房颤动,DIS-CARD-ARR-AF,左心耳封堵,PLAN-CARD-8648D7D7CF5C,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房颤动,DIS-CARD-ARR-AF,心室率控制,PLAN-CARD-946E8629999F,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房颤动,DIS-CARD-ARR-AF,心房颤动治疗方案,PLAN-CARD-0315A5E784A6,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房颤动,DIS-CARD-ARR-AF,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房颤动,DIS-CARD-ARR-AF,抗血小板治疗,PLAN-CARD-42FD049DCDB5,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房颤动,DIS-CARD-ARR-AF,控制心室率,PLAN-CARD-TEXT-655F4B37BC,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房颤动,DIS-CARD-ARR-AF,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房颤动,DIS-CARD-ARR-AF,综合危险因素管理,PLAN-CARD-0C511F6A9FF0,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房颤动,DIS-CARD-ARR-AF,节律控制,PLAN-CARD-40AB27F53C05,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房颤动,DIS-CARD-ARR-AF,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
心房颤动,DIS-CARD-ARR-AF,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
心肌梗死后心力衰竭,DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭治疗方案,PLAN-CARD-019D9CFB289A,True,knowledge_explore_only,RecommendationStatement->recommends_action
心肌梗死后综合征,DIS-CARD-CAD-POST-MI-SYNDROME,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,True,knowledge_explore_only,RecommendationStatement->recommends_action
心肌炎,DIS-CARD-MYOCARDITIS,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
心肌炎,DIS-CARD-MYOCARDITIS,心肌炎治疗方案,PLAN-CARD-D00A6346C918,True,knowledge_explore_only,RecommendationStatement->recommends_action
心肌炎,DIS-CARD-MYOCARDITIS,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
心脏性猝死,DIS-CARD-SCD-SUDDEN,ICD治疗,PLAN-CARD-946BE3CB675F,True,knowledge_explore_only,RecommendationStatement->recommends_action
心脏性猝死,DIS-CARD-SCD-SUDDEN,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
心脏性猝死,DIS-CARD-SCD-SUDDEN,射频消融治疗,PLAN-CARD-8D7FDE84DC07,True,knowledge_explore_only,RecommendationStatement->recommends_action
心脏性猝死,DIS-CARD-SCD-SUDDEN,心脏性猝死治疗方案,PLAN-CARD-B9AD52AAFDDB,True,knowledge_explore_only,RecommendationStatement->recommends_action
心脏性猝死,DIS-CARD-SCD-SUDDEN,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,True,knowledge_explore_only,RecommendationStatement->recommends_action
心脏性猝死,DIS-CARD-SCD-SUDDEN,电复律除颤,PLAN-CARD-A694F46F1102,True,knowledge_explore_only,RecommendationStatement->recommends_action
心脏性猝死,DIS-CARD-SCD-SUDDEN,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
心脏瓣膜病,DIS-CARD-VHD,心脏瓣膜病治疗方案,PLAN-CARD-1E99D01836CB,True,knowledge_explore_only,RecommendationStatement->recommends_action
心脏骤停,DIS-CARD-SCD-ARREST,ICD治疗,PLAN-CARD-946BE3CB675F,True,knowledge_explore_only,RecommendationStatement->recommends_action
心脏骤停,DIS-CARD-SCD-ARREST,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
