disease_code,disease_name,pathway_element,applicability_status,coverage_status,evidence_count,source_names,missing_reason,solution
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,risk_stratification,optional,missing,112,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,treatment_plan,required,covered,112,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,medication,optional,covered,112,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,procedure,optional,covered,112,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,complication,required,covered,112,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,prognosis,required,covered,112,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,follow_up,required,covered,112,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,guideline,required,covered,112,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,evidence,required,covered,112,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,definition,required,covered,44,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,aliases,optional,covered,44,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,etiology,required,covered,44,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,pathophysiology,optional,covered,44,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,epidemiology,optional,missing,44,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,risk_factor,optional,covered,44,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,symptom,required,covered,44,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,sign,required,covered,44,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,exam,required,covered,44,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,lab_test,optional,covered,44,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,threshold_rule,optional,missing,44,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,diagnosis_criteria,required,covered,44,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,differential_diagnosis,optional,covered,44,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,risk_stratification,optional,covered,44,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,treatment_plan,required,covered,44,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,medication,optional,missing,44,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,procedure,optional,missing,44,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,complication,required,covered,44,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,prognosis,required,covered,44,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,follow_up,required,covered,44,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,guideline,required,covered,44,,,
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,evidence,required,covered,44,,,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,definition,required,covered,104,,,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,aliases,optional,covered,104,,,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,etiology,required,covered,104,,,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,pathophysiology,optional,missing,104,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,epidemiology,optional,missing,104,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,risk_factor,optional,covered,104,,,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,symptom,required,covered,104,,,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,sign,required,covered,104,,,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,exam,required,covered,104,,,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,lab_test,optional,covered,104,,,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,threshold_rule,optional,missing,104,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,diagnosis_criteria,required,covered,104,,,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,differential_diagnosis,optional,covered,104,,,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,risk_stratification,optional,covered,104,,,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,treatment_plan,required,covered,104,,,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,medication,optional,missing,104,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,procedure,optional,missing,104,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,complication,required,covered,104,,,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,prognosis,required,covered,104,,,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,follow_up,required,covered,104,,,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,guideline,required,covered,104,,,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,evidence,required,covered,104,,,
DIS-CARD-PH-HPAH,遗传性肺动脉高压,definition,required,covered,33,,,
DIS-CARD-PH-HPAH,遗传性肺动脉高压,aliases,optional,covered,33,,,
DIS-CARD-PH-HPAH,遗传性肺动脉高压,etiology,required,covered,33,,,
DIS-CARD-PH-HPAH,遗传性肺动脉高压,pathophysiology,optional,missing,33,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-HPAH,遗传性肺动脉高压,epidemiology,optional,missing,33,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-HPAH,遗传性肺动脉高压,risk_factor,optional,missing,33,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-HPAH,遗传性肺动脉高压,symptom,required,covered,33,,,
DIS-CARD-PH-HPAH,遗传性肺动脉高压,sign,required,covered,33,,,
DIS-CARD-PH-HPAH,遗传性肺动脉高压,exam,required,covered,33,,,
DIS-CARD-PH-HPAH,遗传性肺动脉高压,lab_test,optional,covered,33,,,
DIS-CARD-PH-HPAH,遗传性肺动脉高压,threshold_rule,optional,missing,33,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-HPAH,遗传性肺动脉高压,diagnosis_criteria,required,covered,33,,,
DIS-CARD-PH-HPAH,遗传性肺动脉高压,differential_diagnosis,optional,missing,33,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-HPAH,遗传性肺动脉高压,risk_stratification,optional,covered,33,,,
DIS-CARD-PH-HPAH,遗传性肺动脉高压,treatment_plan,required,covered,33,,,
DIS-CARD-PH-HPAH,遗传性肺动脉高压,medication,optional,covered,33,,,
DIS-CARD-PH-HPAH,遗传性肺动脉高压,procedure,optional,missing,33,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-HPAH,遗传性肺动脉高压,complication,required,covered,33,,,
DIS-CARD-PH-HPAH,遗传性肺动脉高压,prognosis,required,covered,33,,,
DIS-CARD-PH-HPAH,遗传性肺动脉高压,follow_up,required,covered,33,,,
DIS-CARD-PH-HPAH,遗传性肺动脉高压,guideline,required,covered,33,,,
DIS-CARD-PH-HPAH,遗传性肺动脉高压,evidence,required,covered,33,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,definition,required,covered,106,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,aliases,optional,covered,106,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,etiology,required,covered,106,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,pathophysiology,optional,missing,106,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-IPAH,特发性肺动脉高压,epidemiology,optional,missing,106,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-IPAH,特发性肺动脉高压,risk_factor,optional,covered,106,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,symptom,required,covered,106,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,sign,required,covered,106,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,exam,required,covered,106,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,lab_test,optional,covered,106,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,threshold_rule,optional,missing,106,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-IPAH,特发性肺动脉高压,diagnosis_criteria,required,covered,106,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,differential_diagnosis,optional,covered,106,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,risk_stratification,optional,covered,106,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,treatment_plan,required,covered,106,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,medication,optional,covered,106,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,procedure,optional,missing,106,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-IPAH,特发性肺动脉高压,complication,required,covered,106,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,prognosis,required,covered,106,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,follow_up,required,covered,106,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,guideline,required,covered,106,,,
DIS-CARD-PH-IPAH,特发性肺动脉高压,evidence,required,covered,106,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,definition,required,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,aliases,optional,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,etiology,required,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,pathophysiology,optional,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,epidemiology,optional,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,risk_factor,optional,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,symptom,required,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,sign,required,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,exam,required,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,lab_test,optional,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,threshold_rule,optional,missing,426,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-PAH,动脉性肺动脉高压,diagnosis_criteria,required,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,differential_diagnosis,optional,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,risk_stratification,optional,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,treatment_plan,required,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,medication,optional,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,procedure,optional,missing,426,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-PAH,动脉性肺动脉高压,complication,required,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,prognosis,required,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,follow_up,required,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,guideline,required,covered,426,,,
DIS-CARD-PH-PAH,动脉性肺动脉高压,evidence,required,covered,426,,,
