推荐编码,推荐名称,是否正式CDSS推荐,审核状态,发布层级,疾病大类,疾病,推荐动作数,推荐动作示例,证据数,临床规则数,诊疗阶段数,关联疾病数,推荐等级,证据等级,缺口,复核结论
REC-21F28579B6832C61,STEMI再灌注策略选择规则｜冠状动脉造影（检查）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,ST段抬高型心肌梗死,1,冠状动脉造影,3,1,1,1,未结构化,未结构化,,通过
REC-2552823372289E79,室性心律失常路径治疗决策规则｜室性心律失常治疗方案（治疗方案）推荐,True,clinical_ready,formal,心律失常,室性心律失常,1,室性心律失常治疗方案,5,1,1,1,未结构化,未结构化,,通过
REC-2803D585674F1A5A,儿茶酚胺敏感性多形性室性心动过速路径随访安全规则｜儿茶酚胺敏感性多形性室性心动过速风险分层（风险分层）推荐,True,clinical_ready,formal,心律失常,儿茶酚胺敏感性多形性室性心动过速,1,儿茶酚胺敏感性多形性室性心动过速风险分层,5,1,1,1,未结构化,未结构化,,通过
REC-2896C7CB028F9764,复发性SVT消融评估规则｜射频导管消融（操作/手术）推荐,True,clinical_ready,formal,心律失常,室上性心动过速,1,射频导管消融,1,1,1,1,未结构化,未结构化,,通过
REC-28E5C440737AB289,心脏骤停路径治疗决策规则｜射频消融治疗（治疗方案）推荐,True,clinical_ready,formal,心脏骤停与心脏性猝死；心律失常,心脏骤停,1,射频消融治疗,2,1,1,1,未结构化,未结构化,,通过
REC-292BE2CF55986450,HFrEF长期规范药物治疗规则｜盐皮质激素受体拮抗剂（药物）推荐,True,clinical_ready,formal,心力衰竭,心力衰竭,1,盐皮质激素受体拮抗剂,2,1,1,1,未结构化,未结构化,,通过
REC-2B0A860969D0CB18,致心律失常性心肌病路径治疗决策规则｜致心律失常性心肌病治疗方案（治疗方案）推荐,True,clinical_ready,formal,心肌病,致心律失常性心肌病,1,致心律失常性心肌病治疗方案,2,1,1,1,未结构化,未结构化,,通过
REC-2B53E0EC6FAAF3FC,肥厚型心肌病路径治疗决策规则｜抗凝治疗（治疗方案）推荐,True,clinical_ready,formal,心肌病,肥厚型心肌病,1,抗凝治疗,5,1,1,1,未结构化,未结构化,,通过
REC-2C459FB26708DAD8,儿茶酚胺敏感性多形性室性心动过速路径评估规则｜儿茶酚胺敏感性多形性室性心动过速诊断标准（诊断标准）推荐,True,clinical_ready,formal,心律失常,儿茶酚胺敏感性多形性室性心动过速,1,儿茶酚胺敏感性多形性室性心动过速诊断标准,5,1,1,1,未结构化,未结构化,,通过
REC-2D007FEA16344C82,致心律失常性右心室心肌病路径治疗决策规则｜致心律失常性右心室心肌病治疗方案（治疗方案）推荐,True,clinical_ready,formal,心肌病,致心律失常性右心室心肌病,1,致心律失常性右心室心肌病治疗方案,4,1,1,1,未结构化,未结构化,,通过
REC-2D0C8BD190242AD2,房颤抗凝治疗规则｜抗凝药物（药物）推荐,True,clinical_ready,formal,心律失常,心房颤动,1,抗凝药物,3,1,1,1,未结构化,未结构化,,通过
REC-2D3B6B1813298A97,STEMI抗血小板与抗凝治疗规则｜抗凝治疗（治疗方案）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,ST段抬高型心肌梗死,1,抗凝治疗,2,1,1,1,未结构化,未结构化,,通过
REC-2DDCA667F430F3FA,扩张型心肌病路径治疗决策规则｜扩张型心肌病治疗方案（治疗方案）推荐,True,clinical_ready,formal,心肌病,扩张型心肌病,1,扩张型心肌病治疗方案,5,1,1,1,未结构化,未结构化,,通过
REC-300EDB319691EA8A,心室扑动与心室颤动路径治疗决策规则｜抗心律失常药物治疗（治疗方案）推荐,True,clinical_ready,formal,心律失常,心室扑动与心室颤动,1,抗心律失常药物治疗,3,1,1,1,未结构化,未结构化,,通过
REC-312145D109A8F691,房扑抗凝复律规则｜抗凝药物（药物）推荐,True,clinical_ready,formal,心律失常,室上性心动过速,1,抗凝药物,3,1,1,1,未结构化,未结构化,,通过
REC-31FDF389F87DF498,稳定型心绞痛路径治疗决策规则｜稳定型心绞痛治疗方案（治疗方案）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,稳定型心绞痛,1,稳定型心绞痛治疗方案,1,1,1,1,未结构化,未结构化,,通过
REC-333AA9DF420F7DB2,心房心肌病路径治疗决策规则｜房性心律失常与卒中风险管理（治疗方案）推荐,True,clinical_ready,formal,心肌病,心房心肌病,1,房性心律失常与卒中风险管理,5,1,1,1,未结构化,未结构化,,通过
REC-33FC7A359E1DA0BB,STEMI溶栓禁忌阻断规则｜溶栓治疗（治疗方案）阻断,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,ST段抬高型心肌梗死,1,溶栓治疗,1,1,1,1,未结构化,未结构化,,通过
REC-346A7B6F72203B80,肥厚型心肌病路径治疗决策规则｜肥厚型心肌病治疗方案（治疗方案）推荐,True,clinical_ready,formal,心肌病,肥厚型心肌病,1,肥厚型心肌病治疗方案,5,1,1,1,未结构化,未结构化,,通过
REC-34AFE54CFB0F02B9,缺血性心肌病路径治疗决策规则｜血运重建（治疗方案）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病；心肌病,缺血性心肌病,1,血运重建,1,1,1,1,未结构化,未结构化,,通过
REC-34FC7853D08FE26F,稳定窄QRS SVT急性终止规则｜颈动脉窦按摩（操作/手术）推荐,True,clinical_ready,formal,心律失常,室上性心动过速,1,颈动脉窦按摩,3,1,1,1,未结构化,未结构化,,通过
REC-3565AC8D78FB12CB,STEMI抗血小板与抗凝治疗规则｜普通肝素（药物）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,ST段抬高型心肌梗死,1,普通肝素,2,1,1,1,未结构化,未结构化,,通过
REC-35AFFC16987E38D3,影像学新发室壁运动异常｜超声心动图（检查）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,急性心肌梗死,1,超声心动图,1,1,1,1,未结构化,未结构化,,通过
REC-368BDCEFBC65FAC9,长QT间期综合征路径治疗决策规则｜电复律除颤（治疗方案）推荐,True,clinical_ready,formal,心律失常,长QT间期综合征,1,电复律除颤,5,1,1,1,未结构化,未结构化,,通过
REC-373A59A06A078858,尖端扭转型室性心动过速路径治疗决策规则｜电复律除颤（治疗方案）推荐,True,clinical_ready,formal,心律失常,尖端扭转型室性心动过速,1,电复律除颤,5,1,1,1,未结构化,未结构化,,通过
REC-3988F9FE0A801E2A,室性心律失常路径治疗决策规则｜射频消融治疗（治疗方案）推荐,True,clinical_ready,formal,心律失常,室性心律失常,1,射频消融治疗,5,1,1,1,未结构化,未结构化,,通过
REC-3993D6D74CED11F4,尖端扭转型室性心动过速路径治疗决策规则｜尖端扭转型室性心动过速治疗方案（治疗方案）推荐,True,clinical_ready,formal,心律失常,尖端扭转型室性心动过速,1,尖端扭转型室性心动过速治疗方案,5,1,1,1,未结构化,未结构化,,通过
REC-3A1C60225ED42F22,STEMI抗血小板与抗凝治疗规则｜低分子量肝素（药物）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,ST段抬高型心肌梗死,1,低分子量肝素,2,1,1,1,未结构化,未结构化,,通过
REC-3A4D17008D1F8F04,室性心律失常路径治疗决策规则｜电复律除颤（治疗方案）推荐,True,clinical_ready,formal,心律失常,室性心律失常,1,电复律除颤,5,1,1,1,未结构化,未结构化,,通过
REC-3A6BA48320B05217,心衰疑诊利钠肽与超声评估规则｜左心室射血分数（ExamIndicator）推荐,True,clinical_ready,formal,心力衰竭,心力衰竭,1,左心室射血分数,2,1,1,1,未结构化,未结构化,,通过
REC-3F196A9FDA47EC87,HFrEF长期规范药物治疗规则｜血管紧张素受体脑啡肽酶抑制剂（药物）推荐,True,clinical_ready,formal,心力衰竭,心力衰竭,1,血管紧张素受体脑啡肽酶抑制剂,2,1,1,1,未结构化,未结构化,,通过
REC-409D51FF3EF8F9F0,淀粉样变心肌病路径评估规则｜淀粉样变心肌病诊断标准（诊断标准）推荐,True,clinical_ready,formal,心肌病,淀粉样变心肌病,1,淀粉样变心肌病诊断标准,4,1,1,1,未结构化,未结构化,,通过
REC-4160846401ECB617,致心律失常性心肌病路径随访安全规则｜致心律失常性心肌病随访方案（随访）推荐,True,clinical_ready,formal,心肌病,致心律失常性心肌病,1,致心律失常性心肌病随访方案,2,1,1,1,未结构化,未结构化,,通过
REC-427E7B3010D2852C,STEMI二级预防与随访规则｜瑞舒伐他汀（药物）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,ST段抬高型心肌梗死,1,瑞舒伐他汀,2,1,1,1,未结构化,未结构化,,通过
REC-43B5E8668891D88E,非扩张型左心室心肌病路径评估规则｜CMR-LGE非缺血性瘢痕诊断依据（诊断标准）推荐,True,clinical_ready,formal,心肌病,非扩张型左心室心肌病,1,CMR-LGE非缺血性瘢痕诊断依据,5,1,1,1,未结构化,未结构化,,通过
REC-43CB93405DFD3C3B,淀粉样变心肌病路径治疗决策规则｜淀粉样变心肌病治疗方案（治疗方案）推荐,True,clinical_ready,formal,心肌病,淀粉样变心肌病,1,淀粉样变心肌病治疗方案,4,1,1,1,未结构化,未结构化,,通过
REC-448ED7FBC949A6A0,尖端扭转型室性心动过速路径治疗决策规则｜ICD治疗（治疗方案）推荐,True,clinical_ready,formal,心律失常,尖端扭转型室性心动过速,1,ICD治疗,5,1,1,1,未结构化,未结构化,,通过
REC-44C54EB75362E681,非持续性室性心动过速路径随访安全规则｜非持续性室性心动过速随访与复查方案（随访）推荐,True,clinical_ready,formal,心律失常,非持续性室性心动过速,1,非持续性室性心动过速随访与复查方案,5,1,1,1,未结构化,未结构化,,通过
REC-45BF0572CB073F1B,长QT间期综合征路径治疗决策规则｜抗心律失常药物治疗（治疗方案）推荐,True,clinical_ready,formal,心律失常,长QT间期综合征,1,抗心律失常药物治疗,5,1,1,1,未结构化,未结构化,,通过
REC-473085E274C198B4,慢性冠脉综合征路径随访安全规则｜慢性冠脉综合征随访方案（随访）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,慢性冠脉综合征,1,慢性冠脉综合征随访方案,5,1,1,1,未结构化,未结构化,,通过
REC-484D25F1C92C158A,持续性室性心动过速路径评估规则｜持续性室性心动过速诊断标准（诊断标准）推荐,True,clinical_ready,formal,心律失常,持续性室性心动过速,1,持续性室性心动过速诊断标准,5,1,1,1,未结构化,未结构化,,通过
REC-4879BC5487C0237C,房颤随访规则｜HAS-BLED评分（风险分层）推荐,True,clinical_ready,formal,心律失常,心房颤动,1,HAS-BLED评分,2,1,1,1,未结构化,未结构化,,通过
REC-48ACCA58849D7D40,房颤卒中出血评分规则｜CHA2DS2-VASc评分（风险分层）推荐,True,clinical_ready,formal,心律失常,心房颤动,1,CHA2DS2-VASc评分,1,1,1,1,未结构化,未结构化,,通过
REC-4AC0AA29BB44F05E,限制型心肌病路径评估规则｜限制型心肌病诊断标准（诊断标准）推荐,True,clinical_ready,formal,心肌病,限制型心肌病,1,限制型心肌病诊断标准,4,1,1,1,未结构化,未结构化,,通过
REC-4B0CDD61249087E3,房颤节律控制与导管消融规则｜房颤导管消融（操作/手术）推荐,True,clinical_ready,formal,心律失常,心房颤动,1,房颤导管消融,2,1,1,1,未结构化,未结构化,,通过
REC-4D99AA7991249384,心衰疑诊利钠肽与超声评估规则｜利钠肽（检查）推荐,True,clinical_ready,formal,心力衰竭,心力衰竭,1,利钠肽,2,1,1,1,未结构化,未结构化,,通过
REC-4DC54492700DB784,房颤卒中出血评分规则｜HAS-BLED评分（风险分层）推荐,True,clinical_ready,formal,心律失常,心房颤动,1,HAS-BLED评分,1,1,1,1,未结构化,未结构化,,通过
REC-4E1F1511A359893F,致心律失常性左心室心肌病路径随访安全规则｜致心律失常性左心室心肌病风险分层（风险分层）推荐,True,clinical_ready,formal,心肌病,致心律失常性左心室心肌病,1,致心律失常性左心室心肌病风险分层,5,1,1,1,未结构化,未结构化,,通过
REC-4E58B5A027DD1859,STEMI诊断确认规则｜超声心动图（检查）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,ST段抬高型心肌梗死,1,超声心动图,3,1,1,1,未结构化,未结构化,,通过
REC-4E992FA271E92226,心脏性猝死路径治疗决策规则｜心脏性猝死治疗方案（治疗方案）推荐,True,clinical_ready,formal,心脏骤停与心脏性猝死；心律失常,心脏性猝死,1,心脏性猝死治疗方案,4,1,1,1,未结构化,未结构化,,通过
REC-4F29DF99898C8CC2,不稳定型心绞痛路径随访安全规则｜不稳定型心绞痛随访方案（随访）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,不稳定型心绞痛,1,不稳定型心绞痛随访方案,5,1,1,1,未结构化,未结构化,,通过
REC-503DA5FFF8F7E70B,儿茶酚胺敏感性多形性室性心动过速路径治疗决策规则｜ICD治疗（治疗方案）推荐,True,clinical_ready,formal,心律失常,儿茶酚胺敏感性多形性室性心动过速,1,ICD治疗,5,1,1,1,未结构化,未结构化,,通过
REC-50DB7AB6BC0A0C92,慢性冠脉综合征路径治疗决策规则｜慢性冠脉综合征治疗方案（治疗方案）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,慢性冠脉综合征,1,慢性冠脉综合征治疗方案,5,1,1,1,未结构化,未结构化,,通过
REC-519A282D9FA59F80,稳定型心绞痛路径治疗决策规则｜抗血小板治疗（治疗方案）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,稳定型心绞痛,1,抗血小板治疗,1,1,1,1,未结构化,未结构化,,通过
REC-52314CDED5532BDA,HFrEF长期规范药物治疗规则｜钠-葡萄糖协同转运蛋白2抑制剂（药物）推荐,True,clinical_ready,formal,心力衰竭,心力衰竭,1,钠-葡萄糖协同转运蛋白2抑制剂,2,1,1,1,未结构化,未结构化,,通过
REC-53005B26BDC41745,室性期前收缩路径随访安全规则｜室性期前收缩随访方案（随访）推荐,True,clinical_ready,formal,心律失常,室性期前收缩,1,室性期前收缩随访方案,4,1,1,1,未结构化,未结构化,,通过
REC-5313C02E33DB1945,室上速/房扑心电机制分型规则｜心电图（检查）推荐,True,clinical_ready,formal,心律失常,室上性心动过速,1,心电图,2,1,1,1,未结构化,未结构化,,通过
REC-531E3349DCFCE290,不稳定型心绞痛路径治疗决策规则｜不稳定型心绞痛治疗方案（治疗方案）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,不稳定型心绞痛,1,不稳定型心绞痛治疗方案,5,1,1,1,未结构化,未结构化,,通过
REC-54A9B88981A6EDE3,HFpEF综合管理规则｜达格列净（药物）推荐,True,clinical_ready,formal,心力衰竭,心力衰竭,1,达格列净,4,1,1,1,未结构化,未结构化,,通过
REC-557EEA930403FD14,心室扑动与心室颤动路径随访安全规则｜心室扑动与心室颤动随访方案（随访）推荐,True,clinical_ready,formal,心律失常,心室扑动与心室颤动,1,心室扑动与心室颤动随访方案,3,1,1,1,未结构化,未结构化,,通过
REC-57BFB7E576312074,长QT间期综合征路径随访安全规则｜长QT间期综合征风险分层（风险分层）推荐,True,clinical_ready,formal,心律失常,长QT间期综合征,1,长QT间期综合征风险分层,5,1,1,1,未结构化,未结构化,,通过
REC-58DDA5325D02391B,限制型心肌病路径治疗决策规则｜限制型心肌病治疗方案（治疗方案）推荐,True,clinical_ready,formal,心肌病,限制型心肌病,1,限制型心肌病治疗方案,4,1,1,1,未结构化,未结构化,,通过
REC-595E8F3DB1865725,扩张型心肌病路径治疗决策规则｜降压治疗（治疗方案）推荐,True,clinical_ready,formal,心肌病,扩张型心肌病,1,降压治疗,5,1,1,1,未结构化,未结构化,,通过
REC-59B287969535CC42,房颤抗凝治疗规则｜抗凝治疗（治疗方案）推荐,True,clinical_ready,formal,心律失常,心房颤动,1,抗凝治疗,3,1,1,1,未结构化,未结构化,,通过
REC-59BE03402037CFE1,房颤抗凝治疗规则｜达比加群酯（药物）推荐,True,clinical_ready,formal,心律失常,心房颤动,1,达比加群酯,3,1,1,1,未结构化,未结构化,,通过
REC-5A436C450C92AA28,稳定型心绞痛路径治疗决策规则｜降压治疗（治疗方案）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,稳定型心绞痛,1,降压治疗,1,1,1,1,未结构化,未结构化,,通过
REC-5BAA719A38F2A2C8,缺血性心肌病路径评估规则｜缺血性心肌病诊断标准（诊断标准）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病；心肌病,缺血性心肌病,1,缺血性心肌病诊断标准,1,1,1,1,未结构化,未结构化,,通过
REC-5BF430CF0B27E0F5,心室扑动与心室颤动路径治疗决策规则｜心室扑动与心室颤动治疗方案（治疗方案）推荐,True,clinical_ready,formal,心律失常,心室扑动与心室颤动,1,心室扑动与心室颤动治疗方案,3,1,1,1,未结构化,未结构化,,通过
REC-5CF2C71E532DF775,室性心律失常路径随访安全规则｜室性心律失常风险分层（风险分层）推荐,True,clinical_ready,formal,心律失常,室性心律失常,1,室性心律失常风险分层,5,1,1,1,未结构化,未结构化,,通过
REC-5DAF220EA350E2BF,扩张型心肌病路径随访安全规则｜扩张型心肌病风险分层（风险分层）推荐,True,clinical_ready,formal,心肌病,扩张型心肌病,1,扩张型心肌病风险分层,5,1,1,1,未结构化,未结构化,,通过
REC-61BF47328BC263D5,房颤急性复律/心率控制规则｜地尔硫卓（药物）推荐,True,clinical_ready,formal,心律失常,心房颤动,1,地尔硫卓,2,1,1,1,未结构化,未结构化,,通过
